node_id,item_id,item_label,safety_time_days,review_period_days,first_arrival_day,first_need_day,first_planned_receipt_day,first_actual_arrival_day,min_delta_need_minus_arrival_days,is_safety_respected,order_count,initial_stock_source_qty,day0_stock_before_production_qty,day0_arrivals_qty,max_bn_qty,max_target_stock_qty,max_target_with_backlog_qty,comment
M-1430,item:038005,038005,20.0,1,88,108,88,10,20.0,1,147,37598.5325,37598.5325,0.0,557788.423484,816546.550512,816546.550512,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:042342,042342,5.0,1,19,24,19,6,5.0,1,59,78749996.0,78749996.0,0.0,260168743.6,418170060.0,418170060.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:333362,333362,10.0,1,17,27,17,14,10.0,1,99,142250.0,142250.0,0.0,6171570.0,18634000.0,18634000.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:344135,344135,10.0,1,12,22,12,1,10.0,1,75,0.0,0.0,0.0,404940.0,11550000.0,11550000.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:708073,708073,10.0,1,13,23,13,3,10.0,1,55,10326.88,10326.88,0.0,42860.434,76936.86,76936.86,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:730384,730384,10.0,1,28,38,28,11,10.0,1,71,68387.0,68387.0,0.0,1955609.0,3721872.0,3721872.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:734545,734545,10.0,1,17,27,17,2,10.0,1,51,1641.0,1641.0,0.0,34629.4,61600.0,61600.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:773474,773474,20.0,1,7,27,7,2,20.0,1,142,14593000.0,14593000.0,0.0,30920841.4804,59473062.88,59473062.88,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001757,001757,20.0,1,38,58,38,16,20.0,1,444,8499.654,8499.654,0.0,22086.2952,57848.91,57848.91,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001848,001848,20.0,1,13,33,13,2,20.0,1,160,10262.646,10262.646,0.0,8237.1096,30742.5636,30742.5636,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001893,001893,15.0,1,26,41,26,0,15.0,1,202,9783.5,22344.9776,12561.4776,7059.6133,186851.9793,186851.9793,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:002612,002612,20.0,1,153,173,153,0,20.0,1,237,153521.636719,156414.082219,2892.4455,175.392,153521.636719,153521.636719,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:007923,007923,15.0,1,15,30,15,0,15.0,1,2359,55018.98,55065.7512,46.7712,320.343085,55018.98,55018.98,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:016332,016332,7.0,1,41,48,41,6,7.0,1,313,883.02,883.02,0.0,927.38688,9718.61688,9718.61688,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:029313,029313,7.0,1,71,78,71,10,7.0,1,231,226.83,226.83,0.0,4.67712,917.31843,917.31843,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:039668,039668,7.0,1,31,38,31,31,7.0,1,308,459.695,459.695,0.0,4.67712,595.01736,595.01736,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:049371,049371,40.0,1,59,99,59,29,40.0,1,390,4138.93,4138.93,0.0,65418.90236,94789.5711,94789.5711,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:055703,055703,30.0,1,15,45,15,0,30.0,1,147,569.805001,602.861521,33.05652,9.35424,1785.05208,1785.05208,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:099439,099439,7.0,1,20,27,20,2,7.0,1,315,4972.616,4972.616,0.0,13057.702,29750.868,29750.868,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:338928,338928,10.0,1,32,42,32,0,10.0,1,978,404065.0,466565.0,62500.0,25966285.0,28293450.0,28293450.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:338929,338929,10.0,1,19,29,19,3,10.0,1,993,354000.0,354000.0,0.0,1695720.0,17912400.0,17912400.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:426331,426331,7.0,1,18,25,18,2,7.0,1,321,24159.0,24159.0,0.0,65381.4,134343.0,134343.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:693055,693055,20.0,1,33,53,33,6,20.0,1,1009,1010000.0,1010000.0,0.0,3246769.9,12313553.7,12313553.7,conforme: reception planifiee avant le jour de besoin de couverture
SDC-1450,item:021081,021081,0.0,1,67,67,67,12,0.0,1,350,1142100.0,1142100.0,0.0,10622.0,1142100.0,1142100.0,conforme: reception planifiee avant le jour de besoin de couverture
