day,node_id,item_id,bb_qty,bb_demand_signal_qty,bb_demand_signal_raw_qty,target_demand_signal_qty,target_demand_signal_floor_qty,target_demand_signal_window_days,target_cutover_context_days,target_demand_signal_display_qty,target_demand_signal_display_floor_qty,bb_backlog_qty,gross_requirement_basis,mrp_demand_signal_source,mrp_demand_signal_smoothing_days,safety_floor_qty,soft_safety_target_qty,coverage_target_qty,target_stock_qty,target_stock_display_qty,backlog_target_qty,target_with_backlog_qty,stock_proj_qty,recv_prev_today_qty,recv_prev_future_qty,inventory_position_qty,bn_qty,planned_release_qty,planned_receipt_qty,planned_order_count,planned_receipt_min_day,planned_receipt_max_day,review_period_days,safety_time_days,safety_stock_qty,has_mrp_snapshot_policy
0,C-XXXXX,item:268091,1900.0,1900.0,1900.0,3501.357143,3501.357143,14,0,3501.357143,3501.357143,0.0,mps_lotified_7d_avg,mps_lotified,7,0.0,0.0,49019.000002,49019.000002,49019.000002,1900.0,50919.000002,0.0,0.0,50919.000002,50919.000002,0.0,50919.000002,50919.000002,1,1,1,1,0.0,0.0,0
0,C-XXXXX,item:268967,2562.857143,2562.857143,2562.857143,4409.785715,4409.785715,14,0,4409.785715,4409.785715,0.0,mps_lotified_7d_avg,mps_lotified,7,0.0,0.0,61737.000003,61737.000003,61737.000003,2562.857143,64299.857146,0.0,0.0,64299.857146,64299.857146,0.0,64299.857146,64299.857146,1,2,2,1,0.0,0.0,0
0,DC-1920,item:268091,1900.0,1900.0,1900.0,5890.674286,5890.674286,25,0,5890.674286,5890.674286,0.0,mps_lotified_7d_avg,mps_lotified,7,117813.485718,117813.485718,147266.857147,430538.0,430538.0,0.0,430538.0,379618.999998,0.0,0.0,379618.999998,50919.000002,0.0,0.0,0,,,1,20.0,0.0,0
0,DC-1920,item:268967,2562.857143,2562.857143,2562.857143,4271.019048,4271.019048,30,0,4271.019048,4271.019048,0.0,mps_lotified_7d_avg,mps_lotified,7,106775.476196,106775.476196,128130.571435,1101534.0,1101534.0,0.0,1101534.0,1037234.142854,0.0,0.0,1037234.142854,64299.857146,0.0,0.0,0,,,1,25.0,0.0,0
0,M-1430,item:038005,1886.411173,1886.411173,44.847888,1886.411173,83.623158,68,0,1886.411173,83.623158,0.0,mps_lotified_7d_avg,mps_lotified,7,37728.223456,37728.223456,128275.95975,128275.95975,128275.95975,0.0,128275.95975,35712.121327,0.0,100000.0,135712.121327,2016.102129,10000.0,10000.0,1,154,154,1,20.0,0.0,0
0,M-1430,item:042342,6504867.6,6504867.6,154647.925723,6504867.6,154647.925723,7,0,6504867.6,154647.925723,0.0,mps_lotified_7d_avg,mps_lotified,7,32524338.0,32524338.0,45534073.2,78749996.0,78749996.0,0.0,78749996.0,72245128.4,0.0,90000000.0,162245128.4,0.0,30000000.0,30000000.0,1,21,21,1,5.0,0.0,0
0,M-1430,item:268967,2562.857143,2562.857143,2562.857143,2562.857143,2562.857143,7,0,2562.857143,2562.857143,0.0,mps_lotified_7d_avg,mps_lotified,7,0.0,0.0,17940.000001,17940.000001,17940.000001,0.0,17940.000001,107800.0,0.0,0.0,107800.0,0.0,0.0,0.0,0,,,1,0.0,0.0,0
0,M-1430,item:333362,107800.0,107800.0,2562.857143,107800.0,4367.445378,17,0,107800.0,4367.445378,0.0,mps_lotified_7d_avg,mps_lotified,7,1078000.0,1078000.0,1832600.0,1832600.0,1832600.0,0.0,1832600.0,34450.0,0.0,1799000.0,1833450.0,1043550.0,1170000.0,1170000.0,72,60,131,1,10.0,110000.0,0
0,M-1430,item:344135,107800.0,107800.0,2562.857143,107800.0,4631.51752,53,0,107800.0,4631.51752,0.0,mps_lotified_7d_avg,mps_lotified,7,1078000.0,1078000.0,5713400.0,5713400.0,5713400.0,0.0,5713400.0,646800.0,0.0,4440000.0,5086800.0,626600.0,4440000.0,4440000.0,37,35,76,1,10.0,0.0,0
0,M-1430,item:708073,854.854,854.854,20.323457,854.854,35.269544,45,0,854.854,35.269544,0.0,mps_lotified_7d_avg,mps_lotified,7,8548.54,8548.54,38468.43,38468.43,38468.43,0.0,38468.43,9472.026,0.0,30000.0,39472.026,0.0,30000.0,30000.0,6,27,60,1,10.0,2000.0,0
