product_code,division,item_code,stock_qty,stock_uom,suppliers,min_value_eur,mean_value_eur,max_value_eur
268091,1810,001757,8499654.0,G,VD0951020A,46153.12122,46153.12122,46153.12122
268091,1810,001848,10262646.0,G,"VD0519670A,VD0951020A",16214.98068,29659.046940000004,43103.11320000001
268091,1810,001893,9783.5,KG,"VD0518684A,VD0910216A,VD1091642A",43047.4,46129.2025,49944.7675
268091,1810,002612,153521.63671875,KG,"VD0500655A,VD0910216A,VD0990780A,VD1091642A",125887.74210937499,179620.31496093748,205718.99320312502
268091,1810,007923,55018980.0,G,,0.0,0.0,0.0
268091,1810,016332,883020.0,G,VD0514881A,24389.012400000003,24389.012400000003,24389.012400000003
268091,1810,029313,226830.0,G,VD0519670A,469.53809999999993,469.53809999999993,469.53809999999993
268091,1810,039668,459695.0,G,VD1096202A,5612.875950000001,5612.875950000001,5612.875950000001
268091,1810,049371,4138930.0,G,VD0520132A,60635.3245,60635.3245,60635.3245
268091,1810,055703,569805.000976563,G,"VD0914320A,VD0964290A",11595.531769873058,19814.968908959978,28034.406048046898
268091,1810,099439,4972616.0,G,VD0505677A,45598.888719999995,45598.888719999995,45598.888719999995
268091,1810,693055,1010000.0,G,D1450,0.0,0.0,0.0
268091,1810,338928,404065.0,ZUN,VD0901566A,57098.425149999995,57098.425149999995,57098.425149999995
268091,1810,338929,354000.0,ZUN,VD0914360C,76410.9,76410.9,76410.9
268091,1810,426331,24159.0,ZUN,VD0989480A,12174.44487,12174.44487,12174.44487
268967,1430,038005,37598532.5,G,VD0520132A,171825.29352500002,171825.29352500002,171825.29352500002
268967,1430,042342,78749996.0,ZUN,VD0914690A,174037.49116,174037.49116,174037.49116
268967,1430,333362,142250.0,ZUN,VD0525412A,38864.12249999999,38864.12249999999,38864.12249999999
268967,1430,344135,0.0,ZUN,VD0993480A,0.0,0.0,0.0
268967,1430,708073,10326880.0,G,VD0520115A,37073.4992,37073.4992,37073.4992
268967,1430,730384,68387.0,M,VD0508918A,0.0,0.0,0.0
268967,1430,734545,1641.0,ZUN,VD1095770A,699.78804,699.78804,699.78804
268967,1430,773474,14593000.0,G,D1450,0.0,0.0,0.0
