product_code,reference_source_value_eur,real_label,real_first_value_eur,first_gap_eur,first_gap_abs_eur
268091,726887.2090245851,Cos,656921.88,69965.32902458508,69965.32902458508
268091,726887.2090245851,Pharma,220644.25,506242.9590245851,506242.9590245851
268967,422500.194425,Pharma,220644.25,201855.944425,201855.944425
268967,422500.194425,Cos,656921.88,-234421.685575,234421.685575
