Day,Warehouse Stock,Retailer Stock
1,19,5
2,19,5
3,19,5
4,19,5
5,19,5
6,19,5
7,19,5
8,19,5
9,19,5
10,19,5
11,18,5
12,18,5
13,18,5
14,18,5
15,18,5
16,18,5
17,18,5
18,18,5
19,18,5
20,18,5
21,17,5
22,17,5
23,17,5
24,17,5
25,17,5
26,17,5
27,17,5
28,17,5
29,17,5
30,17,5
