day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,1072122.0805,42313.4301,227.4023,22.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,1069948.0908,42249.8362,176.7952,27.8748,0.0,0.0,0.0,336.1499,0.0,0.0,0.0
2,52.5,0.0,140.0,178.064,136.4902,525.1851,1067766.7061,42180.6885,221.0955,35.3496,0.0,0.0,0.0,190.2971,0.0,0.0,0.0
3,60.0,0.0,200.0,103.28,178.7296,509.8955,1065568.3258,42111.5093,213.4361,39.8179,0.0,0.0,0.0,207.2429,0.0,0.0,0.0
4,55.0,18.432,236.568,145.712,211.7165,533.2304,1063402.3304,42042.3073,231.9955,43.6601,0.0,0.0,0.0,207.6362,0.0,0.0,0.0
5,50.0,39.6288,246.9392,309.6873,236.2556,535.293,1061401.2846,41973.0941,235.1603,46.3654,0.0,0.0,0.0,207.9434,0.0,0.0,0.0
6,45.0,44.2368,247.7024,254.6581,250.4232,490.8407,1059547.9589,41909.4077,218.8998,45.1536,0.0,0.0,0.0,208.1719,0.0,0.0,0.0
7,40.0,46.08,241.6224,338.2453,254.6807,344.6378,1058126.906,41855.7126,152.4126,31.438,0.0,0.0,0.0,184.6194,0.0,0.0,0.0
8,47.5,46.08,243.0424,133.6855,260.3254,444.4797,1056275.6371,41795.5118,209.495,33.0696,0.0,0.0,0.0,86.3511,67.6667,0.0,0.0
9,52.5,0.0,295.5424,186.4675,267.9019,432.0977,1054407.6754,41730.4433,191.8382,33.7864,0.0,0.0,0.0,96.5921,77.8167,0.0,0.0
10,60.0,107.1316,248.4108,188.3316,275.3716,389.5627,1052492.9232,41665.3674,162.7731,34.1783,0.0,0.0,0.0,104.3,84.5833,0.0,0.0
11,55.0,42.6018,260.809,87.0009,282.0762,432.2457,1050503.5532,41600.2837,192.9404,35.3386,0.0,0.0,0.0,104.3695,84.5833,0.0,0.0
12,50.0,21.3116,289.4975,397.6169,287.2869,481.8292,1048799.6041,41535.2076,227.8029,36.4045,0.0,0.0,0.0,104.432,84.5833,0.0,0.0
13,45.0,67.3916,267.1059,413.9808,287.3826,383.4917,1047315.4775,41475.0321,169.0318,35.4198,0.0,0.0,0.0,104.4805,84.5833,0.0,0.0
14,40.0,46.08,261.0259,175.4051,281.4339,367.9171,1045812.0474,41421.3192,170.4939,34.5977,0.0,0.0,0.0,96.7971,78.1988,0.0,0.0
15,47.5,0.0,308.5259,287.3379,279.6867,402.6071,1044225.4227,41367.8465,181.729,34.7691,0.0,0.0,0.0,86.6003,69.7731,0.0,0.0
16,52.5,23.04,337.9859,426.2963,281.9126,408.627,1042613.0053,41302.778,176.4972,35.0845,0.0,0.0,0.0,96.7724,78.238,0.0,0.0
17,60.0,46.08,351.9059,437.2795,285.5101,454.8468,1040950.296,41237.715,209.1562,35.9403,0.0,0.0,0.0,104.4304,84.5833,0.0,0.0
18,55.0,63.3467,343.5592,408.5712,289.4125,400.8498,1039301.7263,41172.6578,177.2801,35.8272,0.0,0.0,0.0,103.9969,84.5833,0.0,0.0
19,50.0,44.3409,349.2182,378.5953,292.5955,379.5667,1037667.5108,41108.7756,162.6978,35.9626,0.0,0.0,0.0,93.9274,84.5833,0.0,0.0
20,45.0,40.3173,353.9009,632.5809,291.224,395.4537,1036420.405,41048.6153,182.8617,35.9597,0.0,0.0,0.0,93.957,84.5833,0.0,0.0
21,40.0,0.0,393.9009,346.7855,284.2136,546.7692,1035122.0716,40994.9354,261.9348,36.6903,0.0,0.0,0.0,87.058,249.3846,0.0,0.0
22,47.5,67.3916,374.0093,115.7668,281.6981,485.3907,1033309.7558,40934.9637,219.1794,47.8244,0.0,0.0,0.0,248.9046,167.2842,0.0,0.0
23,52.5,0.0,426.5093,596.3725,283.368,542.4299,1031865.018,40870.2015,245.9989,50.3903,0.0,0.0,0.0,178.803,190.7369,0.0,0.0
24,60.0,69.12,417.3893,779.4067,286.5632,534.0143,1030562.6332,40806.4592,237.817,51.8564,0.0,0.0,0.0,199.4315,207.2429,0.0,0.0
25,55.0,84.6477,387.7417,374.842,290.1746,535.775,1028842.2943,40741.7455,239.2966,52.2691,0.0,0.0,0.0,208.6404,207.6362,0.0,0.0
26,50.0,21.3116,416.4301,225.7809,293.1469,530.039,1027045.4584,40677.0088,235.5155,52.5369,0.0,0.0,0.0,208.674,207.9434,0.0,0.0
27,45.0,23.04,438.3901,546.2738,291.623,507.3357,1025736.7456,40617.6175,228.8214,52.1314,0.0,0.0,0.0,208.7017,208.1544,0.0,0.0
28,40.0,67.3916,410.9986,438.7928,284.5023,453.5956,1024495.5818,40564.279,207.5429,48.494,0.0,0.0,0.0,201.8013,184.5965,0.0,0.0
29,47.5,42.0458,416.4528,253.2802,281.907,425.2072,1022828.1135,40504.4164,198.1754,35.238,0.0,0.0,0.0,175.8488,86.3744,0.0,0.0
30,47.5,23.04,440.9128,498.6606,280.769,410.1615,1021410.8283,40443.2712,184.6193,34.9662,0.0,0.0,0.0,95.7349,96.6095,0.0,0.0
31,47.5,90.4209,397.9918,189.7701,281.3567,391.703,1019636.9757,40381.9484,170.9058,34.8465,0.0,0.0,0.0,98.6085,104.3,0.0,0.0
32,47.5,63.3467,382.1451,285.1239,282.4133,392.4754,1017984.3039,40322.3093,171.4199,34.9699,0.0,0.0,0.0,99.7724,104.3695,0.0,0.0
33,47.5,0.0,429.6451,308.8201,283.4006,411.0892,1016400.0147,40261.8712,184.4196,35.2641,0.0,0.0,0.0,99.8552,104.432,0.0,0.0
34,47.5,43.0843,434.0608,211.943,284.1863,458.1769,1014627.4617,40200.4352,217.23,35.8209,0.0,0.0,0.0,99.879,104.463,0.0,0.0
35,47.5,40.3173,441.2435,460.6601,284.7764,370.0325,1013191.0932,40139.9503,156.3764,35.0041,0.0,0.0,0.0,99.8893,96.774,0.0,0.0
36,47.5,65.521,423.2224,310.7574,285.2098,412.797,1011525.3486,40078.4634,186.7223,35.4791,0.0,0.0,0.0,99.0973,86.6235,0.0,0.0
37,47.5,0.0,470.7224,464.5913,285.5253,435.7066,1010065.573,40017.0106,202.1158,35.7427,0.0,0.0,0.0,98.0482,96.7898,0.0,0.0
38,47.5,43.7528,474.4697,622.4091,285.754,392.6958,1008767.8804,39956.3763,171.7843,35.3377,0.0,0.0,0.0,99.1093,99.778,0.0,0.0
39,47.5,43.775,478.1946,524.7578,285.9197,436.025,1007327.4488,39902.4889,202.1904,35.7891,0.0,0.0,0.0,99.9046,99.683,0.0,0.0
40,47.5,0.0,525.6946,567.4455,286.0396,404.4365,1005996.5016,39844.0563,185.6372,35.4863,0.0,0.0,0.0,99.4391,89.6813,0.0,0.0
41,47.5,65.6592,507.5355,784.4242,286.1264,404.4373,1004816.9849,39784.5909,185.6439,35.4958,0.0,0.0,0.0,89.3343,89.7069,0.0,0.0
42,47.5,65.6631,489.3724,289.1983,272.5962,420.9751,1004263.956,39758.2349,188.519,34.1522,0.0,0.0,0.0,89.3352,260.1894,0.0,0.0
