PF,Famille,Stock PF initial DC 01/01 (UN),Valeur stock PF 06/01 source (EUR),Stock securite PF source (UN),Valeur stock securite PF source (EUR),Delai securite PF DC (j ouvres),Demande PF sur delai securite (UN),Valeur demande PF sur delai securite (EUR),Stock composants initial 01/01 - quantites par unite,Valeur stock composants initial 01/01 (EUR),Stock securite composants source - quantites par unite,Valeur stock securite composants source (EUR),Valeur demande composants sur delais securite (EUR),Valeur stock composants immobilise 06/01 (EUR),Demande PF semaine 1 source (UN),Valeur demande semaine 1 au cout stock PF (EUR),CA livre 01-05/01 source (EUR),CA perdu 01-05/01 source (EUR),Demande PF 52 semaines source (UN),Valeur demande 52 semaines au cout stock PF (EUR)
268091,Cos,430538.0,256910.48,0.0,0.0,20.0,182282.0,108771.24926338675,G: 86 042 176.0; KG: 163 305.1; UN: 782 224.0,726887.2090245851,G: 888 000.0,13009.2,36776.0060079112,656921.88,13300.0,7936.371200683796,24890.339999999997,1453.35,3576442.0,2134133.1796778915
268967,Pharma,1101534.0,2472793.99,0.0,0.0,25.0,152742.0,342885.01273730997,G: 47 925 412.5; M: 68 387.0; UN: 78 893 887.0,422500.19442500005,UN: 110 000.0; G: 2 000 000.0; M: 23 500.0,37233.09999999999,30936.035855715516,220644.25,17940.0,40272.85964899858,36470.21,105.6,1575986.0,3537874.19101375
