PF,Composant,Site,Fournisseur,Stock initial qty,Unite stock,Valeur stock initial,Besoin S1 qty,Unite besoin,Besoin S1 EUR,Couverture S1 x,Valeur apres S1 theorique,Delai secu comp,Stock secu source,Lead fournisseur min,Qte standard commande min,Encours dispo 01-05 qty,Encours livraison 01-05 qty,Encours dispo janvier qty,Nb ordres dispo janvier
268091,001757,1810,VD0951020A,8499654.0,G,46153.12122,21599.2,G,117.283656,393.5170747064706,46035.837564,20.0,0.0,84.0,100.0,0.0,0.0,2000000.0,1
268091,001848,1810,VD0519670A,10262646.0,G,29659.046940000004,16199.4,G,46.816266000000006,633.5201303751991,29612.230674000002,20.0,0.0,21.0,4000.0,0.0,0.0,0.0,0
268091,001893,1810,VD0518684A,9783.5,KG,45395.44,102.5962,KG,476.046368,95.35928231260027,44919.393632,15.0,0.0,28.0,20900.0,0.0,0.0,0.0,0
268091,002612,1810,VD0500655A,153521.63671875,KG,193437.262265625,26.998999999999995,KG,34.018739999999994,5686.19714503315,193403.243525625,20.0,0.0,28.0,21600.0,0.0,0.0,22500.0,1
268091,016332,1810,VD0514881A,883020.0,G,24389.0124,6479.76,G,178.97097120000004,136.27356568761806,24210.0414288,7.0,0.0,49.0,1100.0,0.0,0.0,0.0,0
268091,029313,1810,VD0519670A,226830.0,G,469.5381,539.98,G,1.1177586,420.0711137449535,468.4203414,7.0,0.0,56.0,300.0,0.0,0.0,0.0,0
268091,039668,1810,VD1096202A,459695.0,G,5612.875950000001,539.98,G,6.593155800000001,851.3185673543464,5606.2827942,7.0,0.0,35.0,450.0,0.0,0.0,0.0,0
268091,049371,1810,VD0520132A,4138930.0,G,60635.3245,19979.26,G,292.696159,207.16132629536833,60342.628341,40.0,888000.0,147.0,1600.0,0.0,0.0,5400000.0,3
268091,055703,1810,VD0914320A,569805.000976563,G,19814.96890895998,1079.96,G,37.555609,527.6167644880949,19777.413299959982,30.0,0.0,21.0,300.0,0.0,0.0,0.0,0
268091,099439,1810,VD0505677A,4972616.0,G,45598.88872,26999.0,G,247.58083,184.1777843623838,45351.307890000004,7.0,0.0,35.0,4200.0,0.0,0.0,0.0,0
268091,693055,1810,D1450,1010000.0,G,0.0,5399.8,G,0.0,187.04396459128114,0.0,20.0,0.0,70.0,1.0,0.0,0.0,0.0,0
268091,007923,1810,VD0951020A,55018980.0,G,110037.96,43198.4,G,86.3968,1273.6346716545056,109951.5632,15.0,0.0,14.0,19074.0,0.0,0.0,19140000.0,1
268091,338928,1810,VD0901566A,404065.0,UN,57098.42515,13300.0,UN,1879.423,30.380827067669173,55219.00215,10.0,0.0,70.0,25000.0,0.0,0.0,365033.0,3
268091,338929,1810,VD0914360C,354000.0,UN,76410.9,13300.0,UN,2870.805,26.616541353383457,73540.095,10.0,0.0,42.0,5000.0,0.0,0.0,57600.0,1
268091,426331,1810,VD0989480A,24159.0,UN,12174.44487,146.3,UN,73.724959,165.1332877648667,12100.719911,7.0,0.0,28.0,19200.0,0.0,0.0,19200.0,1
268967,038005,1430,VD0520132A,37598532.5,G,171825.29352500002,313935.21744,G,1434.6839437008,119.76525859888885,170390.6095812992,20.0,0.0,154.0,10000.0,0.0,0.0,0.0,0
268967,042342,1430,VD0914690A,78749996.0,UN,174037.49116,1082535.48,UN,2392.4034108,72.74587988561817,171645.0877492,5.0,0.0,21.0,30000000.0,0.0,0.0,0.0,0
268967,333362,1430,VD0525412A,142250.0,UN,38864.12249999999,17940.0,UN,4901.387399999999,7.929208472686733,33962.73509999999,10.0,110000.0,60.0,5000.0,0.0,0.0,0.0,0
268967,344135,1430,VD0993480A,0.0,UN,0.0,17940.0,UN,72.29820000000001,0.0,-72.29820000000001,10.0,0.0,35.0,120000.0,0.0,0.0,0.0,0
268967,708073,1430,VD0520115A,10326880.0,G,37073.4992,142264.2,G,510.72847800000005,72.58944977021625,36562.770722,10.0,2000000.0,28.0,5000.0,0.0,0.0,0.0,0
268967,730384,1430,VD0508918A,68387.0,M,0.0,3803.28,M,0.0,17.981058454807428,0.0,10.0,23500.0,56.0,370000.0,0.0,0.0,0.0,0
268967,734545,1430,VD1095770A,1641.0,UN,699.78804,143.52,UN,61.202668800000005,11.433946488294314,638.5853712,10.0,0.0,21.0,6300.0,0.0,0.0,6400.0,1
