snapshot,sim_day,product_code,family,real_immobilized_value_eur,sim_stock_value_eur,sim_useful_gross_lead_safety_eur,sim_immobilized_gross_lead_safety_eur,sim_useful_net_lead_safety_eur,sim_immobilized_net_lead_safety_eur,sim_existing_target_stock_immobilized_eur,gap_net_eur,gap_gross_eur,gap_existing_target_stock_eur
2025-01-06,4,268091,Cos,656921.88,720013.072068915,255953.05093131508,464060.02113759995,222015.89667030054,497997.1753986145,660725.9679843191,-158924.7046013855,-192861.85886240005,3804.087984319078
2025-01-13,11,268091,Cos,720134.07,720013.072068915,259563.25487149422,460449.8171974208,233507.22143712174,486505.85063179315,658308.1686512472,-233628.2193682068,-259684.25280257914,-61825.901348752785
2025-01-20,18,268091,Cos,606978.55,784028.8452989149,325210.3804488897,458818.46485002514,307828.416140004,476200.42915891093,720401.2770374191,-130778.12084108911,-148160.0851499749,113422.7270374191
2025-01-27,25,268091,Cos,692705.41,777154.708342115,319779.15852871776,457375.5498133972,307967.29863051313,469187.4097116018,713734.6800504785,-223518.00028839824,-235329.8601866028,21029.270050478517
2025-02-03,32,268091,Cos,613334.5,943430.1643421149,398939.9329572668,544490.2313848482,386225.7380523555,557204.4262897595,880847.545662428,-56130.07371024054,-68844.26861515176,267513.045662428
2025-02-10,39,268091,Cos,656472.97,953862.6643421149,398505.61764097324,555357.0467011417,385846.8560061015,568015.8083360136,890692.3447253089,-88457.1616639864,-101115.92329885822,234219.37472530897
2025-02-17,46,268091,Cos,695644.81,975582.6643421149,399245.1223446844,576337.5419974306,386625.03604287456,588957.6282992405,912202.8462959249,-106687.18170075957,-119307.26800256944,216558.0362959248
2025-02-24,53,268091,Cos,740448.32,1003932.6643421149,395996.1851294369,607936.4792126782,385846.9286989441,618085.735643171,942189.8695520317,-122362.58435682894,-132511.8407873218,201741.5495520318
2025-03-03,60,268091,Cos,715265.49,1023428.5273853152,412934.2228979852,610494.3044873298,396627.79015521554,626800.7372300995,964022.3067141444,-88464.75276990049,-104771.1855126702,248756.81671414443
2025-03-10,67,268091,Cos,823262.17,1049798.5273853152,436286.3820282771,613512.1453570379,422955.9650003274,626842.5623849876,991361.8187662994,-196419.60761501244,-209750.02464296215,168099.64876629936
2025-03-17,74,268091,Cos,899331.26,1067138.5273853152,435089.6820916671,632048.845293648,425038.46263161756,642100.0647536975,1008818.1239401288,-257231.19524630252,-267282.41470635205,109486.86394012882
2025-03-24,81,268091,Cos,826291.24,1067138.5273853152,433273.4791446328,633865.0482406822,420777.01333818457,646361.5140471306,1009181.0426332919,-179929.7259528694,-192426.19175931776,182889.80263329193
2025-03-31,88,268091,Cos,860620.24,1077998.5273853152,431890.6892354094,646107.8381499057,416163.6504922497,661834.8768930653,1020837.9425882876,-198785.3631069347,-214512.40185009432,160217.70258828765
2025-04-07,95,268091,Cos,844469.28,1077998.5273853152,432828.36250206834,645170.1648832468,421201.543847948,656796.9835373671,1021854.8584822031,-187672.29646263295,-199299.11511675327,177385.57848220307
2025-04-14,102,268091,Cos,949947.4,1077998.5273853152,433393.2334371096,644605.2939482053,426193.2808601671,651805.2465251479,1021401.2659300804,-298142.1534748521,-305342.1060517947,71453.86593008041
2025-04-21,109,268091,Cos,986757.36,1130738.5273853152,484803.7233887099,645934.8039966052,469353.4238082427,661385.1035770723,1074427.6174804512,-325372.2564229277,-340822.55600339477,87670.25748045126
2025-04-28,116,268091,Cos,950013.26,1130738.5273853152,486896.79119315615,643841.736192159,470122.3852158396,660616.1421694753,1075378.488480591,-289397.1178305247,-306171.523807841,125365.22848059097
2025-05-05,123,268091,Cos,952816.2,1157108.527385315,517165.5429218444,639942.9844634704,502614.0007857469,654494.526599568,1100131.1994404085,-298321.673400432,-312873.21553652955,147314.99944040854
