snapshot,sim_day,product_code,family,real_immobilized_value_eur,sim_stock_value_eur,sim_useful_gross_lead_safety_eur,sim_immobilized_gross_lead_safety_eur,sim_useful_net_lead_safety_eur,sim_immobilized_net_lead_safety_eur,sim_existing_target_stock_immobilized_eur,gap_net_eur,gap_gross_eur,gap_existing_target_stock_eur
2025-05-12,130,268091,Cos,904276.21,1183478.527385315,546609.5445714317,636868.9828138833,540020.4136249709,643458.113760344,1124730.138377153,-260818.09623965598,-267407.2271861166,220453.92837715312
2025-05-19,137,268091,Cos,977680.69,1183478.527385315,545745.5402872011,637732.9870981139,534926.9595989569,648551.5677863581,1123336.6381857684,-329129.1222136419,-339947.7029018861,145655.94818576844
2025-05-26,144,268091,Cos,964313.13,1183478.527385315,545454.929411245,638023.59797407,533237.5576447627,650240.9697405524,1124157.3248303402,-314072.16025944764,-326289.53202593,159844.19483034022
2025-06-02,151,268091,Cos,913515.99,1209848.527385315,570456.0865415273,639392.4408437877,557113.0493754417,652735.4780098733,1151913.321886273,-260780.5119901267,-274123.54915621225,238397.3318862731
2025-06-09,158,268091,Cos,901349.11,1236218.527385315,595111.8279533641,641106.6994319509,582752.5707088889,653465.956676426,1179481.328915787,-247883.153323574,-260242.41056804906,278132.21891578694
2025-06-16,165,268091,Cos,1030088.41,1236218.527385315,594310.054738662,641908.4726466531,585116.9180950503,651101.6092902647,1179640.2627183031,-378986.80070973537,-388179.93735334696,149551.8527183031
2025-06-23,172,268091,Cos,1018792.36,1236218.527385315,591164.3896376552,645054.1377476598,581332.3401842911,654886.187201024,1179079.7459578747,-363906.17279897595,-373738.2222523402,160287.3859578747
2025-06-30,179,268091,Cos,1056984.52,1236218.527385315,589085.2499450686,647133.2774402464,571342.0194075166,664876.5079777983,1180105.2155784573,-392108.01202220167,-409851.2425597536,123120.69557845732
2025-07-07,186,268091,Cos,955981.86,1236218.527385315,589531.2675843998,646687.2598009151,576938.6506382772,659279.8767470381,1180917.1998362467,-296701.9832529619,-309294.60019908485,224935.33983624668
2025-07-14,193,268091,Cos,943812.41,1236218.527385315,589397.917731727,646820.609653588,577280.5330507898,658937.9943345251,1180887.4253502763,-284874.41566547495,-296991.800346412,237075.01535027626
2025-07-21,200,268091,Cos,979933.29,1236218.527385315,590232.9193354346,645985.6080498805,582302.7148502023,653915.8125351127,1180263.3704568797,-326017.4774648873,-333947.68195011956,200330.0804568797
2025-07-28,207,268091,Cos,927498.18,1236218.527385315,589967.3874969232,646251.1398883917,572246.4070416401,663972.120343675,1180873.1446735424,-263526.05965632503,-281247.04011160834,253374.9646735423
2025-08-04,214,268091,Cos,927498.18,1236218.527385315,591970.7336784,644247.793706915,572877.8337993688,663340.6935859461,1180724.3996483134,-264157.48641405394,-283250.38629308506,253226.21964831336
2025-08-11,221,268091,Cos,927498.18,1236218.527385315,595022.3555854454,641196.1717998696,576207.0165717499,660011.5108135652,1178761.1998503294,-267486.6691864348,-286302.0082001304,251263.01985032938
2025-08-18,228,268091,Cos,927498.18,1236218.527385315,597983.5785978483,638234.9487874665,585480.400891336,650738.1264939791,1176183.9849535008,-276760.0535060209,-289263.23121253354,248685.80495350074
2025-08-25,235,268091,Cos,951028.42,1236218.527385315,600299.30178031,635919.225605005,591839.6963755061,644378.8310098089,1173647.6868642836,-306649.5889901911,-315109.194394995,222619.2668642836
2025-09-01,242,268091,Cos,936323.01,1194973.7056445149,566604.6375314124,628369.0681131026,557679.1196233664,637294.5860211486,1112039.098754915,-299028.4239788514,-307953.94188689743,175716.08875491493
2025-09-08,249,268091,Cos,954057.28,1160603.020860515,539822.2040729071,620780.8167876077,529295.8165553083,631307.2043052067,1077668.413970915,-322750.07569479337,-333276.4632123923,123611.13397091487
2025-09-15,256,268091,Cos,1070103.57,1126232.336076515,512461.1244266027,613771.2116499123,504487.7024325475,621744.6336439676,1044592.8291869151,-448358.9363560325,-456332.3583500878,-25510.740813084994
2025-09-22,263,268091,Cos,1134444.24,1084987.5143357152,480169.3042419057,604818.2100938093,472577.5026331992,612410.0117025159,1021997.4474461151,-522034.2282974841,-529626.0299061907,-112446.79255388491
2025-09-29,270,268091,Cos,991637.45,1060355.190240515,462132.2990404313,598222.8912000838,450454.8855984755,609900.3046420396,1008502.9833509149,-381737.14535796037,-393414.5587999162,16865.53335091495
2025-10-06,277,268091,Cos,896029.67,1060355.190240515,465174.88972392515,595180.3005165898,457177.65240593004,603177.5378345848,1008502.9833509149,-292852.1321654152,-300849.36948341026,112473.31335091486
2025-10-13,284,268091,Cos,888479.56,1056432.380910515,464312.54219680646,592119.8387137087,463374.252878391,593058.128032124,1004580.174020915,-295421.43196787604,-296359.7212862914,116100.61402091489
2025-10-20,291,268091,Cos,878742.0,1056432.380910515,466605.19680342346,589827.1841070916,466605.19680342346,589827.1841070916,1004580.174020915,-288914.8158929084,-288914.8158929084,125838.17402091494
2025-10-27,298,268091,Cos,820347.49,1055124.777800515,467931.3973004328,587193.3805000822,467931.3973004328,587193.3805000822,1003272.5709109148,-233154.10949991783,-233154.10949991783,182925.0809109148
2025-11-03,305,268091,Cos,839166.59,1052509.571580515,466221.0167766357,586288.5548038792,466221.0167766357,586288.5548038792,1000657.364690915,-252878.03519612073,-252878.03519612073,161490.77469091502
2025-11-10,312,268091,Cos,922272.23,1048586.762250515,462341.446819787,586245.3154307281,462341.446819787,586245.3154307281,996734.5553609149,-336026.91456927184,-336026.91456927184,74462.32536091493
2025-11-17,319,268091,Cos,940190.38,1045971.5560305149,460361.7210793074,585609.8349512076,460361.7210793074,585609.8349512076,994119.3491409152,-354580.5450487924,-354580.5450487924,53928.9691409152
2025-11-24,326,268091,Cos,1054580.85,1045971.5560305149,456555.82107256394,589415.7349579511,456555.82107256394,589415.7349579511,942933.213291315,-465165.115042049,-465165.115042049,-111647.63670868508
2025-12-01,333,268091,Cos,1185097.87,1042048.7467005148,450671.7500592777,591376.9966412373,450671.7500592777,591376.9966412373,990190.9559903613,-593720.8733587628,-593720.8733587628,-194906.91400963883
2025-12-08,340,268091,Cos,1273667.17,1039433.540480515,448595.9585194426,590837.5819610724,448595.9585194426,590837.5819610724,987535.408858915,-682829.5880389275,-682829.5880389275,-286131.76114108495
2025-12-15,347,268091,Cos,1241546.58,1039433.540480515,446167.66974420036,593265.8707363147,446167.66974420036,593265.8707363147,937879.235361315,-648280.7092636854,-648280.7092636854,-303667.3446386851
2025-12-22,354,268091,Cos,1434836.3,1028972.7156005149,434248.5926916041,594724.122908911,434248.5926916041,594724.122908911,933070.810481315,-840112.1770910891,-840112.1770910891,-501765.48951868503
2025-12-29,361,268091,Cos,1435465.25,1018511.890720515,426639.3387994193,591872.5519210958,426639.3387994193,591872.5519210958,966659.683830915,-843592.6980789042,-843592.6980789042,-468805.566169085
2025-01-06,4,268967,Pharma,220644.25,422500.19442500005,181627.04961556444,240873.14480943562,67670.95033535271,354829.24408964737,79791.42998799999,134184.99408964737,20228.894809435616,-140852.820012
2025-01-13,11,268967,Pharma,202836.97,425229.410425,180293.8513378137,244935.5590871863,69449.63951985221,355779.7709051478,79791.42998799999,152942.80090514777,42098.589087186294,-123045.54001200001
2025-01-20,18,268967,Pharma,229908.04,425229.410425,181118.57458749274,244110.83583750727,70662.48652357527,354566.92390142474,79791.42998799999,124658.88390142474,14202.795837507263,-150116.61001200002
2025-01-27,25,268967,Pharma,207844.71,425229.410425,183080.93646853406,242148.47395646595,73927.10489196533,351302.3055330347,79791.42998799999,143457.59553303474,34303.76395646596,-128053.280012
2025-02-03,32,268967,Pharma,204819.55,425229.410425,182394.23135434315,242835.17907065686,76019.95699011863,349209.4534348814,79791.42998799999,144389.90343488142,38015.62907065687,-125028.120012
2025-02-10,39,268967,Pharma,204816.91,537229.410425,182968.19408432973,354261.2163406702,78873.7892410539,458355.62118394615,191198.74231908,253538.71118394614,149444.30634067018,-13618.167680920014
2025-02-17,46,268967,Pharma,235695.96,585615.982425,180620.93095284555,404995.05147215445,81526.72395945952,504089.2584655406,239336.69979908,268393.29846554063,169299.09147215445,3640.739799080009
2025-02-24,53,268967,Pharma,284703.12,641779.7662523901,148110.82373933267,493668.9425130574,61076.33993150605,580703.4263208839,324903.35562647006,296000.3063208839,208965.82251305738,40200.235626470065
2025-03-03,60,268967,Pharma,267389.54,717134.0162523902,176015.97848962396,541118.0377627662,83740.63908377284,633393.3771686172,668531.6220223733,366003.83716861723,273728.49776276626,401142.0820223733
2025-03-10,67,268967,Pharma,248241.29,758115.5162523902,216570.56291008857,541544.9533423015,87638.08614994655,670477.4301024436,709680.4918174829,422236.1401024435,293303.6633423015,461439.2018174828
2025-03-17,74,268967,Pharma,262994.07,884844.3562523901,244119.96631277088,640724.3899396192,90174.77207036407,794669.584182026,836440.1305679581,531675.514182026,377730.3199396192,573446.060567958
2025-03-24,81,268967,Pharma,199951.95,942838.8062523901,245202.32929805294,697636.4769543372,92298.34454734673,850540.4617050434,894887.4573310863,650588.5117050435,497684.5269543372,694935.5073310863
2025-03-31,88,268967,Pharma,217097.43,988402.0562523901,234437.42532149923,753964.6309308909,96201.97061549133,892200.0856368988,940629.876845554,675102.6556368987,536867.2009308909,723532.446845554
2025-04-07,95,268967,Pharma,188514.27,999330.45625239,225121.76438690824,774208.6918654819,99132.21619684587,900198.2400555442,951188.9299795903,711683.9700555442,585694.4218654819,762674.6599795903
2025-04-14,102,268967,Pharma,181337.72,999330.45625239,227041.24488911443,772289.2113632758,101146.00285734379,898184.4533950463,953909.0701060708,716846.7333950463,590951.4913632758,772571.3501060709
2025-04-21,109,268967,Pharma,227641.26,999330.45625239,250791.70685474962,748538.7493976405,104536.03897020881,894794.4172821813,955901.4936842355,667153.1572821813,520897.48939764046,728260.2336842355
2025-04-28,116,268967,Pharma,212287.9,999814.0562523901,266606.55012201314,733207.506130377,106136.22909536024,893677.8271570299,956219.325462658,681389.9271570299,520919.6061303769,743931.4254626579
2025-05-05,123,268967,Pharma,206964.49,1045997.6562523901,272469.0631768475,773528.5930755425,107568.8517397111,938428.804512679,1002101.0341163109,731464.314512679,566564.1030755425,795136.5441163109
2025-05-12,130,268967,Pharma,242401.58,1045997.6562523901,288647.12537729065,757350.5308750995,110441.61269246595,935556.0435599241,1000988.2234492721,693154.4635599242,514948.9508750995,758586.6434492721
2025-05-19,137,268967,Pharma,234418.65,1046481.2562523901,308277.6201676226,738203.6360847674,112135.54705746262,934345.7091949275,999474.8624113359,699927.0591949275,503784.9860847674,765056.2124113359
2025-05-26,144,268967,Pharma,275919.95,1092181.25625239,319100.7279849047,773080.5282674853,113602.48062552267,978578.7756268673,1045955.2874635407,702658.8256268674,497160.5782674853,770035.3374635407
2025-06-02,151,268967,Pharma,281205.25,1092181.25625239,325518.61023701064,766662.6460153793,116091.0565043384,976090.1997480516,1046895.0423945304,694884.9497480516,485457.39601537935,765689.7923945304
2025-06-09,158,268967,Pharma,263831.65,1092181.25625239,334949.9585420838,757231.2977103064,145255.3624784035,946925.8937739866,1045125.2783142007,683094.2437739866,493399.64771030634,781293.6283142007
2025-06-16,165,268967,Pharma,245626.38,1092181.25625239,329777.820737325,762403.435515065,189042.1022746747,903139.1539777154,1032535.6319528249,657512.7739777154,516777.055515065,786909.2519528249
2025-06-23,172,268967,Pharma,226080.81,1035861.4400797801,287518.5361091756,748342.9039706044,144805.90251001797,891055.5375697621,572670.01145386,664974.7275697622,522262.0939706044,346589.20145386
2025-06-30,179,268967,Pharma,260360.09,1035861.4400797801,293641.18768487475,742220.2523949052,147745.34741926898,888116.0926605109,572670.01145386,627756.002660511,481860.16239490523,312309.92145386
2025-07-07,186,268967,Pharma,244808.06,979541.6239117399,271186.5415923736,708355.0823193664,152995.9298320669,826545.694079673,933304.560429905,581737.6340796731,463547.0223193664,688496.500429905
2025-07-14,193,268967,Pharma,222549.86,979541.6239117399,272683.20875017357,706858.4151615665,159481.46115875497,820060.162752985,930511.3797718602,597510.302752985,484308.5551615665,707961.5197718602
2025-07-21,200,268967,Pharma,238918.79,997975.2239117399,290364.3815483974,707610.8423633426,175526.48561488136,822448.7382968586,944743.768725878,583529.9482968586,468692.0523633426,705824.9787258779
2025-07-28,207,268967,Pharma,264882.35,997975.2239117399,283842.6004591707,714132.6234525692,168560.4813536869,829414.7425580532,944042.3578233473,564532.3925580533,449250.27345256926,679160.0078233473
2025-08-04,214,268967,Pharma,259584.68,997975.2239117399,276785.7756652725,721189.4482464675,171509.02257742794,826466.2013343121,949141.3282041709,566881.5213343122,461604.7682464675,689556.6482041709
2025-08-11,221,268967,Pharma,307672.96,997975.2239117399,280394.8277715117,717580.3961402284,178690.21740530132,819285.0065064387,952397.5065201403,511612.0465064387,409907.43614022835,644724.5465201403
2025-08-18,228,268967,Pharma,307672.96,997975.2239117399,283460.72784896434,714514.4960627756,186167.2918412891,811807.932070451,950931.958094259,504134.97207045095,406841.5360627756,643258.9980942591
2025-08-25,235,268967,Pharma,311416.01,997975.2239117399,280402.3186399232,717572.9052718169,209147.09863679938,788828.1252749407,945620.0405125169,477412.11527494073,406156.8952718169,634204.0305125169
2025-09-01,242,268967,Pharma,304896.32,998458.82391174,270272.1034187104,728186.7204930297,216688.20953115803,781770.614380582,948940.7558178318,476874.294380582,423290.4004930297,644044.4358178319
2025-09-08,249,268967,Pharma,302209.28,998458.82391174,271954.0808324571,726504.7430792829,222762.9365254149,775695.8873863252,951725.088789987,473486.60738632514,424295.4630792829,649515.808789987
2025-09-15,256,268967,Pharma,283236.31,1003923.02391174,278553.7732473859,725369.2506643541,227832.93209938062,776090.0918123593,955731.2472552459,492853.7818123593,442132.9406643541,672494.9372552459
2025-09-22,263,268967,Pharma,251514.18,1014851.42391174,289828.8076121461,725022.6162995939,226259.7758383452,788591.6480733949,964806.3366619053,537077.4680733948,473508.43629959394,713292.1566619053
2025-09-29,270,268967,Pharma,225804.87,1024413.77391174,297181.5656810847,727232.2082306553,234626.31518489803,789787.4587268422,975524.0724207842,563982.5887268422,501427.3382306553,749719.2024207842
2025-10-06,277,268967,Pharma,263501.2,1036708.22391174,311185.03932781785,725523.1845839221,243792.13475277252,792916.0891589676,988282.2864444674,529414.8891589676,462021.98458392214,724781.0864444673
2025-10-13,284,268967,Pharma,242881.18,1047636.62391174,313020.81053404126,734615.8133776989,266334.57287148264,781302.0510402574,998034.9768892957,538420.8710402574,491734.6333776989,755153.7968892958
2025-10-20,291,268967,Pharma,263748.53,1057198.97391174,319879.1668673615,737319.8070443785,284167.04722015676,773031.9266915832,1006524.1269791721,509283.3966915832,473571.27704437845,742775.5969791721
2025-10-27,298,268967,Pharma,248721.2,1069493.4239117398,318305.1205835534,751188.3033281867,270287.6509965529,799205.7729151871,1019481.1910777643,550484.5729151871,502467.1033281867,770759.9910777642
2025-11-03,305,268967,Pharma,232963.05,1024102.0077391301,311932.6828487722,712169.3248903578,274764.64679970307,749337.360939427,972891.9806783736,516374.31093942706,479206.2748903578,739928.9306783737
2025-11-10,312,268967,Pharma,306353.26,978710.5915665202,303335.1022997088,675375.4892668113,243896.4469965696,734814.1445699505,928419.6122304045,428460.8845699505,369022.2292668113,622066.3522304045
2025-11-17,319,268967,Pharma,321401.26,989638.9915665202,306757.0958093594,682881.8957571607,251688.65922368778,737950.3323428323,940611.9514610198,416549.07234283234,361480.6357571607,619210.6914610198
2025-11-24,326,268967,Pharma,349564.46,1000567.3915665202,307104.2987746455,693463.0927918747,269649.8617357579,730917.5298307622,950417.2066127671,381353.06983076216,343898.63279187464,600852.746612767
2025-12-01,333,268967,Pharma,334234.98,1011495.7915665202,302862.18227516563,708633.6092913544,251821.37731220998,759674.4142543101,962402.4344104591,425439.4342543101,374398.62929135445,628167.4544104591
2025-12-08,340,268967,Pharma,330780.69,1023391.3915665201,304831.5829803329,718559.8085861872,262295.1837216615,761096.2078448585,975351.4113374905,430315.5178448585,387779.1185861872,644570.7213374905
2025-12-15,347,268967,Pharma,334550.57,979366.02539391,297478.19695965765,681887.8284342525,267167.64140986966,712198.3839840406,929908.0505903789,377647.8139840406,347337.2584342525,595357.4805903789
2025-12-22,354,268967,Pharma,333222.01,935340.6592213002,287962.6831157776,647377.9761055225,230401.4063185371,704939.252902763,887931.1173985206,371717.24290276296,314155.9661055225,554709.1073985206
2025-12-29,361,268967,Pharma,382653.99,949001.1592213002,298093.9877348881,650907.1714864121,236991.92546154544,712009.2337597548,904113.4217781862,329355.2437597548,268253.18148641207,521459.43177818623
