PF,Famille,Stock PF initial DC,Demande S1 PF,Couverture S1 PF x,Demande 52s PF,Couverture 52s PF %,CA livre 01-05/01,CA perdu 01-05/01,Rep CA perdu,Stock PF immob 06/01,Stock comp initial,Besoin comp S1,Couverture S1 comp x,Stock comp immob 06/01,Delai secu PF DC,Lot min PF,Lot max PF
268091,Cos,430538.0,13300.0,32.37127819548872,3576442.0,12.038165305071352,24890.339999999997,1453.35,1,256910.48,726887.2090245851,6349.0292726,114.48792843995135,656921.88,20.0,14400.0,142485.0
268967,Pharma,1101534.0,17940.0,61.40100334448161,1575986.0,69.89491023397416,36470.21,105.6,2,2472793.99,422500.19442500005,9372.7041013008,45.07772675404987,220644.25,25.0,107800.0,107800.0
