PF,Famille,Stock PF initial DC 01/01 (UN),Valeur stock PF 06/01 source (EUR),Valeur unitaire PF implicite (EUR/UN),Stock composants initial 01/01 - quantites par unite,Valeur stock composants initial 01/01 (EUR),Valeur stock composants immobilise 06/01 (EUR),Demande PF semaine 1 source (UN),Valeur demande semaine 1 au cout stock PF (EUR),CA livre 01-05/01 source (EUR),CA perdu 01-05/01 source (EUR),Demande PF 52 semaines source (UN),Valeur demande 52 semaines au cout stock PF (EUR)
268091,Cos,430538.0,256910.48,0.5967196391491576,G: 86 042 176.0; KG: 163 305.1; UN: 782 224.0,726887.2090245851,656921.88,13300.0,7936.371200683796,24890.339999999997,1453.35,3576442.0,2134133.1796778915
268967,Pharma,1101534.0,2472793.99,2.244863971516086,G: 47 925 412.5; M: 68 387.0; UN: 78 893 887.0,422500.19442500005,220644.25,17940.0,40272.85964899858,36470.21,105.6,1575986.0,3537874.19101375
