PF,Famille,Stock composants initial EUR,Besoin brut lead+securite EUR,Besoin net lead+securite apres stock PF EUR,Stock securite source EUR,Stock utile brut cappe EUR,Stock utile net cappe EUR,Immobilise estime brut EUR,Immobilise estime net EUR,Immobilise reel 06/01 EUR,Ecart brut vs reel EUR,Ecart net vs reel EUR
268091,Cos,726887.2090245851,409169.13634702,204776.737986804,13009.2,253513.976490068,183225.609976804,473373.232534517,543661.5990477811,656921.88,-183548.647465483,-113260.28095221892
268967,Pharma,422500.19442500005,241652.82197112762,0.0,37233.09999999999,156864.5220911276,37233.09999999999,265635.67233387235,385267.0944250001,220644.25,44991.42233387235,164622.84442500008
