PF,Article,Type ordre,Division,Fournisseur/expediteur,Quantite,Unite,Date livraison,Temps reception j,Date entree
268091,268091,O.Proc,1810,,139660.0,ZUN,2025-01-10,10,2025-01-24
268091,268091,O.Proc,1810,,20795.0,ZUN,2025-01-22,10,2025-02-05
268091,268091,O.Proc,1810,,77520.0,ZUN,2025-01-22,10,2025-02-05
268091,268091,O.Proc,1810,,16800.0,ZUN,2025-01-29,10,2025-02-12
268091,268091,O.Proc,1810,,141795.0,ZUN,2025-01-30,10,2025-02-13
268091,338928,AVICDE,1810,VD0901566A,153617.0,ZUN,2025-01-09,6,2025-01-17
268091,338928,AVICDE,1810,VD0901566A,27576.0,ZUN,2025-01-09,6,2025-01-17
268091,338928,AVICDE,1810,VD0901566A,183840.0,ZUN,2025-01-09,6,2025-01-17
268091,338929,AVICDE,1810,VD0914360C,57600.0,ZUN,2025-01-09,4,2025-01-15
268091,1757,AVICDE,1810,VD0951020A,2000000.0,G,2025-01-10,13,2025-01-29
268091,49371,AVICDE,1810,VD0518550B,1800000.0,G,2025-01-15,8,2025-01-27
268091,49371,AVICDE,1810,VD0518550B,1800000.0,G,2025-01-17,8,2025-01-29
268091,49371,AVICDE,1810,VD0518550B,1800000.0,G,2025-01-17,8,2025-01-29
268091,55703,ECHCDE,1810,VD0914320A,300000.0,G,2025-01-17,13,2025-02-05
268091,2612,AVICDE,1810,VD0910216A,22500.0,KG,2025-01-20,8,2025-01-30
268091,7923,AVICDE,1810,VD0956464A,19140000.0,G,2025-01-23,6,2025-01-31
268091,1757,AVICDE,1810,VD0951020A,4000000.0,G,2025-01-28,13,2025-02-14
268091,426331,AVICDE,1810,VD0989480A,19200.0,ZUN,2025-01-29,1,2025-01-30
268967,734545,AVICDE,1430,VD0525906A,6400.0,ZUN,2025-01-06,0,2025-01-06
268967,38005,AVICDE,1430,VD0520132A,10000000.0,G,2025-01-15,14,2025-02-04
268967,42342,AVICDE,1430,VD0914690A,30000000.0,ZUN,2025-01-17,14,2025-02-06
268967,38005,AVICDE,1430,VD0520132A,10000000.0,G,2025-01-24,14,2025-02-13
268967,38005,AVICDE,1430,VD0520132A,10000000.0,G,2025-01-28,14,2025-02-17
268967,42342,AVICDE,1430,VD0914690A,30000000.0,ZUN,2025-01-31,14,2025-02-20
