PF,Famille,Composant,Fournisseur,Stock initial EUR,Lead fournisseur min j,Delai securite j,Horizon lead+securite j,Besoin brut lead+securite EUR,Besoin net lead+securite apres stock PF EUR,Stock securite source EUR,Utile brut cappe stock EUR,Utile net cappe stock EUR,Immobilise estime brut EUR,Immobilise estime net EUR
268091,Cos,001757,VD0951020A,46153.12122,84.0,20.0,104.0,11747.674193472,7951.052337312,0.0,11747.674193472,7951.052337312,34405.447026528,38202.068882688
268091,Cos,001848,VD0519670A,29659.046940000004,21.0,20.0,41.0,1720.898353776,205.39598301599978,0.0,1720.898353776,205.39598301599978,27938.148586224004,29453.650956984005
268091,Cos,001893,VD0518684A,45395.44,28.0,15.0,43.0,18861.114589183995,3450.8851767039987,0.0,18861.114589183995,3450.8851767039987,26534.325410816007,41944.554823296006
268091,Cos,002612,VD0500655A,193437.262265625,28.0,20.0,48.0,1566.8601933599996,465.63009695999983,0.0,1566.8601933599996,465.63009695999983,191870.40207226502,192971.632168665
268091,Cos,016332,VD0514881A,24389.0124,49.0,7.0,56.0,9788.441834438401,3994.9227368064,0.0,9788.441834438401,3994.9227368064,14600.570565561598,20394.0896631936
268091,Cos,029313,VD0519670A,469.5381,56.0,7.0,63.0,70.929262908,34.745988311999994,0.0,70.929262908,34.745988311999994,398.608837092,434.792111688
268091,Cos,039668,VD1096202A,5612.875950000001,35.0,7.0,42.0,251.78895162960004,38.36007104160002,0.0,251.78895162960004,38.36007104160002,5361.086998370401,5574.5158789584
268091,Cos,049371,VD0520132A,60635.3245,147.0,40.0,187.0,52454.72566695201,42979.776877212,13009.2,60635.3245,55988.976877212,0.0,4646.347622787998
268091,Cos,055703,VD0914320A,19814.96890895998,21.0,30.0,51.0,1857.0938040199997,641.3707372799997,0.0,1857.0938040199997,641.3707372799997,17957.875104939983,19173.598171679983
268091,Cos,099439,VD0505677A,45598.88872,35.0,7.0,42.0,9454.97414596,1440.4662221600006,0.0,9454.97414596,1440.4662221600006,36143.91457404,44158.42249784
268091,Cos,693055,D1450,0.0,70.0,20.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268091,Cos,007923,VD0951020A,110037.96,14.0,15.0,29.0,1997.6473216,0.0,0.0,1997.6473216,0.0,108040.3126784,110037.96
268091,Cos,338928,VD0901566A,57098.42515,70.0,10.0,80.0,152498.07794,91658.75316,0.0,57098.42515,57098.42515,0.0,0.0
268091,Cos,338929,VD0914360C,76410.9,42.0,10.0,52.0,144847.0059,51915.378600000004,0.0,76410.9,51915.378600000004,0.0,24495.52139999999
268091,Cos,426331,VD0989480A,12174.44487,28.0,7.0,35.0,2051.90418972,0.0,0.0,2051.90418972,0.0,10122.540680279999,12174.44487
268967,Pharma,038005,VD0520132A,171825.29352500002,154.0,20.0,174.0,82076.2851325116,0.0,0.0,82076.2851325116,0.0,89749.00839248841,171825.29352500002
268967,Pharma,042342,VD0914690A,174037.49116,21.0,5.0,26.0,21084.995384856004,0.0,0.0,21084.995384856004,0.0,152952.495775144,174037.49116
268967,Pharma,333362,VD0525412A,38864.12249999999,60.0,10.0,70.0,129603.99374999998,0.0,30053.099999999995,38864.12249999999,30053.099999999995,0.0,8811.022499999995
268967,Pharma,344135,VD0993480A,0.0,35.0,10.0,45.0,1228.42863,0.0,0.0,0.0,0.0,0.0,0.0
268967,Pharma,708073,VD0520115A,37073.4992,28.0,10.0,38.0,7013.7311316800005,0.0,7180.0,14193.73113168,7180.0,22879.768068319998,29893.4992
268967,Pharma,730384,VD0508918A,0.0,56.0,10.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268967,Pharma,734545,VD1095770A,699.78804,21.0,10.0,31.0,645.38794208,0.0,0.0,645.38794208,0.0,54.40009792000001,699.78804
