snapshot,sim_day,product_code,component_item_id,stock_value_eur,future_pf_demand_qty,dc_stock_qty,net_pf_demand_qty,horizon_working_days,horizon_calendar_days,gross_need_value_eur,net_need_value_eur,safety_value_eur,immobilized_gross_rule_eur,immobilized_net_rule_eur
2025-01-06,4,268091,item:001757,46026.137412,1403059.346943,345580.265303,1057479.08164,104.0,146,12372.626300334396,9325.188935207643,0.0,33653.511111665604,36700.94847679236
2025-01-06,4,268091,item:001848,29608.358652,579214.693877,345580.265303,233634.42857400002,41.0,58,2038.847306740918,822.3978612690516,0.0,27569.51134525908,28785.960790730947
2025-01-06,4,268091,item:001893,44880.021376,612434.612244,345580.265303,266854.34694099997,43.0,61,21920.847578665,9551.506965885334,0.0,22959.173797334995,35328.514410114665
2025-01-06,4,268091,item:002612,193400.42994594,682731.42857,345580.265303,337151.163267,48.0,68,1746.2904479963456,862.3652454043324,0.0,191654.13949794366,192538.06470053567
2025-01-06,4,268091,item:007923,109944.4176,356544.448982,345580.265303,10964.183679000009,29.0,41,2316.112740587072,71.22333717878406,0.0,107628.30485941292,109873.19426282121
2025-01-06,4,268091,item:016332,24195.2393184,809435.265306,345580.265303,463855.000003,56.0,79,10892.13650792064,6241.848108760371,0.0,13303.102810479359,17953.391209639627
2025-01-06,4,268091,item:029313,468.3278952,911107.387757,345580.265303,565527.122454,63.0,89,76.57128708187379,47.52803042527907,0.0,391.7566081181262,420.79986477472096
2025-01-06,4,268091,item:039668,5605.7374956,590540.693877,345580.265303,244960.42857400002,42.0,59,292.74637601286975,121.43325341527475,0.0,5312.991119587131,5484.304242184726
2025-01-06,4,268091,item:049371,60318.420388,2459128.2653080006,345580.265303,2113548.0000050007,187.0,262,54118.6013341342,46513.33695215006,13009200.0,0.0,0.0
2025-01-06,4,268091,item:055703,19774.307197775,726179.265305,345580.265303,380599.000002,51.0,72,2050.534176819687,1074.7088142756472,0.0,17723.773020955312,18699.598383499353
2025-01-06,4,268091,item:099439,45330.83128,590540.693877,345580.265303,244960.42857400002,42.0,59,10992.974070589742,4559.962873947868,0.0,34337.85720941026,40770.868406052134
2025-01-06,4,268091,item:338928,55063.56115,1123548.163264,345580.265303,777967.8979610001,80.0,112,158768.59095083585,109934.64366086891,0.0,0.0,0.0
2025-01-06,4,268091,item:338929,73302.65999999999,737766.122448,345580.265303,392185.857145,52.0,73,159246.8175304008,84653.31726474824,0.0,0.0,0.0
2025-01-06,4,268091,item:426331,12094.622358,463398.16326700005,345580.265303,117817.89796400006,35.0,49,2568.7226005665325,653.091706530984,0.0,9525.899757433468,11441.530651469016
2025-01-13,11,268091,item:001757,46026.137412,1429821.1632669999,265327.224485,1164493.938782,104.0,146,12608.62056046065,10268.880190240085,0.0,33417.516851539345,35757.25722175991
2025-01-13,11,268091,item:001848,29608.358652,615610.6530589999,265327.224485,350283.4285739999,41.0,58,2166.961810980741,1233.0046742490513,0.0,27441.396841019257,28375.353977750947
2025-01-13,11,268091,item:001893,44880.021376,645151.9591809999,265327.224485,379824.7346959999,43.0,61,23091.898268887162,13595.051535984536,0.0,21788.123107112835,31284.96984001546
2025-01-13,11,268091,item:002612,193400.42994594,723667.2244879999,265327.224485,458340.0000029999,48.0,68,1850.9960267954057,1172.342052007673,0.0,191549.4339191446,192228.08789393233
2025-01-13,11,268091,item:007923,109944.4176,411947.30612300005,265327.224485,146620.08163800003,29.0,41,2676.0097005750085,952.4440503204482,0.0,107268.40789942499,108991.97354967955
2025-01-13,11,268091,item:016332,24195.2393184,847757.3673469999,265327.224485,582430.1428619999,56.0,79,11407.816494439683,7837.45024993736,0.0,12787.422823960316,16357.78906846264
2025-01-13,11,268091,item:029313,468.3278952,926541.7142869999,265327.224485,661214.4898019999,63.0,89,77.86841875210804,55.56978815193967,0.0,390.459476447892,412.7581070480603
2025-01-13,11,268091,item:039668,5605.7374956,625167.7959159999,265327.224485,359840.5714309999,42.0,59,309.911930798255,178.38232711320387,0.0,5295.825564801746,5427.355168486796
