PF,Famille,Composant,Stock initial 01/01 quantite,Unite stock,Valeur stock initial 01/01 (EUR),Demande composant S1 quantite BOM,Unite demande,Valeur demande composant S1 (EUR),Demande composant 52s quantite BOM,Valeur demande composant 52s (EUR)
268091,Cos,002612,153521.63671875,KG,193437.262265625,26.998999999999995,KG,34.018739999999994,7260.177259999999,9147.823347599999
268091,Cos,007923,55018980.0,G,110037.96,43198.4,G,86.3968,11616283.616,23232.567232
268091,Cos,338929,354000.0,UN,76410.9,13300.0,UN,2870.805,3576442.0,771975.0057
268091,Cos,049371,4138930.0,G,60635.3245,19979.26,G,292.696159,5372531.1724,78707.58167566001
268091,Cos,338928,404065.0,UN,57098.42515,13300.0,UN,1879.423,3576442.0,505387.01901999995
268091,Cos,001757,8499654.0,G,46153.12122,21599.2,G,117.283656,5808141.808,31538.210017439997
268091,Cos,099439,4972616.0,G,45598.88872,26999.0,G,247.58083,7260177.259999999,66575.8254742
268091,Cos,001893,9783.5,KG,45395.44,102.5962,KG,476.046368,27588.673587999998,128011.44544832
268091,Cos,001848,10262646.0,G,29659.046940000004,16199.4,G,46.816266000000006,4356106.356,12589.147368840002
268091,Cos,016332,883020.0,G,24389.0124,6479.76,G,178.97097120000004,1742442.5424000002,48126.26302108801
268091,Cos,055703,569805.000976563,G,19814.96890895998,1079.96,G,37.555609,290407.09040000004,10098.906568659999
268091,Cos,426331,24159.0,UN,12174.44487,146.3,UN,73.724959,39340.862,19825.040587659998
268091,Cos,039668,459695.0,G,5612.875950000001,539.98,G,6.593155800000001,145203.54520000002,1772.9352868920002
268091,Cos,029313,226830.0,G,469.5381,539.98,G,1.1177586,145203.54520000002,300.571338564
268091,Cos,693055,1010000.0,G,0.0,5399.8,G,0.0,1452035.452,0.0
268967,Pharma,042342,78749996.0,UN,174037.49116,1082535.48,UN,2392.4034108,95098147.212,210166.90533852
268967,Pharma,038005,37598532.5,G,171825.29352500002,313935.21744,G,1434.6839437008,27578456.387535997,126033.54569103952
268967,Pharma,333362,142250.0,UN,38864.12249999999,17940.0,UN,4901.387399999999,1575986.0,430575.13505999994
268967,Pharma,708073,10326880.0,G,37073.4992,142264.2,G,510.72847800000005,12497568.98,44866.272638200004
268967,Pharma,734545,1641.0,UN,699.78804,143.52,UN,61.202668800000005,12607.888,5376.50775872
268967,Pharma,344135,0.0,UN,0.0,17940.0,UN,72.29820000000001,1575986.0,6351.223580000001
268967,Pharma,730384,68387.0,M,0.0,3803.28,M,0.0,334109.032,0.0
