PF,Famille,Composant,Stock initial 01/01 quantite,Unite stock,Valeur stock initial 01/01 (EUR),Stock securite source quantite,Valeur stock securite source (EUR),Delai securite composant (j ouvres),Demande composant sur delai securite quantite,Unite demande,Valeur demande composant sur delai securite (EUR),Demande composant S1 quantite BOM,Valeur demande composant S1 (EUR)
268091,Cos,001757,8499654.0,G,46153.12122,0.0,0.0,20.0,296025.968,G,1607.4210062399998,21599.2,117.283656
268091,Cos,001848,10262646.0,G,29659.046940000004,0.0,0.0,20.0,222019.476,G,641.6362856400001,16199.4,46.816266000000006
268091,Cos,001893,9783.5,KG,45395.44,0.0,0.0,15.0,775.87412,KG,3600.0559168,102.5962,476.046368
268091,Cos,002612,153521.63671875,KG,193437.262265625,0.0,0.0,20.0,370.03245999999996,KG,466.24089959999986,26.998999999999995,34.018739999999994
268091,Cos,016332,883020.0,G,24389.0124,0.0,0.0,7.0,13440.67872,G,371.23154624640006,6479.76,178.97097120000004
268091,Cos,029313,226830.0,G,469.5381,0.0,0.0,7.0,1120.05656,G,2.3185170792,539.98,1.1177586
268091,Cos,039668,459695.0,G,5612.875950000001,0.0,0.0,7.0,1120.05656,G,13.6758905976,539.98,6.593155800000001
268091,Cos,049371,4138930.0,G,60635.3245,888000.0,13009.2,40.0,705820.6876,G,10340.27307334,19979.26,292.696159
268091,Cos,055703,569805.000976563,G,19814.96890895998,0.0,0.0,30.0,26044.250400000004,G,905.6888076599998,1079.96,37.555609
268091,Cos,099439,4972616.0,G,45598.88872,0.0,0.0,7.0,56002.827999999994,G,513.5459327599999,26999.0,247.58083
268091,Cos,693055,1010000.0,G,0.0,0.0,0.0,20.0,74006.492,G,0.0,5399.8,0.0
268091,Cos,007923,55018980.0,G,110037.96,0.0,0.0,15.0,326683.84,G,653.36768,43198.4,86.3968
268091,Cos,338928,404065.0,UN,57098.42515,0.0,0.0,10.0,49019.0,UN,6926.874889999999,13300.0,1879.423
268091,Cos,338929,354000.0,UN,76410.9,0.0,0.0,10.0,49019.0,UN,10580.75115,13300.0,2870.805
268091,Cos,426331,24159.0,UN,12174.44487,0.0,0.0,7.0,303.46360000000004,UN,152.92441194799997,146.3,73.724959
268967,Pharma,038005,37598532.5,G,171825.29352500002,0.0,0.0,20.0,2069907.532336,G,9459.47742277552,313935.21744,1434.6839437008
268967,Pharma,042342,78749996.0,UN,174037.49116,0.0,0.0,5.0,1082535.48,UN,2392.4034108,1082535.48,2392.4034108
268967,Pharma,333362,142250.0,UN,38864.12249999999,110000.0,30053.099999999995,10.0,61737.0,UN,16867.165769999996,17940.0,4901.387399999999
268967,Pharma,344135,0.0,UN,0.0,0.0,0.0,10.0,61737.0,UN,248.80011000000005,17940.0,72.29820000000001
268967,Pharma,708073,10326880.0,G,37073.4992,2000000.0,7180.0,10.0,489574.41000000003,G,1757.5721319000002,142264.2,510.72847800000005
268967,Pharma,730384,68387.0,M,0.0,23500.0,0.0,10.0,13088.244,M,0.0,3803.28,0.0
268967,Pharma,734545,1641.0,UN,699.78804,0.0,0.0,10.0,493.896,UN,210.61701024,143.52,61.202668800000005
