baseline::avg_inventory,baseline::ending_backlog,baseline::fill_rate,baseline::total_cost,baseline::total_external_procured_ordered_qty,case_id,case_input,case_output_dir,delta::avg_inventory,delta::ending_backlog,delta::fill_rate,delta::total_cost,delta::total_external_procured_ordered_qty,delta_pct::avg_inventory,delta_pct::ending_backlog,delta_pct::fill_rate,delta_pct::total_cost,delta_pct::total_external_procured_ordered_qty,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,notes,parameter_group,parameter_key,parameter_label,status,study
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_lead_time_scale_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_lead_time_scale_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_lead_time_scale_stress\simulation_output,239214.51819999982,318.36030000000005,-0.01683699999999999,669370.4037999995,0.0,5.1371002401733605,43.700796156485936,-1.754097182213785,4.93474900757932,nan,stress,1.25,4895820.5219,0.276175,0.157815,0.001851,0.209076,0.355083,1046.8603,5183160.3384,0.94303,18375.6103,975.6103,2141790.8992,14233796.9384,17400.0,770510.5805,39009523.5449,771303.1747,855186.0992,169749.0718,0.0,0.0,0.0,0.0,0.0,3931025.7998,11231502.2851,2246300.457,14207445.962,0.0,105499.3017,26350.9764,17328.75,806534.5879,817916.6414,2975943.6769,0.0,5054176.0283,,lead_time,lead_time_scale,Lead time global,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_transport_cost_scale_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_transport_cost_scale_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_transport_cost_scale_stress\simulation_output,0.0,0.0,0.0,727282.4454999994,0.0,0.0,0.0,0.0,5.3616895903771145,nan,stress,1.25,4656606.0037,0.26031,0.148749,0.001815,0.254442,0.334684,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,14291708.9801,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,14265768.143,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,3636412.2277,0.0,4783210.1619,,transport_cost,transport_cost_scale,Cout transport global,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_supplier_stock_scale_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_supplier_stock_scale_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_supplier_stock_scale_stress\simulation_output,-755.6144000003114,0.0,0.0,-1256.2662000004202,0.0,-0.01622671961939496,0.0,0.0,-0.009261476677955748,nan,stress,0.8,4655850.3893,0.27426,0.15672,0.001913,0.214487,0.35262,728.5,4810715.3855,0.959867,18152.25,752.25,1391547.6229,13563170.2684,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168568.9218,0.0,0.0,0.0,0.0,0.0,3719834.8772,10628099.6491,2125619.9298,13537229.4313,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4782644.8421,,supplier_stock,supplier_stock_scale,Stock fournisseur global,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_production_stock_scale_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_production_stock_scale_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_production_stock_scale_stress\simulation_output,-1.7703999998047948,0.0,0.0,-4.293300000950694,0.0,-3.801910658531316e-05,0.0,0.0,-3.165117220399541e-05,nan,stress,0.8,4656604.2333,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391582.4649,13564422.2413,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168312.5218,0.0,0.0,0.0,0.0,0.0,3720273.0677,10629351.622,2125870.3244,13538481.4042,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783208.2299,,production_stock,production_stock_scale,Stock production global,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_supplier_capacity_scale_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_supplier_capacity_scale_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_supplier_capacity_scale_stress\simulation_output,-229571.6749999998,0.0,0.0,-300737.58660000004,0.0,-4.9300214537710305,0.0,0.0,-2.2171050566191033,nan,stress,0.8,4427034.3287,0.276458,0.157976,0.001929,0.208191,0.355446,728.5,4570106.8701,0.959867,18152.25,752.25,1630300.2072,13263688.948,17400.0,628532.7196,45900329.5773,629353.2725,777915.6252,168240.5218,0.0,0.0,0.0,0.0,0.0,3666856.9599,10476734.1711,2095346.8342,13238109.2208,0.0,105499.3017,25579.7271,17423.75,750083.222,4494900.175,2761375.0497,0.0,4714530.377,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_supplier_reliability_scale_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_supplier_reliability_scale_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_supplier_reliability_scale_stress\simulation_output,-106808.05190000031,5831.3412,-0.282083,-14597.363000001758,0.0,-2.293688832921098,800.4586410432396,-29.387717256661595,-0.10761503969789622,nan,stress,0.9,4549797.9518,0.27321,0.15612,0.001926,0.217474,0.35127,6559.8412,4699182.7515,0.677784,20358.495,2958.495,1490935.4965,13549829.1716,17400.0,777080.9373,45326520.5984,777831.3231,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3701949.2546,10576997.8704,2115399.5741,13523729.3377,0.0,105158.4267,26099.8339,13798.6537,801243.0031,1675815.125,2946731.4674,89027.0003,4759649.0417,,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_safety_stock_days_scale_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_safety_stock_days_scale_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_safety_stock_days_scale_stress\simulation_output,-454.72000000067055,0.0,0.0,-391.0592000000179,0.0,-0.009765052049483327,0.0,0.0,-0.0028829762836085114,nan,stress,0.8,4656151.2837,0.274265,0.156723,0.001912,0.214474,0.352626,728.5,4811016.6655,0.959867,18152.25,752.25,1391548.2649,13564035.4754,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720137.6996,10628964.8561,2125792.9712,13538094.6382,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783034.1852,,safety_stock,safety_stock_days_scale,Safety stock global,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_demand_item_item_268091_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_demand_item_item_268091_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_demand_item_item_268091_stress\simulation_output,-2371.094700000249,480.1500000000001,-0.019181000000000004,21165.852699998766,0.0,-0.05091894607609593,65.90940288263558,-1.998297680824531,0.15603942154140557,nan,stress,1.2,4654234.909,0.273828,0.156473,0.001959,0.215675,0.352065,1208.65,4808313.0514,0.940686,20377.15,1237.15,1403356.7419,13585592.3873,19140.0,777783.4324,33785466.8275,778534.994,782664.5135,168268.5218,0.0,0.0,0.0,0.0,0.0,3720117.7201,10628907.7716,2125781.5543,13558976.4755,0.0,107239.3017,26615.9118,19168.5,800076.8934,687516.2492,2930068.7039,0.0,4783008.4972,,demand_item,demand_item::item:268091,Demande 268091,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_demand_item_item_268967_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_demand_item_item_268967_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_demand_item_item_268967_stress\simulation_output,-75438.99179999996,1837.65,-0.08588300000000004,257210.96699999832,0.0,-1.6200424029874632,252.2512010981469,-8.947385419021597,1.8962170375865666,nan,stress,1.2,4581167.0119,0.268957,0.15369,0.001953,0.229597,0.345802,2566.15,4728988.3765,0.873984,20363.65,1223.65,1462543.5757,13821637.5016,19140.0,770576.4582,44062437.8205,771419.4598,782664.5135,168268.5218,0.0,0.0,0.0,0.0,0.0,3717432.3025,10621235.1499,2124247.03,13794641.2967,0.0,105882.8017,26996.2049,17797.5,859251.3595,1390462.8355,3173406.1468,0.0,4779555.8174,,demand_item,demand_item::item:268967,Demande 268967,ok,stress
4656606.0037,728.5,0.959867,13564426.5346,0.0,stress_capacity_node_M-1430_stress,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_capacity_node_M-1430_stress\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic_all_suppliers\cases\stress\stress_capacity_node_M-1430_stress\simulation_output,10282.957999999635,1203.8625,-0.06492300000000006,-471627.7058000006,0.0,0.22082516733924026,165.2522306108442,-6.763749561137122,-3.4769454100914436,nan,stress,0.85,4666888.9617,0.283925,0.162243,0.001721,0.187066,0.365046,1932.3625,4772521.7413,0.894944,18393.6125,993.6125,1275995.2858,13092798.8288,17400.0,662114.9501,12689525.8092,674017.479,775267.577,161776.0735,0.0,0.0,0.0,0.0,0.0,3717368.2795,10621052.2272,2124210.4454,13070272.2261,0.0,91338.1565,22526.6027,16461.25,666986.9488,26747.6562,2449219.9989,0.0,4779473.5022,,capacity_node,capacity_node::M-1430,Capacite M-1430,ok,stress
