time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Supply Rate,Production Rate,Adjusted Supply Rate,Recycled Materials,Buffer Size,Processing Time 1,Processing Time 2,Processing Time 3,Processing Time 4,Processing Time 5,Processing Time 6,Processing Time 7,Carbon Emissions Rate 1,Carbon Emissions Rate 2,Carbon Emissions Rate 3,Carbon Emissions Rate 4,Carbon Emissions Rate 5,Carbon Emissions Rate 6,Carbon Emissions Rate 7,Recycling Rate,Carbon Emissions Supply,Carbon Emissions Supply with Recycling,Carbon Emissions 1,Carbon Emissions 2,Carbon Emissions 3,Carbon Emissions 4,Carbon Emissions 5,Carbon Emissions 6,Carbon Emissions 7,Inventory 1,Inventory 2,Inventory 3,Inventory 4,Inventory 5,Inventory 6,Inventory 7
0.0,30,0,0.125,0.125,15,15,10,0.0,50,0.8005670754210529,1.1707767186076654,0.9783162455771583,1.1927022334297046,0.8689515034756158,1.0573770973195444,0.9004139273530142,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,30,0,0.125,0.125,15,15,10,0.35248965181617464,50,1.1992951522756807,0.9737655668304166,0.9831580739049545,1.0412333569321004,0.8994435362972215,1.069845081579517,1.015856594181018,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,3.75,3.0,0.46875,0.5625,0.65625,0.75,0.84375,0.9375,1.03125,1.7749291155723683,1.7286529101740418,1.7527104693028552,1.725912220821287,1.766381062065548,1.7428278628350569,1.7624482590808732
0.25,30,0,0.125,0.125,15,15,10,0.7020932369616493,50,0.9220633263996719,0.9562953628530668,0.9799719829245472,0.8311277819620302,0.8657532504952534,0.8860791711625716,0.9335840577794329,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,7.5,6.0,0.9375,1.125,1.3125,1.5,1.6875,1.875,2.0625,3.500017221537908,3.48193221432024,3.5048157100647357,3.4707580512047747,3.5289506200283953,3.4840972276376174,3.510466184808246
0.375,30,0,0.125,0.125,15,15,10,1.0537536355171635,50,1.1092512372313488,1.054873392700813,1.153982889335511,0.8527157352447595,1.1475330162937825,1.1192072114964584,0.8818475475282331,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,11.25,9.0,1.40625,1.6875,1.96875,2.25,2.53125,2.8125,3.09375,5.2597593057379495,5.237395293963607,5.257319212199167,5.241867078459521,5.295731463716489,5.248337331242296,5.268768177585817
0.5,30,0,0.125,0.125,15,15,10,1.4067074468289578,50,1.0531817104589525,1.1344041097691375,0.9776580822040968,1.1525445449461174,0.9486094473428692,1.0241131725541335,0.9735165120634443,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,15.0,12.0,1.875,2.25,2.625,3.0,3.375,3.75,4.125,6.996102901084031,6.980536119876005,6.988071351032229,7.010277611553926,7.027289836679767,6.983436429805239,7.033537234144788
0.625,30,0,0.125,0.125,15,15,10,1.7573695340273716,50,1.1680795936745565,1.0019929662403375,0.8069106883862158,0.8117305007374365,0.8827049998012794,0.9163767497692806,0.8156386508241058,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,18.75,15.0,2.34375,2.8125,3.28125,3.75,4.21875,4.6875,5.15625,8.739455187276661,8.713735606154863,8.740864090756716,8.741209543435662,8.783713655761908,8.730422283235972,8.786847670136858
0.75,30,0,0.125,0.125,15,15,10,2.1119785677567693,50,0.9250324101763618,1.111042687334273,1.1634101060200654,0.8942004011469361,0.9991755604980287,0.8054283910958113,0.9473118839440745,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,22.5,18.0,2.8125,3.375,3.9375,4.5,5.0625,5.625,6.1875,10.468445238067341,10.46348648537482,10.51500025470844,10.514743230843482,10.548375530786748,10.490875189514812,10.559892838783846
0.875,30,0,0.125,0.125,15,15,10,2.463295770658167,50,1.0507591648704449,1.1228011261731627,0.9537103368253033,1.0562535932365744,1.1595586489927874,1.1685818951336557,1.0370643428953774,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,26.25,21.0,3.28125,3.9375,4.59375,5.25,5.90625,6.5625,7.21875,12.227816186795296,12.199606149458036,12.244573991455932,12.277968180700116,12.298478585724494,12.265196640627835,12.316478853290835
1.0,30,0,0.125,0.125,15,15,10,2.812369162085783,50,1.1851561808471347,0.817777595007072,0.9290801048722388,0.970080412616046,0.8398687673195977,0.9938592138666626,0.8197970622348641,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,30.0,24.0,3.75,4.5,5.25,6.0,6.75,7.5,8.25,13.971471291186491,13.934256008686392,14.00036019935277,14.020936481545544,14.028533754600396,13.994123903736128,14.061845810428913
1.125,30,0,0.125,0.125,15,15,10,3.166874235529911,50,0.9406452360716541,0.9926766331930795,1.0141983246850808,0.8113686320694933,0.894853096743341,1.0902155495087564,0.943550229883217,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,33.75,27.0,4.21875,5.0625,5.90625,6.75,7.59375,8.4375,9.28125,15.6983267685806,15.707033809310508,15.75922518624374,15.774676429968538,15.798550158685446,15.744891502002794,15.834371177649555
1.25,30,0,0.125,0.125,15,15,10,3.518285479782831,50,0.8405788497854663,0.8414960275127632,0.9767922852023605,0.9737764294506521,1.0481615355059901,0.9796186358068594,0.9145800998061626,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,37.5,30.0,4.6875,5.625,6.5625,7.5,8.4375,9.375,10.3125,17.455746114071644,17.457949230161372,17.507450395658104,17.548255350959852,17.561693521592527,17.4836145583142,17.591427398914153
1.375,30,0,0.125,0.125,15,15,10,3.8704209772876768,50,1.1555200594038024,0.972323824572912,1.0508800229405182,0.9714150965739459,1.197552560324207,1.1296239342215917,0.8115714058588281,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,41.25,33.0,5.15625,6.1875,7.21875,8.25,9.28125,10.3125,11.34375,19.22567375784846,19.227762226722277,19.26035136000781,19.30153329727852,19.30567332965428,19.236162228838342,19.352104886438383
1.5,30,0,0.125,0.125,15,15,10,4.225131692141206,50,1.1601821694380077,1.0307498428535145,0.8836205437787417,0.9130070548209821,0.8126583212634009,0.9067513183337609,0.9462220297116087,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,45.0,36.0,5.625,6.75,7.875,9.0,10.125,11.25,12.375,20.956233750422985,20.98122174865066,21.003991357140244,21.05510641020678,21.030979259613755,20.969959237060642,21.125658460706028
1.625,30,0,0.125,0.125,15,15,10,4.576476141398415,50,1.1071165491456365,1.1698942479361296,1.1391790778453035,0.8519086706624556,1.0994240337262973,0.900338532521966,1.1389148644006912,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,48.75,39.0,6.09375,7.3125,8.53125,9.75,10.96875,12.1875,13.40625,22.686210979243235,22.727378018293972,22.768538789167902,22.815980528354157,22.80439696945583,22.731615322268922,22.882380706992077
1.75,30,0,0.125,0.125,15,15,10,4.923003269788398,50,0.9986288112483157,1.137277040760427,1.062601770317997,1.1606315566018646,1.1454382694558893,0.8221478326611719,1.127282149191664,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,52.5,42.0,6.5625,7.875,9.1875,10.5,11.8125,13.125,14.4375,24.42282141060003,24.456141237301956,24.501141404437238,24.58449194452135,24.54196896524004,24.494073005703676,24.61501634894199
1.875,30,0,0.125,0.125,15,15,10,5.269821216058606,50,0.8789179874861965,1.0358165977919367,0.8731269680615096,0.9740408850528578,1.024935223264449,1.1108188045109666,0.9544650965538436,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,56.25,45.0,7.03125,8.4375,9.84375,11.25,12.65625,14.0625,15.46875,26.17299280919399,26.1889816072069,26.24331618314749,26.314412999946118,26.273789181558055,26.26630452662103,26.34910608029303
2.0,30,0,0.125,0.125,15,15,10,5.6209595886447605,50,1.047118521963011,0.9960849297666954,0.8554271680890926,1.0240456960574806,1.089615739884838,0.8654169403895877,0.9630913086490999,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,60.0,48.0,7.5,9.0,10.5,12.0,13.5,15.0,16.5,27.938128060758213,27.934504532482908,28.0091753121398,28.06765788931451,28.020672278649997,28.00245217605716,28.1047979432238
2.125,30,0,0.125,0.125,15,15,10,5.971882305928533,50,0.9457325208716312,1.0905828246586031,1.1365782394542032,1.110089361123316,0.8652083787857996,1.104883031051243,1.1307867065281272,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,63.75,51.0,7.96875,9.5625,11.15625,12.75,14.34375,15.9375,17.53125,29.68223824551284,29.684993916262073,29.77724691612866,29.814652177307327,29.759470311164392,29.769275058508462,29.859411529642664
2.25,30,0,0.125,0.125,15,15,10,6.31861263826533,50,1.1270179044807396,0.9773828838649836,0.8669106004704108,0.8730522127367835,0.8957386095675522,0.8902160420392966,1.1196526956909105,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,67.5,54.0,8.4375,10.125,11.8125,13.5,15.1875,16.875,18.5625,31.439021680403883,31.423671063179746,31.510174636196886,31.55089100716691,31.526319263816166,31.50616467962706,31.59306319132665
2.375,30,0,0.125,0.125,15,15,10,6.665621320873058,50,0.8482906213327142,0.9708121856450772,1.0801954759549726,1.0521740196908158,1.171113734037476,0.897866119200412,1.0709216341966903,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,71.25,57.0,8.90625,10.6875,12.46875,14.25,16.03125,17.8125,19.59375,33.17314444234379,33.17649820269662,33.276810811138084,33.31675948057481,33.289351937620225,33.26988767437215,33.32810660436529
2.5,30,0,0.125,0.125,15,15,10,7.013848280018141,50,0.8978238157286514,1.1464809570228192,1.0538154480389854,0.9103760685042848,1.0207329292865581,1.114086972360718,0.8860558045124852,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,75.0,60.0,9.375,11.25,13.125,15.0,16.875,18.75,20.625,34.942108114677204,34.93014667949099,35.016786376643715,35.06023772811346,35.01796272086554,35.0326544094721,35.069241400090704
2.625,30,0,0.125,0.125,15,15,10,7.36669688490533,50,0.9623291446976734,0.8936519095653294,1.1582107927476988,0.9566143205454678,0.9638587030075112,0.803848952809783,1.1736798202641239,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,78.75,63.0,9.84375,11.8125,13.78125,15.75,17.71875,19.6875,21.65625,36.70488013771112,36.66183655986313,36.760059445638845,36.821440719550424,36.76537110470472,36.76839353792701,36.833484424526645
