record_index,action,detail
17,set_primary_tier1,SUMPAR; demoted=none
17,set_internal_t2_process,SUMPAR - internal machining/forming process; demoted=Combigo
18,set_primary_tier1,MGA Villeneuve St Lot; demoted=SUMPAR
18,set_internal_t2_process,MGA Villeneuve St Lot - internal machining/forming process; demoted=Combigo
19,set_primary_tier1,SUMPAR; demoted=none
19,set_internal_t2_process,SUMPAR - internal machining/forming process; demoted=Combigo
20,set_primary_tier1,MGA Villeneuve St Lot; demoted=SUMPAR
20,set_internal_t2_process,MGA Villeneuve St Lot - internal machining/forming process; demoted=Combigo
21,set_primary_tier1,ETS Gattefin; demoted=SUMPAR
21,set_internal_t2_process,ETS Gattefin - internal machining/forming process; demoted=Combigo
22,set_primary_tier1,ETS Gattefin; demoted=SUMPAR
22,set_internal_t2_process,ETS Gattefin - internal machining/forming process; demoted=Combigo
23,set_primary_tier1,ETS Gattefin; demoted=SUMPAR
23,set_internal_t2_process,ETS Gattefin - internal machining/forming process; demoted=Combigo
24,set_primary_tier1,ETS Gattefin; demoted=SUMPAR
24,set_internal_t2_process,ETS Gattefin - internal machining/forming process; demoted=Combigo
25,set_primary_tier1,SUMPAR; demoted=none
25,set_internal_t2_process,SUMPAR - internal machining/forming process; demoted=Combigo
26,set_primary_tier1,MGA Villeneuve St Lot; demoted=SUMPAR
26,set_internal_t2_process,MGA Villeneuve St Lot - internal machining/forming process; demoted=Combigo
27,set_primary_tier1,ETS Gattefin; demoted=SUMPAR
27,set_internal_t2_process,ETS Gattefin - internal machining/forming process; demoted=Combigo
28,set_primary_tier1,ETS Gattefin; demoted=SUMPAR
28,set_internal_t2_process,ETS Gattefin - internal machining/forming process; demoted=Combigo
54,set_primary_tier1,Senior Aerospace Thailand; demoted=SUMPAR
54,set_internal_t2_process,Senior Aerospace Thailand - internal machining/forming process; demoted=Combigo
55,set_primary_tier1,Senior Aerospace Thailand; demoted=SUMPAR
55,set_internal_t2_process,Senior Aerospace Thailand - internal machining/forming process; demoted=Combigo
167,set_primary_tier1,SUMPAR; demoted=none
167,set_internal_t2_process,SUMPAR - internal machining/forming process; demoted=Combigo
17,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
18,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
19,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
20,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
21,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
22,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
23,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
24,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
25,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
26,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
27,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
28,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
54,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
55,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
167,exclude_combigo_from_secondary_switches,removed 1 Combigo T2 candidate(s)
157,exclude_aggregate_from_active_network,Seat-level aluminium aggregate row excluded from active network; use detailed component rows for stress tests.
174,exclude_aggregate_from_active_network,Seat-level aluminium aggregate row excluded from active network; use detailed component rows for stress tests.
175,exclude_aggregate_from_active_network,Seat-level aluminium aggregate row excluded from active network; use detailed component rows for stress tests.
86,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
86,set_primary_tier3_first_transformation,FRANKLIN - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
86,set_primary_tier1,FRANKLIN; demoted=ESPACE
86,set_internal_t2_process,FRANKLIN - internal cutting/gluing process; demoted=FRANKLIN
87,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
87,set_primary_tier3_first_transformation,FRANKLIN - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
87,set_primary_tier1,FRANKLIN; demoted=ESPACE
87,set_internal_t2_process,FRANKLIN - internal cutting/gluing process; demoted=FRANKLIN
88,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
88,set_primary_tier3_first_transformation,FRANKLIN - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
88,set_primary_tier1,FRANKLIN; demoted=ESPACE
88,set_internal_t2_process,FRANKLIN - internal cutting/gluing process; demoted=FRANKLIN
89,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
89,set_primary_tier3_first_transformation,FRANKLIN - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
89,set_primary_tier1,FRANKLIN; demoted=ESPACE
89,set_internal_t2_process,FRANKLIN - internal cutting/gluing process; demoted=FRANKLIN
90,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
90,set_primary_tier3_first_transformation,FRANKLIN - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
90,set_primary_tier1,FRANKLIN; demoted=ESPACE
90,set_internal_t2_process,FRANKLIN - internal cutting/gluing process; demoted=FRANKLIN
91,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
91,set_primary_tier3_first_transformation,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
91,set_primary_tier1,MGA Villeneuve St Lot; demoted=ESPACE
91,set_internal_t2_process,MGA Villeneuve St Lot - internal FRMC55 integration process; demoted=FRANKLIN
92,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
92,set_primary_tier3_first_transformation,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
92,set_primary_tier1,MGR Foamtex Ltd; demoted=ESPACE
92,set_internal_t2_process,MGR Foamtex Ltd - internal foam/upholstery process; demoted=FRANKLIN
93,set_primary_tier4_raw_material,BASF - PU chemistry source candidate; demoted=Saarstahl
93,set_primary_tier3_first_transformation,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package; demoted=Aubert & Duval
93,set_primary_tier1,MGR Foamtex Ltd; demoted=ESPACE
93,set_internal_t2_process,MGR Foamtex Ltd - internal foam/upholstery process; demoted=FRANKLIN
10,set_primary_tier4_raw_material,Thales - COTS electronics component market basket; demoted=COTS electronics component market basket
10,set_primary_tier3_first_transformation,Thales - COTS electronics subassembly/PCB package; demoted=Saint-Gobain
71,set_primary_tier4_raw_material,TE Connectivity - COTS electronics component market basket; demoted=Saarstahl
71,set_primary_tier3_first_transformation,TE Connectivity - COTS electronics subassembly/PCB package; demoted=Aubert & Duval
71,set_internal_t2_process,TE Connectivity - electronics routing/EMS package; demoted=none
71,set_primary_tier1,TE Connectivity; demoted=none
73,set_primary_tier4_raw_material,Thales - COTS electronics component market basket; demoted=COTS electronics component market basket
73,set_primary_tier3_first_transformation,Thales - COTS electronics subassembly/PCB package; demoted=COTS electronics PCB/subassembly package
74,set_primary_tier4_raw_material,Liebherr Aerospace - COTS electronics component market basket; demoted=Saarstahl
74,set_primary_tier3_first_transformation,Liebherr Aerospace - COTS electronics subassembly/PCB package; demoted=Aurubis
74,set_internal_t2_process,Liebherr Aerospace - electronics routing/EMS package; demoted=none
74,set_primary_tier1,Liebherr Aerospace; demoted=none
78,set_primary_tier4_raw_material,Thales - COTS electronics component market basket; demoted=Mitsubishi Chemical
78,set_primary_tier3_first_transformation,Thales - COTS electronics subassembly/PCB package; demoted=Aurubis
