record_index,system,component,edge,from,to,distance_km_haversine,modes,confidence,note
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Alcoa,Constellium,7153.9,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Alcoa,AMAG Austria Metall,7635.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Alcoa,thyssenkrupp Materials France,6898.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Alcoa,Euralliage Ile de France,6921.2,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Alcoa,Aluminium France,7057.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Hindalco Industries,Constellium,7341.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Hindalco Industries,AMAG Austria Metall,6569.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Hindalco Industries,thyssenkrupp Materials France,7375.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Hindalco Industries,Euralliage Ile de France,7333.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Hindalco Industries,Aluminium France,7256.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Aluminium Corporation of China / Chalco,Constellium,7767.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Aluminium Corporation of China / Chalco,AMAG Austria Metall,6975.0,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Aluminium Corporation of China / Chalco,thyssenkrupp Materials France,7662.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Aluminium Corporation of China / Chalco,Euralliage Ile de France,7616.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T4->T3,Aluminium Corporation of China / Chalco,Aluminium France,7592.2,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T3->T2,Constellium,ESPACE - internal machining/forming process,318.4,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T3->T2,AMAG Austria Metall,ESPACE - internal machining/forming process,1113.4,truck|rail,medium,European long regional lane; rail/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T3->T2,thyssenkrupp Materials France,ESPACE - internal machining/forming process,484.0,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T3->T2,Euralliage Ile de France,ESPACE - internal machining/forming process,523.7,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T3->T2,Aluminium France,ESPACE - internal machining/forming process,492.0,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,ESPACE,0.0,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,Figeac Aero,213.0,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,ETS Gattefin,344.7,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,SUMPAR,531.7,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,Groupe Segnere / SEGNERE Ade,187.0,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,MGA Villeneuve St Lot,117.1,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,Senior Aerospace Thailand,9881.2,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,L&P Aerospace,505.3,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,JV Group,14.5,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T2->T1,ESPACE - internal machining/forming process,Groupe LAUAK,164.3,internal,high,internal process colocated with downstream T1
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,ESPACE,Safran Seats / Safran internal group,490.2,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,Figeac Aero,Safran Seats / Safran internal group,469.5,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,ETS Gattefin,Safran Seats / Safran internal group,186.9,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,SUMPAR,Safran Seats / Safran internal group,83.8,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,Groupe Segnere / SEGNERE Ade,Safran Seats / Safran internal group,646.9,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,Senior Aerospace Thailand,Safran Seats / Safran internal group,9564.8,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,L&P Aerospace,Safran Seats / Safran internal group,18.8,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,JV Group,Safran Seats / Safran internal group,477.9,truck,medium_high,regional lane under 800 km
1,Ens. Equipements latéraux,A5086 - Aluminium,T1->OEM,Groupe LAUAK,Safran Seats / Safran internal group,654.3,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Saarstahl,Krupp,221.5,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Saarstahl,thyssenkrupp Materials France,388.0,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Saarstahl,Altec Etirage,462.0,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Saarstahl,Aubert & Duval,501.0,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,ArcelorMittal,Krupp,554.2,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,ArcelorMittal,thyssenkrupp Materials France,288.9,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,ArcelorMittal,Altec Etirage,170.5,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,ArcelorMittal,Aubert & Duval,156.5,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,China Baowu / Baosteel,Krupp,8782.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,China Baowu / Baosteel,thyssenkrupp Materials France,9275.9,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,China Baowu / Baosteel,Altec Etirage,9322.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,China Baowu / Baosteel,Aubert & Duval,9432.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Tata Steel,Krupp,7274.1,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Tata Steel,thyssenkrupp Materials France,7716.9,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Tata Steel,Altec Etirage,7533.0,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Tata Steel,Aubert & Duval,7713.1,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Nucor Corp,Krupp,7043.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Nucor Corp,thyssenkrupp Materials France,6756.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Nucor Corp,Altec Etirage,7128.0,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4->T3,Nucor Corp,Aubert & Duval,6924.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T3->T2,Krupp,MGA Villeneuve St Lot - internal machining/forming process,924.1,truck|rail,medium,European long regional lane; rail/truck baseline
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T3->T2,thyssenkrupp Materials France,MGA Villeneuve St Lot - internal machining/forming process,493.4,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T3->T2,Altec Etirage,MGA Villeneuve St Lot - internal machining/forming process,380.4,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T3->T2,Aubert & Duval,MGA Villeneuve St Lot - internal machining/forming process,237.0,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T2->T1,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,0.0,internal,high,internal process colocated with downstream T1
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T2->T1,MGA Villeneuve St Lot - internal machining/forming process,Groupe LAUAK,199.9,internal,high,internal process colocated with downstream T1
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T2->T1,MGA Villeneuve St Lot - internal machining/forming process,ETS Gattefin,326.8,internal,high,internal process colocated with downstream T1
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T1->OEM,Groupe LAUAK,Safran Seats / Safran internal group,654.3,truck,medium_high,regional lane under 800 km
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T1->OEM,ETS Gattefin,Safran Seats / Safran internal group,186.9,truck,medium_high,regional lane under 800 km
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T4->T3,Mitsubishi Chemical,Toray Industries,9421.3,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T4->T3,Mitsubishi Chemical,EXSTO / Baule-Exsto Polymere,674.0,truck,medium_high,regional lane under 800 km
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T4->T3,BASF,Toray Industries,9329.2,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T4->T3,BASF,EXSTO / Baule-Exsto Polymere,553.6,truck,medium_high,regional lane under 800 km
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T4->T3,Bayer,Toray Industries,8961.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T4->T3,Bayer,EXSTO / Baule-Exsto Polymere,911.6,truck|rail,medium,European long regional lane; rail/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,Toray Industries,Krohne,8936.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,Toray Industries,DuPont de Nemours,11204.8,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,Toray Industries,Ensinger,9394.3,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,Toray Industries,Plastitek,9588.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,EXSTO / Baule-Exsto Polymere,Krohne,936.2,truck|rail,medium,European long regional lane; rail/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,EXSTO / Baule-Exsto Polymere,DuPont de Nemours,6646.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,EXSTO / Baule-Exsto Polymere,Ensinger,477.5,truck,medium_high,regional lane under 800 km
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T3->T2,EXSTO / Baule-Exsto Polymere,Plastitek,602.1,truck,medium_high,regional lane under 800 km
