record_index,component,chosen_site,site_key,lat,lon,source_urls
11,tissu,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
12,FRMC55:EU28 polyuréthane flexible traité UL,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
32,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
124,caoutchouc,Toray Industries - Nagoya Plant,polymer,35.09112,136.901078,https://www.navitime.co.jp/poi?spot=00011-050416433 | https://www.tuvsud.com/en/newsroom/press-releases/2024/february/tuv-sud-japan-issued-iscc-plus-certification-to-toray
125,Polychloroprene,Toray Industries - Nagoya Plant,polymer,35.09112,136.901078,https://www.navitime.co.jp/poi?spot=00011-050416433 | https://www.tuvsud.com/en/newsroom/press-releases/2024/february/tuv-sud-japan-issued-iscc-plus-certification-to-toray
128,Résine BR623 - composite,Toray Industries - Ehime Plant,composite,33.789613,132.699591,https://www.toray.co.jp/saiyou/fresh/worklifebalance/plants_ehime.html | https://www.navitime.co.jp/poi?spot=02050-10823
131,tissu,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
132,tissu,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
133,tissu,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
134,tissu,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
135,tissu,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
136,tissu,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
140,velcro,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
141,velcro,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
142,velcro,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
143,velcro,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
149,velcro,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
152,FRMC55:EU28 polyuréthane flexible traité UL,Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
158,"Tissu, mousse, polyéthylène",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
160,"autre (silicium, cuirs synthétique)",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
162,"16 % Tissu, mousse, polyéthylène",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
164,"8% autre (silicium, cuirs synthétique)",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
165,"16 % Tissu, mousse",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
168,"Tissu, mousse, polyéthylène",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
169,"Tissu, mousse, polyéthylène",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
170,"autre (silicium, cuirs synthétique)",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
171,"autre (silicium, cuirs synthétique)",Toray Textiles - Tokai Plant,textile,35.221697,136.749079,https://www.toray-textiles.co.jp/about/abo_001.html | https://www.navitime.co.jp/poi?spot=00011-050593744
