family,component_count,mass_kg,mass_share_pct,kg_km,kg_km_share_pct,avg_route_km,quantitative_ready_count,needs_validation_count
aluminium,37,85.0321,65.4,1040917.0,61.1,10250.5,31,37
polymer_plastic,23,12.3794,9.5,291529.9,17.1,19048.1,17,8
steel,41,11.7334,9.0,159629.1,9.4,13775.3,37,21
textile_leather,52,8.4041,6.5,129989.5,7.6,21196.5,28,43
electronics_cots,8,7.128,5.5,41698.4,2.4,5734.4,7,8
general,3,4.385,3.4,24120.9,1.4,11762.2,3,2
adhesive_composite,2,0.88,0.7,14537.5,0.9,16143.4,2,2
copper,1,0.006,0.0,2.8,0.0,473.3,1,1
rubber_silicone,2,0.0014,0.0,16.0,0.0,11399.1,2,2
titanium_carbon,1,0.0,0.0,0.0,0.0,10667.7,0,1
