record_index,system,component,family,mass_kg,source_mass_kg,fallback_path_count,best_fallback_class,fallback_class_counts,scenario_type,scenario_id,disrupted_role,disrupted_supplier,disrupted_edge,from_name,to_name,disrupted_mode
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.636005,3.6360048,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
17,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,2.43,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
18,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.103381,0.1033805,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
19,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,12.333,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
20,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,3.523,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
21,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,2.125,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
22,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,0.4425,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
23,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,3.956,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
24,Support écran,A2017 - Aluminium,aluminium,1.45,1.45,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
25,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,90,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=80;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
