scenario_type,disrupted_role,disrupted_supplier,impacted_component_count,impacted_mass_kg,components_with_topology_fallback,components_without_topology_fallback,components_requiring_t1_t2_pair_switch,fallback_coverage_pct,best_fallback_classes,example_components
supplier_disruption,T4,Alcoa,31,58.922,31,0,0,100.0,candidate_requires_allocation_and_qualification=31,1:A5086 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium
supplier_disruption,T3,AMAG Austria Metall,31,58.922,31,0,0,100.0,candidate_requires_allocation_and_qualification=31,1:A5086 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium
supplier_disruption,T1,SUMPAR,22,43.2038,22,0,15,100.0,candidate_requires_t1_t2_pairing=15;candidate_requires_allocation_and_qualification=7,5:alliage Cu | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 17:A2017 - Aluminium | 19:A2017 - Aluminium | 25:A2024 - Aluminium | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 66:Alu
supplier_disruption,T2,SUMPAR - internal machining/forming process,15,43.1565,0,15,0,0.0,no_topology_fallback=15,5:alliage Cu | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 17:A2017 - Aluminium | 19:A2017 - Aluminium | 25:A2024 - Aluminium | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 66:Alu
supplier_disruption,T3,Euralliage Ile de France,7,26.7708,6,1,0,85.7,candidate_requires_allocation_and_qualification=6;no_topology_fallback=1,14:35NC6 (nickel-chrome) | 66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu | 161:65% aluminium
supplier_disruption,T4,Aluminium Corporation of China / Chalco,6,26.1101,6,0,0,100.0,candidate_requires_allocation_and_qualification=6,66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu | 161:65% aluminium
supplier_disruption,T1,ESPACE,44,23.7835,43,1,15,97.7,candidate_requires_allocation_and_qualification=28;candidate_requires_t1_t2_pairing=15;no_topology_fallback=1,"1:A5086 - Aluminium | 3:Ertalon par moulage par injection plastique | 15:acier | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 34:A5086 - Aluminium"
supplier_disruption,T1,Senior Aerospace Thailand,15,20.0889,15,0,14,100.0,candidate_requires_t1_t2_pairing=14;candidate_requires_allocation_and_qualification=1,33:4140 (acier) | 51:35NC6 (nickel-chrome) | 54:A2017 - Aluminium | 55:A2024 - Aluminium | 81:inox | 94:inox | 95:inox | 96:inox
supplier_disruption,T2,Senior Aerospace Thailand - internal machining/forming process,14,20.0079,0,14,0,0.0,no_topology_fallback=14,33:4140 (acier) | 51:35NC6 (nickel-chrome) | 54:A2017 - Aluminium | 55:A2024 - Aluminium | 81:inox | 94:inox | 95:inox | 96:inox
supplier_disruption,T2,Ensinger,34,14.2896,34,0,0,100.0,candidate_requires_allocation_and_qualification=30;candidate_scenario_only_mass_review=3;candidate_requires_site_validation=1,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique
