record_index,system,component,family,current_mass_kg,recommended_additive_mass_kg,topdown_reference_mass_kg,mass_policy,mass_policy_action,is_seat_aggregate,duplicate_signature_count,duplicate_mass_warning,lca_use_class,lca_confidence,mass_method,match_level,equipment_match,material_match,raw_materials_status,primary_path_id,t4,t3,t2,t1
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,3.6360048,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,0.022,0.022,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,15cdv6,provided,R002-P0010,Saarstahl,Aubert & Duval,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,0.0001731,0.0001731,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,ertalon,provided,R003-P0003,Mitsubishi Chemical,Toray Industries,Ensinger,ESPACE
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,adhesive_composite,0.392,0.392,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PORTE,film decor aerfilm ep0 33 714g m2,provided,R004-P0001,BASF,EPODEX,Sika,MGA Villeneuve St Lot
5,Bumper version porte,alliage Cu,copper,0.006,0.006,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,BUMPER VERSION PORTE,alliage cu,provided,R005-P0001,Aurubis - copper source assumption,Aurubis,SUMPAR - internal machining/forming process,SUMPAR
6,Ens. Stowage latéral,cuir,textile_leather,0.112,0.112,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,cuir 850,provided,R006-P0001,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,Maison Fichet,MGA Villeneuve St Lot
7,lightning,lightning,electronics_cots,0.8,0.8,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,LIGHTING x3,diode cots,provided,R007-P0001,COTS electronics component market basket,COTS electronics PCB/subassembly package,e2ip technologies,Thales
8,Padding (rembourrage),AIRVOLT LAMINAT,general,0.95,0.95,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,PADDING,airvolt laminat,provided,R008-P0003,Klabin S.A.,Kronotex GmbH & Co,Glatfelter,Celso SAS
9,Stowage assemblé avec porte,Silicone,rubber_silicone,0.0007,0.0007,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,silicone 50 shore,provided,R009-P0001,Shin-Etsu Silicones,Saint-Gobain,Silicone Engineering,MGA Villeneuve St Lot
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,1.5,1.5,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SYSTEM IFE BOITIER,70 al 6000 30 analog pcb,provided,R010-P0002,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,3M,Thales
11,Coussin ottoman,tissu,textile_leather,0.339,0.339,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,"COUSSIN OTTOMAN STD PITCH 38"" QTU",textile (2 BOM material rows),provided,R011-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,0.039,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE ACC MOBILE,frmc55,provided,R012-P0007,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",MGR Foamtex Ltd,ACH
13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,0.027,0.027,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,30ncd16,inferred_from_component_label,R013-P0010,Saarstahl,Aubert & Duval,SUMPAR - internal machining/forming process,SUMPAR
14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,0.660743,0.660743,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENSEMBLE PALETTE OPTIMISEE,steel (3 BOM material rows),inferred_from_component_label,R014-P0001,Saarstahl,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR
15,Ens. Equipements latéraux,acier,steel,0.0996449,0.0996449,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,acier,inferred_from_component_label,R015-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,0.008,0.008,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,35nc6,inferred_from_component_label,R016-P0001,Saarstahl,Aubert & Duval,ETS Gattefin - internal machining/forming process,ETS Gattefin
17,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,2.43,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,a2017,inferred_from_component_label,R017-P0011,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR
18,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.1033805,0.1033805,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,a2017,inferred_from_component_label,R018-P0014,Alcoa,AMAG Austria Metall,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot
19,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,12.333,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PALETTE OPTIMISEE,a2017,inferred_from_component_label,R019-P0011,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR
20,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,3.523,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE COCKTAIL,a2017,inferred_from_component_label,R020-P0014,Alcoa,AMAG Austria Metall,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot
21,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,2.125,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE REPAS,a2017,inferred_from_component_label,R021-P0015,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin
22,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,0.4425,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE TETIERE,a2017,inferred_from_component_label,R022-P0015,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin
23,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,3.956,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,a2017,inferred_from_component_label,R023-P0015,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin
24,Support écran,A2017 - Aluminium,aluminium,1.45,1.45,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT ECRAN ASSEMBLE,a2017,inferred_from_component_label,R024-P0015,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin
25,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,2,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,a2024,inferred_from_component_label,R025-P0010,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR
26,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,0.084,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE COCKTAIL,a2024,inferred_from_component_label,R026-P0013,Alcoa,AMAG Austria Metall,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot
27,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,1.259,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE REPAS,a2024,inferred_from_component_label,R027-P0014,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin
28,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,0.029,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE TETIERE,a2024,inferred_from_component_label,R028-P0014,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin
29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,0.316,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,a5086,inferred_from_component_label,R029-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,0.024,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,BUMPER VERSION PORTE,a5086,inferred_from_component_label,R030-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,0.216,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,a5086,inferred_from_component_label,R031-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
