"record_index","system","component","family","readiness","issue_codes","t4","t3","t2","t1","t4_t3_km","t3_t2_km","t2_t1_km","t1_oem_km","t4_t3_modes","t3_t2_modes","t2_t1_modes","t1_oem_modes"
"17","Accoudoir allée","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;long_distance_mode_implausible;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","truck","","","truck"
"18","Ens. Stowage latéral","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"19","Ens. Palette optimisée","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"20","Ens. Tablette cocktail","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"21","Ens. Tablette repas","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"22","Ens. Têtière","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"23","Stowage assemblé avec porte","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"24","Support écran","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"25","Accoudoir allée","A2024 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;long_distance_mode_implausible;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","truck","","","truck"
"26","Ens. Tablette cocktail","A2024 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"27","Ens. Tablette repas","A2024 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"28","Ens. Têtière","A2024 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"33","Ens. Structure fauteuil","4140 (acier)","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"51","Ens. Structure fauteuil","35NC6 (nickel-chrome)","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible;material_certificate_required","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"54","Ens. Structure fauteuil","A2017 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"55","Ens. Structure fauteuil","A2024 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","rail|ship|truck","","","truck"
"66","Accoudoir allée","Alu","aluminium","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible;material_certificate_required","Aluminium Corporation of China / Chalco","Euralliage Ile de France","SUMPAR - internal machining/forming process","SUMPAR","7616.6","100.7","0.0","83.8","truck","","internal","truck"
"74","Commande actionnement ECU","Commande actionnement ECU","electronics_cots","not_ready_rework_required","baseline_node_is_assumption;edge_transport_mode_not_explicit;electronics_upstream_requires_bom;raw_material_source_missing;supplier_material_family_incompatible","Saarstahl","Aurubis","Liebherr Aerospace - electronics routing/EMS package","Liebherr Aerospace","169.3","439.5","0.0","601.7","rail|ship|truck","","internal","truck"
"75","bumper version porte","copolymere lexan fst simapro: extrusion et thermoformage","polymer_plastic","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","SABIC","SABIC LEXAN FST sheet production","JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process","JAMCO Aircraft Interiors - Niigata","0.0","8573.7","0.0","9489.6","rail|ship|truck","","internal","truck"
"79","Accoudoir allée","Ertalon","polymer_plastic","not_ready_transport_rework","edge_transport_mode_not_explicit;long_distance_mode_implausible","Mitsubishi Chemical","Toray Industries","Ensinger","SUMPAR","9421.3","9394.3","564.3","83.8","truck","","","truck"
"81","Ens. Structure fauteuil","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"86","Coussin ottoman","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","ship|truck","","","truck"
"87","Coussin têtière","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","rail|ship|truck","","","truck"
"88","Ens. Coussin assise","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","rail|ship|truck","","","truck"
"89","Ens.coussin dossier version têtière","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","rail|ship|truck","","","truck"
"90","Ens. Coussin dossier","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","rail|ship|truck","","","truck"
"91","Ens. Stowage latéral","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","rail|ship|truck","","","truck"
"92","Manchette acc. Mobile","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","ship","","","truck"
"93","Manchette équipée","FRMC55 (C55 = % de carbone) et FMR = ?","textile_leather","not_ready_rework_required","edge_transport_mode_not_explicit;supplier_material_family_incompatible","Saarstahl","Aubert & Duval","FRANKLIN","ESPACE","501.0","1445.1","1742.5","490.2","rail|ship|truck","","","truck"
"94","Accoudoir allée","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","truck","","internal","truck"
"95","Ens. Palette optimisée","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
