equipment_match,record_count,workbook_equipment_mass_kg,current_mass_kg,recommended_additive_mass_kg,topdown_reference_mass_kg,delta_additive_vs_workbook_kg,delta_additive_vs_workbook_pct,policies
SEAT_TOTAL,5,0.0,134.521001829,0.0,134.521001829,,,topdown_reference_only=5
seat_total,10,0.0,48.73266986,0.0,48.73266986,,,topdown_reference_only=10
ENSEMBLE PALETTE OPTIMISEE,7,13.6548069,26.1522374,26.1522374,0.0,12.4974305,91.5,include_exact_component=4;include_baseline_estimate=2;include_with_review=1
ENS STRUCTURE FAUTEUIL,8,25.8461,22.1101,22.1101,0.0,-3.736,-14.5,include_exact_component=7;include_baseline_estimate=1
ENSEMBLE COQUE,3,41.031,9.423,9.423,0.0,-31.608,-77.0,include_exact_component=3
ENSEMBLE PORTE,8,9.1457356,8.7460709,8.7460709,0.0,-0.3996647,-4.4,include_exact_component=6;include_with_review=1;include_baseline_estimate=1
ACCOUDOIR ALLEE,10,3.9019877,7.6239143,7.6239143,0.0,3.7219266,95.4,include_exact_component=9;include_baseline_estimate=1
STOWAGE ASSEMBLE AVEC PORTE,9,6.9408381,6.7717131,6.7717131,0.0,-0.169125,-2.4,include_exact_component=8;include_with_review=1
ENS TABLETTE COCKTAIL,7,5.544,5.471,5.471,0.0,-0.073,-1.3,include_exact_component=5;include_baseline_estimate=1;include_with_review=1
ENSEMBLE STRUCTURE FIXE,6,10.06629842,5.0542004,5.0542004,0.0,-5.01209802,-49.8,include_exact_component=5;include_with_review=1
ENSEMBLE EQUIPEMENTS LATERALES,4,3.746420718,3.7438228,3.7438228,0.0,-0.002597918,-0.1,include_exact_component=4
ENS TABLETTE REPAS,8,3.6897,3.5814,3.5814,0.0,-0.1083,-2.9,include_exact_component=7;include_with_review=1
BRACKETS-SET (cables),1,3.465,3.365,3.365,0.0,-0.1,-2.9,include_exact_component=1
SUPPORT + CLAMPS,2,2.5684,2.568,2.568,0.0,-0.0004,-0.0,include_baseline_estimate=2
manual_alias,3,0.0,2.562,0.0,2.562,,,topdown_reference_only=3
SUPPORT ECRAN ASSEMBLE,4,2.06486,2.02736,2.02736,0.0,-0.0375,-1.8,include_exact_component=4
Structure Ottoman (horizontale),3,2.0574168,1.9949168,1.9949168,0.0,-0.0625,-3.0,include_exact_component=3
"ECRAN 17,3 INCH PNR 00-5155-02",1,3.428,1.928,1.928,0.0,-1.5,-43.8,include_exact_component=1
ENS COUSSIN DOSSIER,4,2.634,1.862,1.862,0.0,-0.772,-29.3,include_exact_component=3;include_baseline_estimate=1
ENS STOWAGE LATERAL,9,1.737912233,1.664995567,1.664995567,0.0,-0.072916666,-4.2,include_exact_component=8;include_baseline_estimate=1
ENS COUSSIN DOSSIER VERSION TETIERE,4,2.402,1.615,1.615,0.0,-0.787,-32.8,include_exact_component=3;include_baseline_estimate=1
SYSTEM IFE BOITIER,1,2.5,1.5,1.5,0.0,-1.0,-40.0,include_exact_component=1
00-5136-51 Rev F Seat Power Box 4 (SPB4),1,2.5,1.5,1.5,0.0,-1.0,-40.0,include_exact_component=1
"COUSSIN OTTOMAN STD PITCH 38"" QTU",4,2.181,1.415,1.415,0.0,-0.766,-35.1,include_exact_component=3;include_baseline_estimate=1
RENFORT TUBULAIRE,3,4.171333333,1.338,1.338,0.0,-2.833333333,-67.9,include_exact_component=3
ENS COUSSIN ASSISE,3,2.016,1.316,1.316,0.0,-0.7,-34.7,include_exact_component=2;include_baseline_estimate=1
HABILLAGE SOUS FAUTEUIL,3,1.064111618,1.0640916,1.0640916,0.0,-2.0018e-05,-0.0,include_exact_component=3
PADDING,1,2.25,0.95,0.95,0.0,-1.3,-57.8,include_exact_component=1
CEINTURE DE SECURITE,2,0.99,0.9,0.9,0.0,-0.09,-9.1,include_baseline_estimate=2
LIGHTING x3,1,1.8,0.8,0.8,0.0,-1.0,-55.6,include_exact_component=1
COMMANDE ACTIONNEMENT,1,1.75,0.75,0.75,0.0,-1.0,-57.1,include_exact_component=1
ENSEMBLE TETIERE,5,1.0945,0.4775,0.4775,0.0,-0.617,-56.4,include_exact_component=4;include_with_review=1
SUPPORT ECRAN,1,1.45,0.45,0.45,0.0,-1.0,-69.0,include_exact_component=1
MANCHETTE EQUIPEE,6,0.3066495,0.3331495,0.3331495,0.0,0.0265,8.6,include_exact_component=6
MANCHETTE ACC MOBILE,5,0.1965,0.328,0.328,0.0,0.1315,66.9,include_exact_component=4;include_baseline_estimate=1
COUSSIN TETIERE,4,0.478666667,0.322,0.322,0.0,-0.156666667,-32.7,include_exact_component=3;include_baseline_estimate=1
BUMPER VERSION PORTE,5,0.371666667,0.229,0.229,0.0,-0.142666667,-38.4,include_exact_component=5
SFCU,1,1.2,0.2,0.2,0.0,-1.0,-83.3,include_exact_component=1
SUPPORT MANCHETTE EQUIPEE,2,0.248,0.123,0.123,0.0,-0.125,-50.4,include_exact_component=2
SUPPORT EQUIPE,2,0.227,0.102,0.102,0.0,-0.125,-55.1,include_exact_component=2
REMOTE EXTENDER UNIT 3 (REU3),1,1.07,0.07,0.07,0.0,-1.0,-93.5,include_exact_component=1
CAPOT NFC,1,0.194,0.069,0.069,0.0,-0.125,-64.4,include_exact_component=1
SUPPORT NFC,1,0.135,0.01,0.01,0.0,-0.125,-92.6,include_exact_component=1
