org_id,actor_id
ORG:Laboratoires Pierre Fabre,Manufacturer of Drugs - D1430
ORG:Laboratoires Pierre Fabre,Manufacturer of Cosmetics - D1810
ORG:Laboratoires Pierre Fabre,Distribution Center of Muret - D1920
