actor_id,product_id
Manufacturer of Drugs - D1430,P:268967
Manufacturer of Cosmetics - D1810,P:268091
Supplier of Raw Materials - VD0520132A,P:38005
Supplier of Raw Materials - VD0520132A,P:49371
Supplier of Raw Materials - VD0914690A,P:42342
Supplier of Raw Materials - D1450,P:773474
Supplier of Raw Materials - D1450,P:693055
Supplier of Packaging - VD0525412A,P:333362
Supplier of Packaging - VD0993480A,P:344135
Supplier of Packaging - VD0520115A,P:708073
Supplier of Packaging - VD0508918A,P:730384
Supplier of Packaging - VD1095770A,P:734545
Supplier of Raw Materials - VD0951020A,P:1757
Supplier of Raw Materials - VD0951020A,P:1848
Supplier of Raw Materials - VD0519670A,P:1848
Supplier of Raw Materials - VD0519670A,P:29313
Supplier of Raw Materials - VD0518684A,P:1893
Supplier of Raw Materials - VD0910216A,P:1893
Supplier of Raw Materials - VD0910216A,P:2612
Supplier of Raw Materials - VD1091642A,P:1893
Supplier of Raw Materials - VD1091642A,P:2612
Supplier of Raw Materials - VD0500655A,P:2612
Supplier of Raw Materials - VD0990780A,P:2612
Supplier of Raw Materials - VD0514881A,P:16332
Supplier of Raw Materials - VD1096202A,P:39668
Supplier of Raw Materials - VD0914320A,P:55703
Supplier of Raw Materials - VD0964290A,P:55703
Supplier of Raw Materials - VD0505677A,P:99439
Supplier of Packaging - VD0901566A,P:338928
Supplier of Packaging - VD0914360C,P:338929
Supplier of Packaging - VD0989480A,P:426331
Actor:DC - 1910,P:268967
Actor:DC - 1910,P:268091
