issue_id,product_id,impact_score,rank
ISSUE_001,P:268967,0.722124594808,1
ISSUE_001,P:268091,0.596049231303,2
ISSUE_001,P:16332,0.576120424222,3
ISSUE_001,P:99439,0.524815911002,4
ISSUE_001,P:1893,0.520835484899,5
ISSUE_001,P:49371,0.518603815315,6
ISSUE_001,P:39668,0.50053162665,7
ISSUE_001,P:1848,0.498894647377,8
ISSUE_001,P:338928,0.496905763949,9
ISSUE_002,P:268967,0.722124594808,1
ISSUE_002,P:268091,0.596049231303,2
ISSUE_002,P:16332,0.576120424222,3
ISSUE_002,P:99439,0.524815911002,4
ISSUE_002,P:1893,0.520835484899,5
ISSUE_002,P:49371,0.518603815315,6
ISSUE_002,P:39668,0.50053162665,7
ISSUE_002,P:1848,0.498894647377,8
ISSUE_002,P:338928,0.496905763949,9
ISSUE_003,P:16332,0.802936480785,1
ISSUE_003,P:99439,0.739235810247,2
ISSUE_003,P:1893,0.729169105108,3
ISSUE_003,P:49371,0.721084324024,4
ISSUE_003,P:39668,0.695046954648,5
ISSUE_003,P:1848,0.687636155916,6
ISSUE_003,P:338928,0.679826532475,7
ISSUE_003,P:42342,0.664705670922,8
ISSUE_003,P:338929,0.65218147663,9
ISSUE_003,P:426331,0.636479977685,10
ISSUE_004,P:16332,0.802936480785,1
ISSUE_004,P:99439,0.739235810247,2
ISSUE_004,P:1893,0.729169105108,3
ISSUE_004,P:49371,0.721084324024,4
ISSUE_004,P:39668,0.695046954648,5
ISSUE_004,P:1848,0.687636155916,6
ISSUE_004,P:338928,0.679826532475,7
ISSUE_004,P:42342,0.664705670922,8
ISSUE_004,P:338929,0.65218147663,9
ISSUE_004,P:426331,0.636479977685,10
ISSUE_005,P:16332,0.860896339378,1
ISSUE_005,P:1893,0.69728061699,2
ISSUE_005,P:99439,0.587587486,3
ISSUE_005,P:49371,0.540747914973,4
ISSUE_005,P:338928,0.527630646355,5
ISSUE_005,P:39668,0.520277239754,6
ISSUE_005,P:1848,0.519359680105,7
ISSUE_005,P:2612,0.482894220824,8
ISSUE_005,P:268967,0.475316979292,9
ISSUE_005,P:55703,0.468675470312,10
