link_id,zone_id
L0001,MANUFACTURER_TO_DISTRIBUTION
L0002,MANUFACTURER_TO_DISTRIBUTION
L0003,SUPPLIER_TO_MANUFACTURER
L0004,SUPPLIER_TO_MANUFACTURER
L0005,SUPPLIER_TO_MANUFACTURER
L0006,SUPPLIER_TO_MANUFACTURER
L0007,SUPPLIER_TO_MANUFACTURER
L0008,SUPPLIER_TO_MANUFACTURER
L0009,SUPPLIER_TO_MANUFACTURER
L0010,SUPPLIER_TO_MANUFACTURER
L0011,SUPPLIER_TO_MANUFACTURER
L0012,SUPPLIER_TO_MANUFACTURER
L0013,SUPPLIER_TO_MANUFACTURER
L0014,SUPPLIER_TO_MANUFACTURER
L0015,SUPPLIER_TO_MANUFACTURER
L0016,SUPPLIER_TO_MANUFACTURER
L0017,SUPPLIER_TO_MANUFACTURER
L0018,SUPPLIER_TO_MANUFACTURER
L0019,SUPPLIER_TO_MANUFACTURER
L0020,SUPPLIER_TO_MANUFACTURER
L0021,SUPPLIER_TO_MANUFACTURER
L0022,SUPPLIER_TO_MANUFACTURER
L0023,SUPPLIER_TO_MANUFACTURER
L0024,SUPPLIER_TO_MANUFACTURER
L0025,SUPPLIER_TO_MANUFACTURER
L0026,SUPPLIER_TO_MANUFACTURER
L0027,SUPPLIER_TO_MANUFACTURER
L0028,DISTRIBUTION_TO_CUSTOMER
