product_id,product_code,name,degree_centrality,bom_criticality
P:16332,16332,P:16332,0.0253164556962,0.0620851360235
P:1757,1757,P:1757,0.0253164556962,0.206950453412
P:1848,1848,P:1848,0.0379746835443,0.155212840059
P:1893,1893,P:1893,0.0506329113924,0.000983014653705
P:2612,2612,P:2612,0.0632911392405,0.000258688066765
P:268091,268091,P:268091,0.0506329113924,
P:268967,268967,P:268967,0.0506329113924,
P:29313,29313,P:29313,0.0253164556962,0.00517376133529
P:333362,333362,P:333362,0.0253164556962,0.0165722050976
P:338928,338928,P:338928,0.0253164556962,0.127432545204
P:338929,338929,P:338929,0.0253164556962,0.127432545204
P:344135,344135,P:344135,0.0253164556962,0.0165722050976
P:38005,38005,P:38005,0.0253164556962,0.289999933711
P:39668,39668,P:39668,0.0253164556962,0.00517376133529
P:42342,42342,P:42342,0.0253164556962,1
P:426331,426331,P:426331,0.0253164556962,0.00140175799725
P:49371,49371,P:49371,0.0253164556962,0.191429169406
P:55703,55703,P:55703,0.0379746835443,0.0103475226706
P:693055,693055,P:693055,0.0253164556962,0.0517376133529
P:693710,693710,P:693710,,0.413900906823
P:708073,708073,P:708073,0.0253164556962,0.131417586424
P:730384,730384,P:730384,0.0253164556962,0.00351330748069
P:734545,734545,P:734545,0.0253164556962,0.000132577640781
P:773474,773474,P:773474,0.0253164556962,0.159999966856
P:99439,99439,P:99439,0.0253164556962,0.258688066765
P:Actor:C - XXXXX,Actor:C - XXXXX,P:Actor:C - XXXXX,,
P:Actor:DC - 1910,Actor:DC - 1910,P:Actor:DC - 1910,,
P:Actor:DC - D1910,Actor:DC - D1910,P:Actor:DC - D1910,,
P:Distribution Center of Muret - D1920,Distribution Center of Muret - D1920,P:Distribution Center of Muret - D1920,,
P:Manufacturer of Cosmetics - D1810,Manufacturer of Cosmetics - D1810,P:Manufacturer of Cosmetics - D1810,,
P:Manufacturer of Drugs - D1430,Manufacturer of Drugs - D1430,P:Manufacturer of Drugs - D1430,,
P:ORG:Laboratoires Pierre Fabre,ORG:Laboratoires Pierre Fabre,P:ORG:Laboratoires Pierre Fabre,,
P:Supplier of Packaging - VD0508918A,Supplier of Packaging - VD0508918A,P:Supplier of Packaging - VD0508918A,,
P:Supplier of Packaging - VD0520115A,Supplier of Packaging - VD0520115A,P:Supplier of Packaging - VD0520115A,,
P:Supplier of Packaging - VD0525412A,Supplier of Packaging - VD0525412A,P:Supplier of Packaging - VD0525412A,,
P:Supplier of Packaging - VD0901566A,Supplier of Packaging - VD0901566A,P:Supplier of Packaging - VD0901566A,,
P:Supplier of Packaging - VD0914360C,Supplier of Packaging - VD0914360C,P:Supplier of Packaging - VD0914360C,,
P:Supplier of Packaging - VD0989480A,Supplier of Packaging - VD0989480A,P:Supplier of Packaging - VD0989480A,,
P:Supplier of Packaging - VD0993480A,Supplier of Packaging - VD0993480A,P:Supplier of Packaging - VD0993480A,,
P:Supplier of Packaging - VD1095770A,Supplier of Packaging - VD1095770A,P:Supplier of Packaging - VD1095770A,,
P:Supplier of Raw Materials - D1450,Supplier of Raw Materials - D1450,P:Supplier of Raw Materials - D1450,,
P:Supplier of Raw Materials - VD0500655A,Supplier of Raw Materials - VD0500655A,P:Supplier of Raw Materials - VD0500655A,,
P:Supplier of Raw Materials - VD0505677A,Supplier of Raw Materials - VD0505677A,P:Supplier of Raw Materials - VD0505677A,,
P:Supplier of Raw Materials - VD0514881A,Supplier of Raw Materials - VD0514881A,P:Supplier of Raw Materials - VD0514881A,,
P:Supplier of Raw Materials - VD0518684A,Supplier of Raw Materials - VD0518684A,P:Supplier of Raw Materials - VD0518684A,,
P:Supplier of Raw Materials - VD0519670A,Supplier of Raw Materials - VD0519670A,P:Supplier of Raw Materials - VD0519670A,,
P:Supplier of Raw Materials - VD0520132A,Supplier of Raw Materials - VD0520132A,P:Supplier of Raw Materials - VD0520132A,,
P:Supplier of Raw Materials - VD0910216A,Supplier of Raw Materials - VD0910216A,P:Supplier of Raw Materials - VD0910216A,,
P:Supplier of Raw Materials - VD0914320A,Supplier of Raw Materials - VD0914320A,P:Supplier of Raw Materials - VD0914320A,,
P:Supplier of Raw Materials - VD0914690A,Supplier of Raw Materials - VD0914690A,P:Supplier of Raw Materials - VD0914690A,,
P:Supplier of Raw Materials - VD0951020A,Supplier of Raw Materials - VD0951020A,P:Supplier of Raw Materials - VD0951020A,,
P:Supplier of Raw Materials - VD0964290A,Supplier of Raw Materials - VD0964290A,P:Supplier of Raw Materials - VD0964290A,,
P:Supplier of Raw Materials - VD0990780A,Supplier of Raw Materials - VD0990780A,P:Supplier of Raw Materials - VD0990780A,,
P:Supplier of Raw Materials - VD1091642A,Supplier of Raw Materials - VD1091642A,P:Supplier of Raw Materials - VD1091642A,,
P:Supplier of Raw Materials - VD1096202A,Supplier of Raw Materials - VD1096202A,P:Supplier of Raw Materials - VD1096202A,,
