product_id,actor_id
P:38005,Manufacturer of Drugs - D1430
P:42342,Manufacturer of Drugs - D1430
P:333362,Manufacturer of Drugs - D1430
P:344135,Manufacturer of Drugs - D1430
P:708073,Manufacturer of Drugs - D1430
P:730384,Manufacturer of Drugs - D1430
P:734545,Manufacturer of Drugs - D1430
P:773474,Manufacturer of Drugs - D1430
P:1757,Manufacturer of Cosmetics - D1810
P:1848,Manufacturer of Cosmetics - D1810
P:1893,Manufacturer of Cosmetics - D1810
P:2612,Manufacturer of Cosmetics - D1810
P:16332,Manufacturer of Cosmetics - D1810
P:29313,Manufacturer of Cosmetics - D1810
P:39668,Manufacturer of Cosmetics - D1810
P:49371,Manufacturer of Cosmetics - D1810
P:55703,Manufacturer of Cosmetics - D1810
P:99439,Manufacturer of Cosmetics - D1810
P:338928,Manufacturer of Cosmetics - D1810
P:338929,Manufacturer of Cosmetics - D1810
P:426331,Manufacturer of Cosmetics - D1810
P:693055,Manufacturer of Cosmetics - D1810
P:268967,Actor:DC - D1910
P:268967,Actor:C - XXXXX
P:268091,Actor:DC - D1910
P:268091,Actor:C - XXXXX
