link_id,product_id
L0001,P:268967
L0002,P:268091
L0003,P:38005
L0004,P:49371
L0005,P:42342
L0006,P:773474
L0007,P:693055
L0008,P:333362
L0009,P:344135
L0010,P:708073
L0011,P:730384
L0012,P:734545
L0013,P:1848
L0014,P:29313
L0015,P:1893
L0016,P:2612
L0017,P:2612
L0018,P:2612
L0019,P:2612
L0020,P:16332
L0021,P:39668
L0022,P:55703
L0023,P:55703
L0024,P:99439
L0025,P:338928
L0026,P:338929
L0027,P:426331
L0028,P:268091
