link_id,source_actor_id,target_actor_id,product_id,zone,material_family,risk_score,risk_display,distance_km,sell_price,price_base,unit_price,quantity_unit,source_dataset
L0001,Manufacturer of Drugs - D1430,Actor:DC - D1910,P:268967,manufacturer_to_distribution,finished_or_intermediate,0.629499459744,0.62962962963,481.18352932,,,,UN,knowledge_graph
L0002,Manufacturer of Cosmetics - D1810,Actor:DC - D1910,P:268091,manufacturer_to_distribution,finished_or_intermediate,0.46139897507,0.185185185185,144.476803328,,,,UN,knowledge_graph
L0003,Supplier of Raw Materials - VD0520132A,Manufacturer of Drugs - D1430,P:38005,supplier_to_manufacturer,raw_material,0.572355964482,0.444444444444,154.200260737,4.57,1,4.57,KG,data_poc
L0004,Supplier of Raw Materials - VD0520132A,Manufacturer of Cosmetics - D1810,P:49371,supplier_to_manufacturer,raw_material,0.691471753754,0.888888888889,592.119705011,14.65,1,14.65,KG,data_poc
L0005,Supplier of Raw Materials - VD0914690A,Manufacturer of Drugs - D1430,P:42342,supplier_to_manufacturer,raw_material,0.651287717424,0.740740740741,395.477595016,2.21,1000,0.00221,UN,data_poc
L0006,Supplier of Raw Materials - D1450,Manufacturer of Drugs - D1430,P:773474,supplier_to_manufacturer,raw_material,0.569238417002,0.407407407407,426.177899471,0,1000,0,G,data_poc
L0007,Supplier of Raw Materials - D1450,Manufacturer of Cosmetics - D1810,P:693055,supplier_to_manufacturer,raw_material,0.622215244257,0.592592592593,97.8126964633,0,1000,0,G,data_poc
L0008,Supplier of Packaging - VD0525412A,Manufacturer of Drugs - D1430,P:333362,supplier_to_manufacturer,packaging,0.546565783892,0.37037037037,288.344370929,273.21,1000,0.27321,UN,data_poc
L0009,Supplier of Packaging - VD0993480A,Manufacturer of Drugs - D1430,P:344135,supplier_to_manufacturer,packaging,0.544844234818,0.333333333333,268.176072898,4.03,1000,0.00403,UN,data_poc
L0010,Supplier of Packaging - VD0520115A,Manufacturer of Drugs - D1430,P:708073,supplier_to_manufacturer,packaging,0.576164730816,0.481481481481,488.184263708,3.59,1,3.59,KG,data_poc
L0011,Supplier of Packaging - VD0508918A,Manufacturer of Drugs - D1430,P:730384,supplier_to_manufacturer,packaging,0.536393178518,0.259259259259,156.03463156,0,1000,0,M,data_poc
L0012,Supplier of Packaging - VD1095770A,Manufacturer of Drugs - D1430,P:734545,supplier_to_manufacturer,packaging,0.541736442152,0.296296296296,234.390823392,426.44,1000,0.42644,UN,data_poc
L0013,Supplier of Raw Materials - VD0951020A,Manufacturer of Cosmetics - D1810,P:1848,supplier_to_manufacturer,raw_material,0.665192863169,0.814814814815,570.044834709,1.58,1,1.58,KG,data_poc
L0014,Supplier of Raw Materials - VD0519670A,Manufacturer of Cosmetics - D1810,P:29313,supplier_to_manufacturer,raw_material,0.621918172032,0.555555555556,113.419082337,2.07,1,2.07,KG,data_poc
L0015,Supplier of Raw Materials - VD0518684A,Manufacturer of Cosmetics - D1810,P:1893,supplier_to_manufacturer,raw_material,0.694447313199,0.925925925926,1199.85649578,4.4,1,4.4,KG,data_poc
L0016,Supplier of Raw Materials - VD0910216A,Manufacturer of Cosmetics - D1810,P:2612,supplier_to_manufacturer,raw_material,0.408805624046,0.037037037037,261.265280532,820,1000,0.82,KG,data_poc
L0017,Supplier of Raw Materials - VD1091642A,Manufacturer of Cosmetics - D1810,P:2612,supplier_to_manufacturer,raw_material,0.432915293579,0.111111111111,629.662277867,1225,1000,1.225,KG,data_poc
L0018,Supplier of Raw Materials - VD0500655A,Manufacturer of Cosmetics - D1810,P:2612,supplier_to_manufacturer,raw_material,0.452147624976,0.148148148148,928.848074604,1340,1000,1.34,KG,data_poc
L0019,Supplier of Raw Materials - VD0990780A,Manufacturer of Cosmetics - D1810,P:2612,supplier_to_manufacturer,raw_material,0.42499609379,0.0740740740741,503.470473161,1295,1000,1.295,KG,data_poc
L0020,Supplier of Raw Materials - VD0514881A,Manufacturer of Cosmetics - D1810,P:16332,supplier_to_manufacturer,raw_material,0.768160565629,1,1668.7261281,27.62,1,27.62,KG,data_poc
L0021,Supplier of Raw Materials - VD1096202A,Manufacturer of Cosmetics - D1810,P:39668,supplier_to_manufacturer,raw_material,0.6673755022,0.851851851852,568.505246198,12.21,1,12.21,KG,data_poc
L0022,Supplier of Raw Materials - VD0914320A,Manufacturer of Cosmetics - D1810,P:55703,supplier_to_manufacturer,raw_material,0.511252413084,0.222222222222,203.90297886,20.35,1,20.35,KG,data_poc
L0023,Supplier of Raw Materials - VD0964290A,Manufacturer of Cosmetics - D1810,P:55703,supplier_to_manufacturer,raw_material,0.58137255313,0.518518518519,568.505246198,49.2,1,49.2,KG,data_poc
L0024,Supplier of Raw Materials - VD0505677A,Manufacturer of Cosmetics - D1810,P:99439,supplier_to_manufacturer,raw_material,0.699754548003,0.962962962963,756.554654049,9.17,1,9.17,KG,data_poc
L0025,Supplier of Packaging - VD0901566A,Manufacturer of Cosmetics - D1810,P:338928,supplier_to_manufacturer,packaging,0.662541018599,0.777777777778,608.775992029,141.31,1000,0.14131,UN,data_poc
L0026,Supplier of Packaging - VD0914360C,Manufacturer of Cosmetics - D1810,P:338929,supplier_to_manufacturer,packaging,0.643089318912,0.703703703704,301.302630798,215.85,1000,0.21585,UN,data_poc
L0027,Supplier of Packaging - VD0989480A,Manufacturer of Cosmetics - D1810,P:426331,supplier_to_manufacturer,packaging,0.631152914924,0.666666666667,304.416997606,503.93,1000,0.50393,UN,data_poc
L0028,Actor:DC - 1910,Actor:C - XXXXX,P:268091,distribution_to_customer,other,0.381145879957,0,605.193859957,,,,UN,knowledge_graph
