issue_id,link_id,impact_score,rank,zone_hint
ISSUE_001,L0001,0.722124594808,1,manufacturer_to_distribution
ISSUE_001,L0002,0.596049231303,2,manufacturer_to_distribution
ISSUE_001,L0020,0.576120424222,3,supplier_to_manufacturer
ISSUE_001,L0028,0.535859409968,4,distribution_to_customer
ISSUE_001,L0024,0.524815911002,5,supplier_to_manufacturer
ISSUE_001,L0015,0.520835484899,6,supplier_to_manufacturer
ISSUE_001,L0004,0.518603815315,7,supplier_to_manufacturer
ISSUE_001,L0021,0.50053162665,8,supplier_to_manufacturer
ISSUE_001,L0013,0.498894647377,9,supplier_to_manufacturer
ISSUE_001,L0025,0.496905763949,10,supplier_to_manufacturer
ISSUE_002,L0001,0.722124594808,1,manufacturer_to_distribution
ISSUE_002,L0002,0.596049231303,2,manufacturer_to_distribution
ISSUE_002,L0020,0.576120424222,3,supplier_to_manufacturer
ISSUE_002,L0028,0.535859409968,4,distribution_to_customer
ISSUE_002,L0024,0.524815911002,5,supplier_to_manufacturer
ISSUE_002,L0015,0.520835484899,6,supplier_to_manufacturer
ISSUE_002,L0004,0.518603815315,7,supplier_to_manufacturer
ISSUE_002,L0021,0.50053162665,8,supplier_to_manufacturer
ISSUE_002,L0013,0.498894647377,9,supplier_to_manufacturer
ISSUE_002,L0025,0.496905763949,10,supplier_to_manufacturer
ISSUE_003,L0020,0.802936480785,1,supplier_to_manufacturer
ISSUE_003,L0024,0.739235810247,2,supplier_to_manufacturer
ISSUE_003,L0015,0.729169105108,3,supplier_to_manufacturer
ISSUE_003,L0004,0.721084324024,4,supplier_to_manufacturer
ISSUE_003,L0021,0.695046954648,5,supplier_to_manufacturer
ISSUE_003,L0013,0.687636155916,6,supplier_to_manufacturer
ISSUE_003,L0025,0.679826532475,7,supplier_to_manufacturer
ISSUE_003,L0005,0.664705670922,8,supplier_to_manufacturer
ISSUE_003,L0026,0.65218147663,9,supplier_to_manufacturer
ISSUE_003,L0027,0.636479977685,10,supplier_to_manufacturer
ISSUE_004,L0020,0.802936480785,1,supplier_to_manufacturer
ISSUE_004,L0024,0.739235810247,2,supplier_to_manufacturer
ISSUE_004,L0015,0.729169105108,3,supplier_to_manufacturer
ISSUE_004,L0004,0.721084324024,4,supplier_to_manufacturer
ISSUE_004,L0021,0.695046954648,5,supplier_to_manufacturer
ISSUE_004,L0013,0.687636155916,6,supplier_to_manufacturer
ISSUE_004,L0025,0.679826532475,7,supplier_to_manufacturer
ISSUE_004,L0005,0.664705670922,8,supplier_to_manufacturer
ISSUE_004,L0026,0.65218147663,9,supplier_to_manufacturer
ISSUE_004,L0027,0.636479977685,10,supplier_to_manufacturer
ISSUE_005,L0020,0.860896339378,1,supplier_to_manufacturer
ISSUE_005,L0015,0.69728061699,2,supplier_to_manufacturer
ISSUE_005,L0024,0.587587486,3,supplier_to_manufacturer
ISSUE_005,L0004,0.540747914973,4,supplier_to_manufacturer
ISSUE_005,L0025,0.527630646355,5,supplier_to_manufacturer
ISSUE_005,L0021,0.520277239754,6,supplier_to_manufacturer
ISSUE_005,L0013,0.519359680105,7,supplier_to_manufacturer
ISSUE_005,L0018,0.482894220824,8,supplier_to_manufacturer
ISSUE_005,L0001,0.475316979292,9,manufacturer_to_distribution
ISSUE_005,L0023,0.468675470312,10,supplier_to_manufacturer
