input_product_id,output_product_id,quantity,quantity_unit
P:38005,P:268967,17499.176,G
P:42342,P:268967,60342,UN
P:773474,P:268967,9654.718,G
P:333362,P:268967,1000,UN
P:344135,P:268967,1000,UN
P:708073,P:268967,7930,G
P:730384,P:268967,212,M
P:734545,P:268967,8,UN
P:1757,P:268091,1624,G
P:1848,P:268091,1218,G
P:1893,P:268091,7.714,KG
P:2612,P:268091,2.03,KG
P:16332,P:268091,487.2,G
P:29313,P:268091,40.6,G
P:39668,P:268091,40.6,G
P:49371,P:268091,1502.2,G
P:55703,P:268091,81.2,G
P:99439,P:268091,2030,G
P:693055,P:268091,406,G
P:693710,P:268091,3248,G
P:338928,P:268091,1000,UN
P:338929,P:268091,1000,UN
P:426331,P:268091,11,UN
