issue_id,actor_id,impact_score,rank
ISSUE_001,Manufacturer of Drugs - D1430,0.722124594808,1
ISSUE_001,Actor:DC - D1910,0.722124594808,2
ISSUE_001,Manufacturer of Cosmetics - D1810,0.596049231303,3
ISSUE_001,Supplier of Raw Materials - VD0514881A,0.576120424222,4
ISSUE_001,Actor:DC - 1910,0.535859409968,5
ISSUE_001,Actor:C - XXXXX,0.535859409968,6
ISSUE_001,Supplier of Raw Materials - VD0505677A,0.524815911002,7
ISSUE_001,Supplier of Raw Materials - VD0518684A,0.520835484899,8
ISSUE_002,Manufacturer of Drugs - D1430,0.722124594808,1
ISSUE_002,Actor:DC - D1910,0.722124594808,2
ISSUE_002,Manufacturer of Cosmetics - D1810,0.596049231303,3
ISSUE_002,Supplier of Raw Materials - VD0514881A,0.576120424222,4
ISSUE_002,Actor:DC - 1910,0.535859409968,5
ISSUE_002,Actor:C - XXXXX,0.535859409968,6
ISSUE_002,Supplier of Raw Materials - VD0505677A,0.524815911002,7
ISSUE_002,Supplier of Raw Materials - VD0518684A,0.520835484899,8
ISSUE_003,Supplier of Raw Materials - VD0514881A,0.802936480785,1
ISSUE_003,Manufacturer of Cosmetics - D1810,0.802936480785,2
ISSUE_003,Supplier of Raw Materials - VD0505677A,0.739235810247,3
ISSUE_003,Supplier of Raw Materials - VD0518684A,0.729169105108,4
ISSUE_003,Supplier of Raw Materials - VD0520132A,0.721084324024,5
ISSUE_003,Supplier of Raw Materials - VD1096202A,0.695046954648,6
ISSUE_003,Supplier of Raw Materials - VD0951020A,0.687636155916,7
ISSUE_003,Supplier of Packaging - VD0901566A,0.679826532475,8
ISSUE_004,Supplier of Raw Materials - VD0514881A,0.802936480785,1
ISSUE_004,Manufacturer of Cosmetics - D1810,0.802936480785,2
ISSUE_004,Supplier of Raw Materials - VD0505677A,0.739235810247,3
ISSUE_004,Supplier of Raw Materials - VD0518684A,0.729169105108,4
ISSUE_004,Supplier of Raw Materials - VD0520132A,0.721084324024,5
ISSUE_004,Supplier of Raw Materials - VD1096202A,0.695046954648,6
ISSUE_004,Supplier of Raw Materials - VD0951020A,0.687636155916,7
ISSUE_004,Supplier of Packaging - VD0901566A,0.679826532475,8
ISSUE_005,Supplier of Raw Materials - VD0514881A,0.860896339378,1
ISSUE_005,Manufacturer of Cosmetics - D1810,0.860896339378,2
ISSUE_005,Supplier of Raw Materials - VD0518684A,0.69728061699,3
ISSUE_005,Supplier of Raw Materials - VD0505677A,0.587587486,4
ISSUE_005,Supplier of Raw Materials - VD0520132A,0.540747914973,5
ISSUE_005,Supplier of Packaging - VD0901566A,0.527630646355,6
ISSUE_005,Supplier of Raw Materials - VD1096202A,0.520277239754,7
ISSUE_005,Supplier of Raw Materials - VD0951020A,0.519359680105,8
