day,node_id,item_id,consumed_qty,uom
5,M-1810,item:426331,0.281142,UN
5,M-1810,item:693055,10.37671,G
5,SDC-1450,item:021081,0.0,KG
6,M-1430,item:038005,0.404435,KG
6,M-1430,item:042342,1394.604995,UN
6,M-1430,item:333362,23.11168,UN
6,M-1430,item:344135,23.11168,UN
6,M-1430,item:708073,0.183276,KG
6,M-1430,item:730384,4.899676,M
6,M-1430,item:734545,0.184893,UN
6,M-1430,item:773474,223.136753,G
6,M-1810,item:001757,0.037533,KG
6,M-1810,item:001848,0.02815,KG
6,M-1810,item:001893,0.178283,KG
6,M-1810,item:002612,0.046917,KG
6,M-1810,item:007923,75.066737,G
6,M-1810,item:016332,0.01126,KG
6,M-1810,item:029313,0.000938,KG
6,M-1810,item:039668,0.000938,KG
6,M-1810,item:049371,0.034718,KG
6,M-1810,item:055703,0.001877,KG
6,M-1810,item:099439,0.046917,KG
6,M-1810,item:338928,23.11168,UN
6,M-1810,item:338929,23.11168,UN
6,M-1810,item:426331,0.254228,UN
6,M-1810,item:693055,9.383342,G
6,SDC-1450,item:021081,0.0,KG
7,M-1430,item:038005,0.360874,KG
7,M-1430,item:042342,1244.392999,UN
7,M-1430,item:333362,20.622336,UN
7,M-1430,item:344135,20.622336,UN
7,M-1430,item:708073,0.163535,KG
7,M-1430,item:730384,4.371935,M
7,M-1430,item:734545,0.164979,UN
7,M-1430,item:773474,199.102839,G
7,M-1810,item:001757,0.033491,KG
7,M-1810,item:001848,0.025118,KG
7,M-1810,item:001893,0.159081,KG
7,M-1810,item:002612,0.041863,KG
7,M-1810,item:007923,66.981347,G
7,M-1810,item:016332,0.010047,KG
7,M-1810,item:029313,0.000837,KG
7,M-1810,item:039668,0.000837,KG
7,M-1810,item:049371,0.030979,KG
7,M-1810,item:055703,0.001675,KG
7,M-1810,item:099439,0.041863,KG
7,M-1810,item:338928,20.622336,UN
7,M-1810,item:338929,20.622336,UN
7,M-1810,item:426331,0.226846,UN
7,M-1810,item:693055,8.372668,G
7,SDC-1450,item:021081,0.0,KG
8,M-1430,item:038005,0.404659,KG
8,M-1430,item:042342,1395.3766,UN
8,M-1430,item:333362,23.124467,UN
8,M-1430,item:344135,23.124467,UN
8,M-1430,item:708073,0.183377,KG
8,M-1430,item:730384,4.902387,M
8,M-1430,item:734545,0.184996,UN
8,M-1430,item:773474,223.26021,G
8,M-1810,item:001757,0.037554,KG
8,M-1810,item:001848,0.028166,KG
8,M-1810,item:001893,0.178382,KG
8,M-1810,item:002612,0.046943,KG
8,M-1810,item:007923,75.108269,G
8,M-1810,item:016332,0.011266,KG
8,M-1810,item:029313,0.000939,KG
8,M-1810,item:039668,0.000939,KG
8,M-1810,item:049371,0.034738,KG
8,M-1810,item:055703,0.001878,KG
