day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,50.0,1998.0979,21488.9052,635.4575,4.06,24.8014,1389.9179
1,50.0,0.0,100.0,81.2,50.0,1998.0979,19423.8274,566.5554,4.06,24.8014,1749.9179
2,50.0,0.0,150.0,81.2,50.0,1998.0979,17358.7496,497.6533,4.06,24.8014,1749.918
3,50.0,0.0,200.0,81.2,50.0,1998.0979,15293.6718,428.7512,4.06,24.8014,1749.918
4,50.0,0.0,250.0,81.2,50.0,1998.0979,13228.594,359.8491,4.06,24.8014,1749.918
5,50.0,0.0,300.0,131.2,50.0,2048.0979,11163.5162,290.947,4.06,24.8014,1749.918
6,50.0,0.0,350.0,131.2,50.0,2048.0979,9098.4384,222.0449,4.06,24.8014,1749.9179
7,50.0,0.0,400.0,131.2,50.0,2048.0979,7113.3606,156.3427,4.06,24.8014,1829.9179
8,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7015.1807,156.0659,4.06,24.8014,1849.9179
9,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6917.0008,155.789,4.06,24.8014,1849.9179
10,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6818.8208,155.5122,4.06,24.8014,1849.9179
11,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6720.6409,155.2353,4.06,24.8014,1849.9179
12,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6622.461,154.9585,4.06,24.8014,1849.9179
13,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6524.2811,154.6816,4.06,24.8014,1849.9179
14,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6426.1011,154.4048,4.06,24.8014,1849.9179
15,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6327.9212,154.1279,4.06,24.8014,1849.9179
16,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6229.7413,153.8511,4.06,24.8014,1849.918
17,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6134.2614,153.5743,4.06,24.8014,1852.6179
18,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6046.2314,153.2979,4.06,24.8014,1860.0679
19,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5958.2015,153.0215,4.06,24.8014,1860.0679
20,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5870.1716,152.745,4.06,24.8014,1860.0679
21,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5782.1417,152.4686,4.06,24.8014,1860.0679
22,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5694.1117,152.1921,4.06,24.8014,1860.0679
23,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5606.0818,151.9157,4.06,24.8014,1860.0679
24,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5518.0519,151.6392,4.06,24.8014,1860.0679
25,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5430.022,151.3628,4.06,24.8014,1860.068
26,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5341.992,151.0863,4.06,24.8014,1860.0679
27,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5253.9621,150.8099,4.06,24.8014,1860.0679
28,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5165.9322,150.5334,4.06,24.8014,1860.0679
29,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5077.9023,150.257,4.06,24.8014,1860.0679
