ending_backlog__baseline,ending_backlog__high,ending_backlog__low,ending_backlog__normalized_sensitivity,ending_backlog__slope_dy_dx,fill_rate__baseline,fill_rate__high,fill_rate__low,fill_rate__normalized_sensitivity,fill_rate__slope_dy_dx,parameter,total_cost__baseline,total_cost__high,total_cost__low,total_cost__normalized_sensitivity,total_cost__slope_dy_dx
593478.1966,593478.1966,5253624.5394,-9.815327609122143,-5825182.928499999,0.888075,0.888075,0.009209,1.237037975396222,1.0985824999999998,supplier_reliability_scale,27920896.5609,27920896.5609,33017560.2867,-0.22817425090036733,-6370829.65725
593478.1966,593478.1966,3793428.0233,-6.739821793438064,-3999937.283375,0.888075,0.888075,0.28459,0.8494285392562564,0.7543562499999998,edge_src_reliability_scale::SDC-1450,27920896.5609,27920896.5609,17506613.2057,0.466240550893699,13017854.194
593478.1966,593478.1966,3756335.4745,-6.661696453256021,-3953571.597375,0.888075,0.888075,0.291585,0.8395828055062916,0.7456124999999999,edge_src_reliability_scale::SDC-VD0520132A,27920896.5609,27920896.5609,18103924.0238,0.4394993421722504,12271215.671374997
593478.1966,593478.1966,3208152.2071,-5.507097871243009,-3268342.513125,0.888075,0.888075,0.394968,0.6940672240520226,0.6163837499999999,edge_src_reliability_scale::SDC-VD0901566A,27920896.5609,27920896.5609,25896998.3741,0.0906085779868113,2529872.733499999
593478.1966,593478.1966,2872971.0231,-4.801130099553517,-2849366.0331249996,0.888075,0.888075,0.458181,0.6050924752976944,0.5373674999999999,edge_src_reliability_scale::SDC-VD0505677A,27920896.5609,27920896.5609,25874656.5341,0.09160880732898467,2557800.033499999
593478.1966,593478.1966,2861057.6412,-4.776037808951581,-2834474.30575,0.888075,0.888075,0.460428,0.6019297356642175,0.5345587499999999,edge_src_reliability_scale::SDC-VD0951020A,27920896.5609,27920896.5609,26111445.922,0.08100790365709136,2261813.2986250008
593478.1966,593478.1966,2821216.9044,-4.692124160084097,-2784673.3847499997,0.888075,0.888075,0.467941,0.5913548968274076,0.5251674999999999,edge_src_reliability_scale::SDC-VD0914360C,27920896.5609,27920896.5609,25886529.8278,0.09107724785371402,2542958.416375001
593478.1966,593478.1966,2751903.2716,-4.5461338920399355,-2698031.34375,0.888075,0.888075,0.481013,0.5729555499254003,0.5088274999999999,edge_src_reliability_scale::SDC-VD0989480A,27920896.5609,27920896.5609,26196970.6743,0.07717901728369633,2154907.3582499987
593478.1966,593478.1966,2686223.4435,-4.4077972427824825,-2615931.558625,0.888075,0.888075,0.4934,0.5555203670861131,0.4933437499999999,edge_src_reliability_scale::SDC-VD0514881A,27920896.5609,27920896.5609,26256451.6954,0.07451609146350187,2080556.0818749992
593478.1966,591784.542,3819805.2327,-3.3994727072463773,-2017512.9316875,0.888075,0.888394,0.279615,0.4284400247726825,0.38048687499999995,supplier_capacity_scale,27920896.5609,28008131.9348,19920542.4566,0.18103800545407936,5054743.423874999
593478.1966,434787.232,3078753.1944,-2.784396690505142,-1652478.7264999999,0.888075,0.918003,0.419372,0.3509212341300003,0.311644375,capacity_node_scale::M-1810,27920896.5609,29204468.7583,24442917.4485,0.10658574527268233,2975969.5686249994
593478.1966,595569.134,3208152.2071,-2.7513469408683915,-1632864.4206875,0.888075,0.88768,0.394968,0.3467556231174169,0.307945,supplier_capacity_node_scale::SDC-VD0901566A,27920896.5609,27816077.7721,25896998.2248,0.04295795854715339,1199424.7170624998
593478.1966,571459.3094,2591813.7382,-2.127662861473351,-1262721.518,0.888075,0.892227,0.511205,0.2681516200771331,0.23813874999999998,supplier_capacity_node_scale::SDC-VD0914360C,27920896.5609,27616020.4712,24983267.1007,0.05893331014544833,1645470.8565625013
593478.1966,591299.5737,2462248.1308,-1.9703214960323614,-1169342.8481875,0.888075,0.888486,0.53564,0.24832221377698957,0.22052875,supplier_capacity_node_scale::SDC-1450,27920896.5609,27957961.3516,25873774.8314,0.04665382332131712,1302616.5751249995
593478.1966,593478.1966,1487377.6686,-1.8827555020578153,-1117374.3399999999,0.888075,0.888075,0.719493,0.23728570222109605,0.21072749999999987,edge_src_reliability_scale::SDC-VD1095770A,27920896.5609,27920896.5609,20010330.0947,0.3541508082013847,9888208.082749996
593478.1966,593478.1966,1468241.3193,-1.84245000008312,-1093453.903375,0.888075,0.888075,0.723101,0.23220730231117861,0.20621749999999994,edge_src_reliability_scale::SDC-VD0993480A,27920896.5609,27920896.5609,19968091.4574,0.35604180394752194,9941006.379374996
593478.1966,593478.1966,1455837.6088,-1.816324965981067,-1077949.26525,0.888075,0.888075,0.725441,0.22891366157137621,0.20329249999999993,edge_src_reliability_scale::SDC-VD0520115A,27920896.5609,27920896.5609,20330532.1411,0.33981557519312566,9487955.524749998
593478.1966,593478.1966,1451528.4694,-1.8072489387894053,-1072562.841,0.888075,0.888075,0.726253,0.22777074008388917,0.2022774999999999,edge_src_reliability_scale::SDC-VD0525412A,27920896.5609,27920896.5609,20078660.5356,0.3510916997326184,9802795.031624999
593478.1966,593478.1966,1443740.3703,-1.7908454315826166,-1062827.717125,0.888075,0.888075,0.727722,0.2257030656194578,0.20044124999999996,edge_src_reliability_scale::SDC-VD0508918A,27920896.5609,27920896.5609,20205888.5887,0.3453957842727362,9643759.965249998
593478.1966,593478.1966,1429001.5689,-1.759802165198869,-1044404.215375,0.888075,0.888075,0.730502,0.22179010781747033,0.19696624999999995,edge_src_reliability_scale::SDC-VD0914690A,27920896.5609,27920896.5609,20218793.2444,0.34481805140553357,9627629.145625
593478.1966,360416.9473,1611742.7662,-1.317788321951809,-782078.6368124998,0.888075,0.932028,0.696038,0.16608253807392387,0.14749374999999995,capacity_node_scale::M-1430,27920896.5609,31108501.1761,17794467.7508,0.2980302180720616,8321270.890812501
593478.1966,1721477.8051,240872.0607,1.5592461451009267,925378.5902499999,0.888075,0.741898,0.938789,-0.1385658587394083,-0.12305687500000002,demand_item_scale::item:268967,27920896.5609,29957404.2211,18741406.4384,0.2510663867436189,7009998.614187499
593478.1966,2804883.6098,406313.631,2.5259668263101953,1499106.23675,0.888075,0.656983,0.832642,-0.12362342707541595,-0.109786875,demand_item_scale::item:268091,27920896.5609,28078648.0396,25534741.3512,0.05694450666303211,1589941.6802500002
593478.1966,619067.8518,1231135.0927,-0.6445763766117435,-382542.02556249994,0.888075,0.883249,0.767818,0.08123680432395909,0.07214437499999997,supplier_capacity_node_scale::SDC-VD0914690A,27920896.5609,27865522.8339,22256464.0086,0.1255569196413906,3505661.7658125004
593478.1966,627030.9183,1130930.8008,-0.530663853140279,-314937.4265625,0.888075,0.881747,0.786716,0.0668799087914872,0.059394374999999985,supplier_capacity_node_scale::SDC-VD0993480A,27920896.5609,27868947.9702,23023133.111,0.1084719568511726,3028634.286999998
593478.1966,556089.1985,839184.2041,-0.2981312195016533,-176934.37849999993,0.888075,0.895126,0.841737,0.037573543901134494,0.03336812500000001,supplier_capacity_node_scale::SDC-VD0525412A,27920896.5609,27815171.4959,25649650.8324,0.04847446111679849,1353450.4146874999
593478.1966,695166.2022,828930.0874,-0.17337670852471587,-102895.29630769223,0.888075,0.868897,0.84367,0.021851065073765857,0.019405384615384616,edge_src_lead_time_scale::SDC-VD0518684A,27920896.5609,27185615.3023,26040373.6794,0.03155181971384601,880955.0945384599
593478.1966,712799.6142,558542.8848,0.16244986998230015,96410.45587499997,0.888075,0.865572,0.894663,-0.02047335529093825,-0.018181874999999986,supplier_node_scale::SDC-VD0518684A,27920896.5609,26956776.0712,28014948.8643,-0.023686846668586482,-661357.995687502
593478.1966,711737.3129,589595.4337,0.15831296285284233,93955.29169230767,0.888075,0.865772,0.888807,-0.019952403534871255,-0.01771923076923079,edge_src_lead_time_scale::SDC-VD0520132A,27920896.5609,27042220.1697,27635175.7357,-0.016336139677999774,-456119.66615384584
593478.1966,671923.3968,580248.352,0.11882368321998985,70519.26523076925,0.888075,0.873281,0.89057,-0.014975346416947631,-0.013299230769230768,lead_time_scale,27920896.5609,27020107.0977,23040564.6199,0.10963783038655912,3061186.5213846155
593478.1966,614116.7141,543961.7991,0.09093058437518554,53965.31923076926,0.888075,0.884183,0.897413,-0.011459531094697013,-0.010176923076923049,edge_src_lead_time_scale::SDC-VD0993480A,27920896.5609,27710764.1458,27810313.0694,-0.0027426087450272453,-76576.09507692547
593478.1966,626629.5616,558730.9014,0.07150500703836643,42436.662625000026,0.888075,0.881823,0.894628,-0.009011767024181485,-0.008003124999999972,supplier_capacity_node_scale::SDC-VD0910216A,27920896.5609,27760294.2532,27836317.1972,-0.0017017483624268573,-47514.34000000125
