case_id,delta::kpi::avg_inventory,delta::kpi::cost_share_holding,delta::kpi::cost_share_inventory_risk,delta::kpi::cost_share_purchase,delta::kpi::cost_share_transport,delta::kpi::cost_share_warehouse_operating,delta::kpi::ending_backlog,delta::kpi::ending_inventory,delta::kpi::fill_rate,delta::kpi::measured_required_total,delta::kpi::measurement_starting_backlog,delta::kpi::total_arrived,delta::kpi::total_cost,delta::kpi::total_demand,delta::kpi::total_estimated_source_ordered_qty,delta::kpi::total_estimated_source_rejected_qty,delta::kpi::total_estimated_source_replenished_qty,delta::kpi::total_explicit_initialization_pipeline_qty,delta::kpi::total_explicit_initialization_stock_qty,delta::kpi::total_external_procured_arrived_qty,delta::kpi::total_external_procured_ordered_qty,delta::kpi::total_external_procured_qty,delta::kpi::total_external_procured_rejected_qty,delta::kpi::total_external_procurement_cost,delta::kpi::total_holding_cost,delta::kpi::total_inventory_cost_legacy_raw_holding,delta::kpi::total_inventory_risk_cost,delta::kpi::total_logistics_cost,delta::kpi::total_opening_stock_bootstrap_qty,delta::kpi::total_produced,delta::kpi::total_purchase_cost,delta::kpi::total_served,delta::kpi::total_shipped,delta::kpi::total_supplier_capacity_binding_qty,delta::kpi::total_transport_cost,delta::kpi::total_unreliable_loss_qty,delta::kpi::total_warehouse_operating_cost,delta::kpi::warmup_backlog_cleared_qty,delta_pct::kpi::avg_inventory,delta_pct::kpi::cost_share_holding,delta_pct::kpi::cost_share_inventory_risk,delta_pct::kpi::cost_share_purchase,delta_pct::kpi::cost_share_transport,delta_pct::kpi::cost_share_warehouse_operating,delta_pct::kpi::ending_backlog,delta_pct::kpi::ending_inventory,delta_pct::kpi::fill_rate,delta_pct::kpi::measured_required_total,delta_pct::kpi::measurement_starting_backlog,delta_pct::kpi::total_arrived,delta_pct::kpi::total_cost,delta_pct::kpi::total_demand,delta_pct::kpi::total_estimated_source_ordered_qty,delta_pct::kpi::total_estimated_source_rejected_qty,delta_pct::kpi::total_estimated_source_replenished_qty,delta_pct::kpi::total_explicit_initialization_pipeline_qty,delta_pct::kpi::total_explicit_initialization_stock_qty,delta_pct::kpi::total_external_procured_arrived_qty,delta_pct::kpi::total_external_procured_ordered_qty,delta_pct::kpi::total_external_procured_qty,delta_pct::kpi::total_external_procured_rejected_qty,delta_pct::kpi::total_external_procurement_cost,delta_pct::kpi::total_holding_cost,delta_pct::kpi::total_inventory_cost_legacy_raw_holding,delta_pct::kpi::total_inventory_risk_cost,delta_pct::kpi::total_logistics_cost,delta_pct::kpi::total_opening_stock_bootstrap_qty,delta_pct::kpi::total_produced,delta_pct::kpi::total_purchase_cost,delta_pct::kpi::total_served,delta_pct::kpi::total_shipped,delta_pct::kpi::total_supplier_capacity_binding_qty,delta_pct::kpi::total_transport_cost,delta_pct::kpi::total_unreliable_loss_qty,delta_pct::kpi::total_warehouse_operating_cost,delta_pct::kpi::warmup_backlog_cleared_qty,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,level,parameter,value
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,base,baseline,1.0
baseline_repeat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,repeat,baseline,1.0
lead_time_scale_low,-7690596.122100001,-0.04203,-0.024017000000000004,0.034832,0.08525299999999997,-0.054038,-13229.84460000007,-6020129.553699998,0.002495000000000025,0.0,0.0,1490202.0895999968,-4880331.941,0.0,106403.48199999332,-7767152.4212,873098.1947999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1700215.2412,-4857757.8318,-971551.5663000001,-4845540.910699997,0.0,33484.06430000067,-34791.03029999975,13229.844700000249,183867.6833000034,585092.1164000002,12216.921200001612,0.0,-2185991.0242999997,-789442.6503999999,-38.907290633779574,-28.028595435933685,-28.028428718140237,20.3013259507504,21.314102564102555,-28.02829904874532,-2.229204826022764,-31.781981753334826,0.28094474002759057,0.0,nan,1.1844631362414042,-17.479137642859012,0.0,0.10163353239147432,-27.5368873061839,0.8470743826388066,nan,0.0,nan,nan,nan,nan,nan,-40.60841433410723,-40.608414332580814,-40.60841433041244,-20.94883208791837,nan,0.18737854184742583,-0.726245417422904,0.28094959211507986,0.1446926917442348,37.02949133542857,0.10939297199622064,nan,-40.60841433235732,-37.041224795182586,12075869.2288,0.107924,0.061671,0.206407,0.485237,0.13876,580248.352,12921828.1896,0.89057,5302452.7143,0.0,127302651.967,23040564.6199,5302452.7143,104799686.7875,20439203.4201,103945297.3658,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,2486639.3038,7104683.7253,1420936.7451,18284822.1108,0.0,17903227.2963,4755742.5091,4722204.3623,127258484.2956,2165162.7447,11180138.3855,0.0,3197107.6764,1341811.5259,low,lead_time_scale,0.5
lead_time_scale_high,-777997.0491000004,0.0014869999999999883,0.0008500000000000035,-0.0014480000000000048,-0.0028000000000000247,0.001911999999999997,78445.20019999996,-2894442.0452999976,-0.014793999999999974,0.0,0.0,-10801982.778599992,-900789.4631999992,0.0,-4142795.101300001,-28206355.8413,-7394432.351199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94892.17210000008,-271120.4916999992,-54224.09830000019,-707094.254499998,0.0,-686220.5193000026,-193695.2087000003,-78445.20019999985,-4466199.107599989,3368076.4979,-435973.7626999989,0.0,-122004.22130000032,1108394.1575000002,-3.935944213033398,0.9916374354802061,0.9919708710671314,-0.8439457962989974,-0.7000280011200509,0.9917115322773044,13.217873992575916,-15.280585483957154,-1.6658502941756015,0.0,nan,-8.58578208208024,-3.2262196926063296,0.0,-3.9570782102717397,-100.0,-7.174031805542835,nan,0.0,nan,nan,nan,nan,nan,-2.2664310660928413,-2.266431065981531,-2.2664310643285925,-3.0569959228168786,nan,-3.8401252351022173,-4.04329094258382,-1.6658658887791271,-3.5146272533925473,213.1598700447788,-3.903803980836156,nan,-2.266431066629622,52.00666207839399,18988468.3018,0.151441,0.086538,0.170127,0.397184,0.19471,671923.3968,16047515.698,0.873281,5302452.7143,0.0,115010467.0988,27020107.0977,5302452.7143,100550488.2042,0.0,95677766.8198,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4091962.3729,11691321.0654,2338264.2131,22423268.767,0.0,17183522.7127,4596838.3307,4630529.3174,122608417.5047,4948147.1262,10731947.7016,0.0,5261094.4794,3239648.3338,high,lead_time_scale,1.8
transport_cost_scale_low,0.0,0.07056299999999999,0.04032200000000001,0.08073699999999998,-0.28234400000000004,0.090724,0.0,0.0,0.0,0.0,0.0,0.0,-8934337.171499997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8934337.1715,0.0,0.0,0.0,0.0,0.0,0.0,-8934337.1714,0.0,0.0,0.0,0.0,47.0564306387292,47.056764074316135,47.056389334110435,-70.58882355294213,47.0565047355263,0.0,0.0,0.0,0.0,nan,0.0,-31.99874743281528,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,-38.626013621988584,nan,0.0,0.0,0.0,0.0,0.0,-79.99999999964183,nan,0.0,0.0,19766465.3509,0.220517,0.12601,0.252312,0.11764,0.283522,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,18986559.3894,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,14196025.85,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,2233584.2929,0.0,5383098.7007,2131254.1763,low,transport_cost_scale,0.2
transport_cost_scale_high,0.0,-0.042843000000000006,-0.024481999999999997,-0.04902000000000001,0.17142899999999994,-0.05508299999999999,0.0,0.0,0.0,0.0,0.0,0.0,11167921.464300003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11167921.4643,0.0,0.0,0.0,0.0,0.0,0.0,11167921.4644,0.0,0.0,0.0,0.0,-28.57076170025475,-28.571095135841656,-28.570595949293313,42.858964358574326,-28.57031711947219,0.0,0.0,0.0,0.0,nan,0.0,39.9984342907505,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,48.28251702716148,nan,0.0,0.0,0.0,0.0,0.0,100.00000000089544,nan,0.0,0.0,19766465.3509,0.107111,0.061206,0.122555,0.571413,0.137715,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,39088818.0252,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,34298284.4858,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,22335842.9287,0.0,5383098.7007,2131254.1763,high,transport_cost_scale,2.0
supplier_stock_scale_low,1070818.5823,0.005644999999999983,0.0032260000000000066,-0.002689999999999998,-0.013438000000000005,0.0072580000000000144,81877.50509999995,466493.5578000024,-0.015441999999999956,0.0,0.0,-9593115.718999997,-781059.2942999974,0.0,-6256342.721200004,8437178.206899997,-9346878.254299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36080.683199999854,103087.66630000062,20617.533299999777,-574040.3297000006,0.0,-1144342.2342000008,-207018.96460000053,-81877.50499999989,-7090343.317299992,-2480.524399999995,-677127.9958999995,0.0,46389.449800000526,-122647.79110000003,5.417349856388176,3.7644877762513724,3.7648212118383046,-1.5678274806935728,-3.3596343853754167,3.764561873048483,13.79621114458309,2.4627526052052717,-1.7388171044112217,0.0,nan,-7.624933564482821,-2.797400479588399,0.0,-5.975877843990906,29.912329881856643,-9.068282552886288,nan,0.0,nan,nan,nan,nan,nan,0.8617610860899839,0.8617610862125014,0.8617610878915903,-2.481761004643213,nan,-6.403797857323353,-4.321417706344438,-1.738754471785292,-5.579669257576728,-0.15698819758891375,-6.0631514831523905,nan,0.8617610855615224,-5.75472378958219,20837283.9332,0.155599,0.088914,0.168885,0.386546,0.200056,675355.7017,19408451.3011,0.872633,5302452.7143,0.0,116219334.1584,27139837.2666,5302452.7143,98436940.5843,36643534.0482,93725320.9167,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4222935.2282,12065529.2234,2413105.8447,22556322.6918,0.0,16725400.9978,4583514.5748,4627097.0126,119984273.295,1577590.1039,10490793.4684,0.0,5429488.1505,2008606.3852,low,supplier_stock_scale,0.2
supplier_stock_scale_high,-178930.40740000084,0.0007840000000000069,0.00044800000000000395,0.00014000000000000123,-0.0023799999999999932,0.0010080000000000089,20395.78509999998,-464889.40939999744,-0.003846999999999934,0.0,0.0,-94157.09529998899,-76609.62519999966,0.0,-1026503.655400008,13111644.1587,-1058086.7902999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10342.247600000352,29549.278799999505,5909.855800000019,-67366.89449999854,0.0,-177160.3040000014,-9242.73070000019,-20395.78500000015,-1072706.524299994,-1580070.6283,-96916.17320000008,0.0,13297.175400000066,-447042.97439999995,-0.9052220729582987,0.5228270002800904,0.5228270002800904,0.08159696925542838,-0.5950238009520363,0.5228270002800905,3.436652806597812,-2.4542838480591294,-0.4331841342228904,0.0,nan,-0.07483925111683455,-0.27438096421044955,0.0,-0.9804866396296134,46.484715120490016,-1.0265491556502038,nan,0.0,nan,nan,nan,nan,nan,0.24701712201469256,0.24701712153787944,0.24701712321184882,-0.29124875574749975,nan,-0.9913981510531947,-0.19293739672173996,-0.43312583076782435,-0.8441548382339665,-100.0,-0.8678085130685036,nan,0.2470171204230557,-20.975582329466516,19587534.9435,0.150738,0.086136,0.171715,0.397604,0.193806,613873.9817,18477068.3339,0.884228,5302452.7143,0.0,125718292.7821,27844286.9357,5302452.7143,103666779.6501,41318000.0,102014112.3807,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4197196.7926,11991990.8359,2398398.1672,23062996.127,0.0,17692582.928,4781290.8087,4688578.7326,126001910.088,0.0,11071005.2911,0.0,5396395.8761,1684211.2019,high,supplier_stock_scale,1.8
supplier_capacity_scale_low,-10285769.502400002,0.063689,0.036393999999999996,-0.06285,-0.11911700000000003,0.08188599999999999,3226327.0361,-9189004.185399998,-0.60846,0.0,0.0,-63798946.41509999,-8000354.1043,0.0,-53595038.2421,2391381327.6687,-51932164.8347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69028.56290000025,197224.46550000086,39444.89309999999,-5375683.798799999,0.0,-9125737.439900002,-2624670.3055000002,-3226327.036,-66044348.121999994,-1468193.0409,-5572908.264199999,0.0,88751.0094999997,693280.2486,-52.03646337270752,42.47235818984488,42.4726916254318,-36.6312108407402,-29.78044121764871,42.47243228664197,543.6302554303476,-48.51137517002571,-68.51448357402246,0.0,nan,-50.709565291248936,-28.653643291324588,0.0,-51.192432360447725,8478.164783581218,-50.38426001616878,nan,0.0,nan,nan,nan,nan,nan,1.6486974208940484,1.6486974214970633,1.648697421510838,-23.240810331438485,nan,-51.06809494362633,-54.788684473519666,-68.51442971163807,-51.972887963533175,-92.91945654857408,-49.90103379590077,nan,1.6486974219599357,32.52921478392507,9480695.8485,0.213643,0.122082,0.108725,0.280867,0.274684,3819805.2327,9752953.5579,0.279615,5302452.7143,0.0,62013503.4623,19920542.4566,5302452.7143,51098245.0634,2419587683.51,51140034.3363,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4255883.1079,12159666.0226,2431933.2045,17754679.2227,0.0,8744005.7921,2165863.2339,1482647.4816,61030268.4903,111877.5874,5595013.2001,0.0,5471849.7102,2824534.4249,low,supplier_capacity_scale,0.2
supplier_capacity_scale_high,462078.4582999982,0.0012479999999999991,0.0007130000000000053,-0.0014470000000000038,-0.00211699999999998,0.0016039999999999943,-1693.654600000009,694595.697900001,0.00031900000000006923,0.0,0.0,-1360609.7734999955,87235.3739,0.0,-518576.5329000056,-28206355.8413,-1419382.1228000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48024.314299999736,137212.3267000001,27442.465400000103,112792.52910000086,0.0,-105492.86850000173,-25557.15519999992,1693.654699999839,-171390.05929999053,-1580070.6283,-24419.797499999404,0.0,61745.54700000025,-182577.01379999984,2.337688858868027,0.8322552249356463,0.8320885071421964,-0.8433629608043152,-0.5292711708468288,0.8319588377472766,-0.2853777290729216,3.6669688915639562,0.03592038960674147,0.0,nan,-1.081458770436363,0.31243758132811217,0.0,-0.495329324410215,-100.0,-1.377075617107197,nan,0.0,nan,nan,nan,nan,nan,1.1470260976071174,1.1470260986860266,1.1470261012034677,0.4876383868042132,nan,-0.5903435048305105,-0.5334928769374795,0.035966529308445606,-0.13487356001466078,-100.0,-0.21866018290029252,nan,1.1470260984063152,-8.566646617296758,20228543.8092,0.151202,0.086401,0.170128,0.397867,0.194402,591784.542,19636553.4412,0.888394,5302452.7143,0.0,124451840.1039,28008131.9348,5302452.7143,104174706.7726,0.0,101652817.0482,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4234878.8593,12099653.8838,2419930.7768,23243155.5506,0.0,17764250.3635,4764976.3842,4710668.1723,126903226.553,0.0,11143501.6668,0.0,5444844.2477,1948677.1625,high,supplier_capacity_scale,1.8
