day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,3.499835,12068.4,200.0,200.0,1.586,42.4,1.6,1930.9436,0.25984,0.19488,1.23424,0.3248,0.077952,0.006496,0.006496,0.240352,0.012992,0.3248,160.0,160.0,1.76,64.96,700.0
1,3.062356,10559.85,175.0,175.0,1.38775,37.1,1.4,1689.57565,0.22736,0.17052,1.07996,0.2842,0.068208,0.005684,0.005684,0.210308,0.011368,0.2842,140.0,140.0,1.54,56.84,700.0
2,2.624876,9051.3,150.0,150.0,1.1895,31.8,1.2,1448.2077,0.19488,0.14616,0.92568,0.2436,0.058464,0.004872,0.004872,0.180264,0.009744,0.2436,120.0,120.0,1.32,48.72,700.0
3,2.187397,7542.75,125.0,125.0,0.99125,26.5,1.0,1206.83975,0.1624,0.1218,0.7714,0.203,0.04872,0.00406,0.00406,0.15022,0.00812,0.203,100.0,100.0,1.1,40.6,700.0
4,1.749918,6034.2,100.0,100.0,0.793,21.2,0.8,965.4718,0.12992,0.09744,0.61712,0.1624,0.038976,0.003248,0.003248,0.120176,0.006496,0.1624,80.0,80.0,0.88,32.48,700.0
5,1.312438,4525.65,75.0,75.0,0.59475,15.9,0.6,724.10385,0.09744,0.07308,0.46284,0.1218,0.029232,0.002436,0.002436,0.090132,0.004872,0.1218,60.0,60.0,0.66,24.36,700.0
6,0.874959,3017.1,50.0,50.0,0.3965,10.6,0.4,482.7359,0.06496,0.04872,0.30856,0.0812,0.019488,0.001624,0.001624,0.060088,0.003248,0.0812,40.0,40.0,0.44,16.24,700.0
7,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
8,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
9,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
10,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
11,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
12,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
13,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
14,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
15,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.03248,0.02436,0.15428,0.0406,0.009744,0.000812,0.000812,0.030044,0.001624,0.0406,20.0,20.0,0.22,8.12,700.0
