avg_inventory_max,avg_inventory_min,baseline_avg_inventory,baseline_backlog,baseline_external_procured_qty,baseline_fill_rate,baseline_total_cost,ending_backlog_cross_threshold_at,ending_backlog_max,ending_backlog_min,ending_backlog_monotonicity,external_procured_qty_max,external_procured_qty_min,fill_rate_cross_service_threshold_at,fill_rate_cross_soft_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,levels,max_backlog_increase,max_fill_rate_drop,max_total_cost_increase,parameter_group,parameter_key,parameter_label,realism_focus,safe_band_high,safe_band_low,steepest_fill_segment,total_cost_cross_threshold_at,total_cost_max,total_cost_min,total_cost_monotonicity
4768866.2906,4453840.244,4656606.0037,728.5,0.0,0.959867,13564426.5346,0.6,3311.7189,728.5,decreasing,0.0,0.0,0.6,0.6,0.959867,0.824545,increasing,"[0.6, 0.8, 1.0, 1.2, 1.4]",2583.2189,0.13532200000000005,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0914690A,Debit fournisseur SDC-VD0914690A,supplier_capacity,1.4,0.8,"[0.6, 0.8]",,13564426.5346,12791589.1459,non_monotonic
4733665.4296,4654181.7413,4656606.0037,728.5,0.0,0.959867,13564426.5346,0.6,3086.7189,728.5,decreasing,0.0,0.0,0.6,0.6,0.959867,0.834148,increasing,"[0.6, 0.8, 1.0, 1.2, 1.4]",2358.2189,0.12571900000000003,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0993480A,Debit fournisseur SDC-VD0993480A,supplier_capacity,1.4,0.8,"[0.6, 0.8]",,13564426.5346,12914289.7977,non_monotonic
4661255.303,4653893.9195,4656606.0037,728.5,0.0,0.959867,13564426.5346,0.6,2460.25,728.5,decreasing,0.0,0.0,0.6,0.6,0.959867,0.864466,increasing,"[0.6, 0.8, 1.0, 1.2, 1.4]",1731.75,0.09540100000000007,14057.760299999267,supplier_capacity_node,supplier_capacity_node::SDC-VD0901566A,Debit fournisseur SDC-VD0901566A,supplier_capacity,1.4,0.8,"[0.6, 0.8]",,13578484.2949,13517301.3692,increasing
4673241.5278,4648401.2244,4656606.0037,728.5,0.0,0.959867,13564426.5346,0.7,4248.975,420.7,decreasing,0.0,0.0,0.7,0.7,0.976424,0.779905,increasing,"[0.7, 0.85, 1.0, 1.15, 1.3]",3520.4750000000004,0.17996200000000007,293676.4065999985,capacity_node,capacity_node::M-1430,Capacite M-1430,operations_capacity,1.3,1.0,"[0.7, 0.85]",,13858102.9412,12608482.8454,increasing
4663403.4407,4641107.0672,4656606.0037,728.5,0.0,0.959867,13564426.5346,0.7,1210.6603,319.75,decreasing,0.0,0.0,0.7,0.7,0.981962,0.935031,increasing,"[0.7, 0.85, 1.0, 1.15, 1.3]",482.1603,0.02483600000000008,17884.08189999871,capacity_node,capacity_node::M-1810,Capacite M-1810,operations_capacity,1.3,1.0,"[0.85, 1.0]",,13582310.6165,13562612.0769,non_monotonic
4656606.0037,4507890.431,4656606.0037,728.5,0.0,0.959867,13564426.5346,0.85,9629.1358,728.5,decreasing,0.0,0.0,0.85,0.85,0.959867,0.55179,increasing,"[0.85, 0.9, 0.95, 1.0]",8900.6358,0.408077,47787.41559999995,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,1.0,1.0,"[0.95, 1.0]",,13612213.9502,13326409.2875,non_monotonic
4688740.8523,4651196.9106,4656606.0037,728.5,0.0,0.959867,13564426.5346,0.85,1905.783,728.5,decreasing,0.0,0.0,0.85,0.85,0.959867,0.895768,increasing,"[0.85, 0.9, 0.95, 1.0]",1177.283,0.06409900000000002,0.0,supplier_reliability_node,supplier_reliability_node::SDC-1450,Fiabilite fournisseur SDC-1450,supplier_reliability,1.0,0.95,"[0.85, 0.9]",,13564426.5346,13233304.612,increasing
4756435.7173,4581167.0119,4656606.0037,728.5,0.0,0.959867,13564426.5346,1.1,2566.15,459.35,increasing,0.0,0.0,1.1,1.2,0.971545,0.873984,decreasing,"[0.8, 0.9, 1.0, 1.1, 1.2]",1837.65,0.08588300000000004,273209.1252999995,demand_item,demand_item::item:268967,Demande 268967,market_demand,1.0,0.8,"[1.1, 1.2]",,13837635.6599,12831358.3489,non_monotonic
4659064.5346,4654234.909,4656606.0037,728.5,0.0,0.959867,13564426.5346,1.1,1208.65,340.35,increasing,0.0,0.0,1.2,,0.978754,0.940686,decreasing,"[0.8, 0.9, 1.0, 1.1, 1.2]",480.1500000000001,0.019181000000000004,21165.852699998766,demand_item,demand_item::item:268091,Demande 268091,market_demand,1.0,0.8,"[1.1, 1.2]",,13585592.3873,13543401.4317,increasing
4958245.0189,3740893.7202,4656606.0037,728.5,0.0,0.959867,13564426.5346,1.25,1224.4074,608.45,increasing,0.0,0.0,1.25,1.5,0.966258,0.934328,decreasing,"[0.75, 0.9, 1.0, 1.1, 1.25, 1.5]",495.90740000000005,0.02553899999999998,768535.8016999997,global,lead_time_scale,Lead time global,exogenous_network,1.1,0.75,"[1.0, 1.1]",,14332962.3363,11176248.3542,non_monotonic
