case_id,case_input,case_output_dir,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,level,parameter_group,parameter_key,parameter_label,realism_focus,status
baseline,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\baseline\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\baseline\simulation_output,4656606.0037,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,13564426.5346,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,13538485.6974,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783210.1619,1.0,baseline,baseline,Baseline,baseline,ok
baseline_repeat,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\baseline_repeat\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\baseline_repeat\simulation_output,4656606.0037,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,13564426.5346,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,13538485.6974,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783210.1619,1.0,baseline,baseline,Baseline repeat,baseline,ok
lead_time_scale_0_75,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_0_75\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_0_75\simulation_output,3740893.7202,0.264028,0.150873,0.002196,0.243439,0.339464,608.45,3793483.0282,0.966258,18032.2,632.2,786702.2,11176248.3542,17400.0,711112.5409,15169067.3202,717963.307,594708.9336,160697.7718,0.0,0.0,0.0,0.0,0.0,2950841.1625,8430974.75,1686194.95,11151710.8013,0.0,105499.3017,24537.5529,17423.75,736269.4577,217251.1449,2720736.0513,0.0,3793938.6375,0.75,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_0_9,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_0_9\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_0_9\simulation_output,4311434.1353,0.270885,0.154792,0.00199,0.224052,0.348281,646.5,4427280.8279,0.964223,18070.25,670.25,1126592.5358,12656427.4324,17400.0,757112.4074,25991072.3229,766156.8475,709399.1758,165223.4218,0.0,0.0,0.0,0.0,0.0,3428438.7251,9795539.2145,1959107.8429,12631239.5892,0.0,105499.3017,25187.8431,17423.75,767724.3209,549922.8915,2835700.3747,0.0,4407992.6465,0.9,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_0,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_0\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_0\simulation_output,4656606.0037,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,13564426.5346,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,13538485.6974,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783210.1619,1.0,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_1,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_1\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_1\simulation_output,4958245.0189,0.277111,0.158349,0.001834,0.206421,0.356285,875.0205,5190533.0608,0.952112,18272.05,872.05,1919067.574,14332962.3363,17400.0,770485.906,38116934.7154,771278.5002,854838.5294,169749.0718,0.0,0.0,0.0,0.0,0.0,3971819.9542,11348057.0121,2269611.4024,14306678.4143,0.0,105496.3313,26283.922,17397.0295,801886.6245,772544.6367,2958621.4022,0.0,5106625.6554,1.1,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_25,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_25\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_25\simulation_output,4895820.5219,0.276175,0.157815,0.001851,0.209076,0.355083,1046.8603,5183160.3384,0.94303,18375.6103,975.6103,2141790.8992,14233796.9384,17400.0,770510.5805,39009523.5449,771303.1747,855186.0992,169749.0718,0.0,0.0,0.0,0.0,0.0,3931025.7998,11231502.2851,2246300.457,14207445.962,0.0,105499.3017,26350.9764,17328.75,806534.5879,817916.6414,2975943.6769,0.0,5054176.0283,1.25,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_5,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_5\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\lead_time_scale_1_5\simulation_output,4820188.6543,0.27569,0.157537,0.001873,0.210441,0.354459,1224.4074,5192417.9547,0.934328,18644.4103,1244.4103,2496926.6164,14017143.0574,17400.0,770357.755,37677533.7898,771150.3492,855367.0842,169749.0718,0.0,0.0,0.0,0.0,0.0,3864389.0063,11041111.4465,2208222.2893,13990892.7399,0.0,105495.5546,26250.3175,17420.0029,799484.6815,751287.6102,2949781.2935,0.0,4968500.1509,1.5,global,lead_time_scale,Lead time global,exogenous_network,ok
supplier_reliability_scale_0_85,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_0_85\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_0_85\simulation_output,4507890.431,0.275879,0.157645,0.001914,0.209861,0.354702,9629.1358,4686817.2774,0.55179,21483.5545,4083.5545,1565332.9846,13326409.2875,17400.0,780640.1383,45435989.9535,781173.5559,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3676476.0194,10504217.1983,2100843.4397,13300905.445,0.0,104530.5517,25503.8425,11854.4188,762335.9576,1774185.1562,2796688.2467,134529.8749,4726897.7392,0.85,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
supplier_reliability_scale_0_9,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_0_9\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_0_9\simulation_output,4549797.9518,0.27321,0.15612,0.001926,0.217474,0.35127,6559.8412,4699182.7515,0.677784,20358.495,2958.495,1490935.4965,13549829.1716,17400.0,777080.9373,45326520.5984,777831.3231,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3701949.2546,10576997.8704,2115399.5741,13523729.3377,0.0,105158.4267,26099.8339,13798.6537,801243.0031,1675815.125,2946731.4674,89027.0003,4759649.0417,0.9,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
