dst_node_id,estimated_value_eur,flag,item_id,order_type,quantity,severity,source,source_row,src_node_id,uom
M-1810,10860.0,duplicate_same_key,item:001757,purchase_open_order,2000000.0,medium,source_open_order,2,SDC-VD0951020A,G
M-1810,10860.0,duplicate_same_key,item:001757,purchase_open_order,2000000.0,medium,source_open_order,3,SDC-VD0951020A,G
,,supplier_item_lane_absent,item:001757,purchase_open_order,800000.0,high,source_open_order,5,SDC-VD0951020A,G
,,no_dest_item_lane,item:001757,purchase_open_order,800000.0,medium,source_open_order,5,SDC-VD0951020A,G
,,unmapped_division,item:001757,purchase_open_order,800000.0,medium,source_open_order,5,SDC-VD0951020A,G
,,not_in_graph_open_orders,item:001757,purchase_open_order,800000.0,high,source_open_order,5,SDC-VD0951020A,G
,,supplier_item_lane_absent,item:001757,purchase_open_order,700000.0,high,source_open_order,6,SDC-VD0951020A,G
,,no_dest_item_lane,item:001757,purchase_open_order,700000.0,medium,source_open_order,6,SDC-VD0951020A,G
,,unmapped_division,item:001757,purchase_open_order,700000.0,medium,source_open_order,6,SDC-VD0951020A,G
,,not_in_graph_open_orders,item:001757,purchase_open_order,700000.0,high,source_open_order,6,SDC-VD0951020A,G
M-1430,,supplier_item_lane_absent,item:001848,purchase_open_order,7000000.0,high,source_open_order,7,SDC-VD0951020A,G
M-1430,,no_dest_item_lane,item:001848,purchase_open_order,7000000.0,medium,source_open_order,7,SDC-VD0951020A,G
,,supplier_item_lane_absent,item:001893,purchase_open_order,22800.0,high,source_open_order,9,SDC-VD0518684A,KG
,,no_dest_item_lane,item:001893,purchase_open_order,22800.0,medium,source_open_order,9,SDC-VD0518684A,KG
,,unmapped_division,item:001893,purchase_open_order,22800.0,medium,source_open_order,9,SDC-VD0518684A,KG
,,not_in_graph_open_orders,item:001893,purchase_open_order,22800.0,high,source_open_order,9,SDC-VD0518684A,KG
,,duplicate_same_key,item:001893,purchase_open_order,22800.0,medium,source_open_order,9,SDC-VD0518684A,KG
,,supplier_item_lane_absent,item:001893,purchase_open_order,22800.0,high,source_open_order,10,SDC-VD0518684A,KG
,,no_dest_item_lane,item:001893,purchase_open_order,22800.0,medium,source_open_order,10,SDC-VD0518684A,KG
,,unmapped_division,item:001893,purchase_open_order,22800.0,medium,source_open_order,10,SDC-VD0518684A,KG
,,not_in_graph_open_orders,item:001893,purchase_open_order,22800.0,high,source_open_order,10,SDC-VD0518684A,KG
,,duplicate_same_key,item:001893,purchase_open_order,22800.0,medium,source_open_order,10,SDC-VD0518684A,KG
,,supplier_item_lane_absent,item:001893,purchase_open_order,22800.0,high,source_open_order,11,SDC-VD0518684A,KG
,,no_dest_item_lane,item:001893,purchase_open_order,22800.0,medium,source_open_order,11,SDC-VD0518684A,KG
,,unmapped_division,item:001893,purchase_open_order,22800.0,medium,source_open_order,11,SDC-VD0518684A,KG
,,not_in_graph_open_orders,item:001893,purchase_open_order,22800.0,high,source_open_order,11,SDC-VD0518684A,KG
,,duplicate_same_key,item:001893,purchase_open_order,22800.0,medium,source_open_order,11,SDC-VD0518684A,KG
,,supplier_item_lane_absent,item:001893,purchase_open_order,22800.0,high,source_open_order,12,SDC-VD0518684A,KG
,,no_dest_item_lane,item:001893,purchase_open_order,22800.0,medium,source_open_order,12,SDC-VD0518684A,KG
,,unmapped_division,item:001893,purchase_open_order,22800.0,medium,source_open_order,12,SDC-VD0518684A,KG
,,not_in_graph_open_orders,item:001893,purchase_open_order,22800.0,high,source_open_order,12,SDC-VD0518684A,KG
,,duplicate_same_key,item:001893,purchase_open_order,22800.0,medium,source_open_order,12,SDC-VD0518684A,KG
,,supplier_item_lane_absent,item:001893,purchase_open_order,16560.0,high,source_open_order,13,SDC-VD0910216A,KG
,,no_dest_item_lane,item:001893,purchase_open_order,16560.0,medium,source_open_order,13,SDC-VD0910216A,KG
,,unmapped_division,item:001893,purchase_open_order,16560.0,medium,source_open_order,13,SDC-VD0910216A,KG
,,not_in_graph_open_orders,item:001893,purchase_open_order,16560.0,high,source_open_order,13,SDC-VD0910216A,KG
M-1810,18450.0,duplicate_same_key,item:002612,purchase_open_order,22500.0,medium,source_open_order,14,SDC-VD0910216A,KG
M-1810,18450.0,duplicate_same_key,item:002612,purchase_open_order,22500.0,medium,source_open_order,15,SDC-VD0910216A,KG
,,supplier_item_lane_absent,item:002612,purchase_open_order,24000.0,high,source_open_order,16,SDC-VD0990780A,KG
,,no_dest_item_lane,item:002612,purchase_open_order,24000.0,medium,source_open_order,16,SDC-VD0990780A,KG
,,unmapped_division,item:002612,purchase_open_order,24000.0,medium,source_open_order,16,SDC-VD0990780A,KG
,,not_in_graph_open_orders,item:002612,purchase_open_order,24000.0,high,source_open_order,16,SDC-VD0990780A,KG
