division,dst_node_id,estimated_value_eur,fallback_lane_count,flags,graph_physical_delivery_day,graph_resolved,graph_usable_day,item_id,item_kind,lead_days_fia,order_type,physical_delivery_date,planning_element,product_scope,qty_item_uom,qty_standard_uom,quantity,receipt_release_days,selected_edge_id,selected_lane_src,source_row,src_node_id,standard_order_qty,standard_order_ratio,standard_order_uom,uom,usable_date,valid_exact_lane,valuation_source
1810,M-1810,10860.0,1,duplicate_same_key,9,True,28,item:001757,MP,84.0,purchase_open_order,2025-01-10T00:00:00,AVICDE,268091,2000000.0,2000.0,2000000.0,13,edge:SDC-VD0951020A_TO_M-1810_001757,SDC-VD0951020A,2,SDC-VD0951020A,100.0,20.0,KG,G,2025-01-29T00:00:00,True,exact_lane
1810,M-1810,10860.0,1,duplicate_same_key,63,True,82,item:001757,MP,84.0,purchase_open_order,2025-03-05T00:00:00,AVICDE,268091,2000000.0,2000.0,2000000.0,13,edge:SDC-VD0951020A_TO_M-1810_001757,SDC-VD0951020A,3,SDC-VD0951020A,100.0,20.0,KG,G,2025-03-24T00:00:00,True,exact_lane
1810,M-1810,21720.0,1,,27,True,44,item:001757,MP,84.0,purchase_open_order,2025-01-28T00:00:00,AVICDE,268091,4000000.0,4000.0,4000000.0,13,edge:SDC-VD0951020A_TO_M-1810_001757,SDC-VD0951020A,4,SDC-VD0951020A,100.0,40.0,KG,G,2025-02-14T00:00:00,True,exact_lane
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:001757,MP,,purchase_open_order,2025-02-26T00:00:00,AVICDE,268091,800000.0,800000.0,800000.0,27,,,5,SDC-VD0951020A,0.0,,G,G,2025-04-04T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:001757,MP,,purchase_open_order,2025-01-03T00:00:00,AVICDE,268091,700000.0,700000.0,700000.0,27,,,6,SDC-VD0951020A,0.0,,G,G,2025-02-11T00:00:00,False,unpriced
1430,M-1430,,0,supplier_item_lane_absent|no_dest_item_lane,22,True,42,item:001848,MP,,purchase_open_order,2025-01-23T00:00:00,ECHCDE,268091,7000000.0,7000000.0,7000000.0,14,,,7,SDC-VD0951020A,0.0,,G,G,2025-02-12T00:00:00,False,unpriced
1810,M-1810,9480.0,2,,50,True,69,item:001848,MP,56.0,purchase_open_order,2025-02-20T00:00:00,ECHCDE,268091,6000000.0,6000.0,6000000.0,13,edge:SDC-VD0951020A_TO_M-1810_001848,SDC-VD0951020A,8,SDC-VD0951020A,6000.0,1.0,KG,G,2025-03-11T00:00:00,True,exact_lane
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:001893,MP,,purchase_open_order,2025-01-10T00:00:00,AVICDE,268091,22800.0,22800.0,22800.0,11,,,9,SDC-VD0518684A,0.0,,KG,KG,2025-01-27T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:001893,MP,,purchase_open_order,2025-01-24T00:00:00,AVICDE,268091,22800.0,22800.0,22800.0,11,,,10,SDC-VD0518684A,0.0,,KG,KG,2025-02-10T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:001893,MP,,purchase_open_order,2025-02-07T00:00:00,AVICDE,268091,22800.0,22800.0,22800.0,11,,,11,SDC-VD0518684A,0.0,,KG,KG,2025-02-24T00:00:00,False,unpriced
