dst_node_id,empty_edge_rows,flags,item_id,order_type,release_qty,rows,run,src_node_id,supplier_lane_absent_rows
M-1430,0,,item:333362,lane_release,6570000.0,1314,268091_365d_all_open_orders,SDC-VD0525412A,0
M-1430,0,,item:344135,lane_release,4320000.0,36,268091_365d_all_open_orders,SDC-VD0993480A,0
C-XXXXX,0,,item:268091,lane_release,2854424.2,257,268091_365d_all_open_orders,DC-1920,0
DC-1920,0,,item:268091,lane_release,2423886.2000009995,161,268091_365d_all_open_orders,M-1810,0
M-1810,0,,item:338929,lane_release,2375000.0,475,268091_365d_all_open_orders,SDC-VD0914360C,0
C-XXXXX,0,,item:268967,lane_release,1631808.1428279998,203,268091_365d_all_open_orders,DC-1920,0
M-1430,0,,item:730384,lane_release,1480000.0,4,268091_365d_all_open_orders,SDC-VD0508918A,0
M-1810,0,,item:338928,lane_release,1175000.0,47,268091_365d_all_open_orders,SDC-VD0901566A,0
DC-1920,0,,item:268967,lane_release,599633.107081,46,268091_365d_all_open_orders,M-1430,0
M-1430,0,,item:708073,lane_release,40000.0,8,268091_365d_all_open_orders,SDC-VD0520115A,0
M-1430,0,,item:734545,lane_release,31500.0,5,268091_365d_all_open_orders,SDC-VD1095770A,0
M-1810,0,,item:001893,lane_release,23920.0,1,268091_365d_all_open_orders,SDC-VD0910216A,0
M-1810,0,,item:001893,lane_release,22800.0,1,268091_365d_all_open_orders,SDC-VD0518684A,0
M-1810,0,,item:001893,lane_release,20900.0,1,268091_365d_all_open_orders,SDC-VD1091642A,0
M-1810,0,,item:016332,lane_release,5500.0,5,268091_365d_all_open_orders,SDC-VD0514881A,0
SDC-1450,0,,item:773474,opening_production_order,3200000.0,1,268091_365d_all_open_orders,SDC-1450,0
M-1810,0,,item:268091,opening_production_order,1945715.0,20,268091_365d_all_open_orders,M-1810,0
SDC-1450,0,,item:693055,opening_production_order,600000.0,1,268091_365d_all_open_orders,SDC-1450,0
M-1430,0,,item:042342,opening_purchase_order,60000000.0,2,268091_365d_all_open_orders,SDC-VD0914690A,0
SDC-1450,0,,item:021081,opening_purchase_order,820000.0,9,268091_365d_all_open_orders,SDC-VD0960508A,0
M-1430,0,run_qty_not_multiple_of_standard_order:1,item:333362,opening_purchase_order,629000.0,6,268091_365d_all_open_orders,SDC-VD0525412A,0
M-1810,0,run_qty_not_multiple_of_standard_order:3,item:338928,opening_purchase_order,365033.0,3,268091_365d_all_open_orders,SDC-VD0901566A,0
SDC-1450,0,,item:021081,opening_purchase_order,300000.0,8,268091_365d_all_open_orders,SDC-VD0949099A,0
SDC-1450,0,,item:021081,opening_purchase_order,100000.0,3,268091_365d_all_open_orders,SDC-VD0972460A,0
SDC-1450,0,,item:021081,opening_purchase_order,100000.0,3,268091_365d_all_open_orders,SDC-VD0975221A,0
M-1430,0,,item:038005,opening_purchase_order,90000.0,9,268091_365d_all_open_orders,SDC-VD0520132A,0
M-1810,0,run_qty_not_multiple_of_standard_order:1,item:338929,opening_purchase_order,57600.0,1,268091_365d_all_open_orders,SDC-VD0914360C,0
M-1810,0,,item:002612,opening_purchase_order,45000.0,2,268091_365d_all_open_orders,SDC-VD0910216A,0
M-1810,0,run_opening_purchase_supplier_lane_absent:11; run_qty_not_multiple_of_standard_order:11,item:049371,opening_purchase_order,19800.0,11,268091_365d_all_open_orders,SDC-VD0518550B,11
M-1810,0,,item:426331,opening_purchase_order,19200.0,1,268091_365d_all_open_orders,SDC-VD0989480A,0
M-1810,0,run_opening_purchase_supplier_lane_absent:1,item:007923,opening_purchase_order,19140.0,1,268091_365d_all_open_orders,SDC-VD0956464A,1
M-1810,0,,item:001757,opening_purchase_order,8000.0,3,268091_365d_all_open_orders,SDC-VD0951020A,0
M-1430,1,run_opening_purchase_empty_edge:1; run_opening_purchase_supplier_lane_absent:1; run_opening_purchase_zero_reference_lead:1,item:001848,opening_purchase_order,7000.0,1,268091_365d_all_open_orders,SDC-VD0951020A,1
M-1430,0,run_opening_purchase_supplier_lane_absent:1; run_qty_not_multiple_of_standard_order:1,item:734545,opening_purchase_order,6400.0,1,268091_365d_all_open_orders,SDC-VD0525906A,1
M-1810,0,,item:001848,opening_purchase_order,6000.0,1,268091_365d_all_open_orders,SDC-VD0951020A,0
M-1810,0,,item:055703,opening_purchase_order,300.0,1,268091_365d_all_open_orders,SDC-VD0914320A,0
M-1430,0,,item:333362,lane_release,6570000.0,1314,268091_365d_strict_fia_orders,SDC-VD0525412A,0
M-1430,0,,item:344135,lane_release,4320000.0,36,268091_365d_strict_fia_orders,SDC-VD0993480A,0
C-XXXXX,0,,item:268091,lane_release,2854424.2,257,268091_365d_strict_fia_orders,DC-1920,0
DC-1920,0,,item:268091,lane_release,2423886.2000009995,161,268091_365d_strict_fia_orders,M-1810,0
M-1810,0,,item:338929,lane_release,2375000.0,475,268091_365d_strict_fia_orders,SDC-VD0914360C,0
C-XXXXX,0,,item:268967,lane_release,1631808.1428269998,204,268091_365d_strict_fia_orders,DC-1920,0
M-1430,0,,item:730384,lane_release,1480000.0,4,268091_365d_strict_fia_orders,SDC-VD0508918A,0
M-1810,0,,item:338928,lane_release,1200000.0,48,268091_365d_strict_fia_orders,SDC-VD0901566A,0
DC-1920,0,,item:268967,lane_release,596104.7499369999,46,268091_365d_strict_fia_orders,M-1430,0
M-1810,0,,item:049371,lane_release,46400.0,29,268091_365d_strict_fia_orders,SDC-VD0520132A,0
M-1430,0,,item:708073,lane_release,40000.0,8,268091_365d_strict_fia_orders,SDC-VD0520115A,0
M-1430,0,,item:734545,lane_release,31500.0,5,268091_365d_strict_fia_orders,SDC-VD1095770A,0
M-1810,0,,item:001893,lane_release,23920.0,1,268091_365d_strict_fia_orders,SDC-VD0910216A,0
M-1810,0,,item:001893,lane_release,22800.0,1,268091_365d_strict_fia_orders,SDC-VD0518684A,0
M-1810,0,,item:001893,lane_release,20900.0,1,268091_365d_strict_fia_orders,SDC-VD1091642A,0
M-1810,0,,item:016332,lane_release,5500.0,5,268091_365d_strict_fia_orders,SDC-VD0514881A,0
SDC-1450,0,,item:773474,opening_production_order,3200000.0,1,268091_365d_strict_fia_orders,SDC-1450,0
M-1810,0,,item:268091,opening_production_order,1945715.0,20,268091_365d_strict_fia_orders,M-1810,0
SDC-1450,0,,item:693055,opening_production_order,600000.0,1,268091_365d_strict_fia_orders,SDC-1450,0
M-1430,0,,item:042342,opening_purchase_order,60000000.0,2,268091_365d_strict_fia_orders,SDC-VD0914690A,0
SDC-1450,0,,item:021081,opening_purchase_order,820000.0,9,268091_365d_strict_fia_orders,SDC-VD0960508A,0
M-1430,0,run_qty_not_multiple_of_standard_order:1,item:333362,opening_purchase_order,629000.0,6,268091_365d_strict_fia_orders,SDC-VD0525412A,0
M-1810,0,run_qty_not_multiple_of_standard_order:3,item:338928,opening_purchase_order,365033.0,3,268091_365d_strict_fia_orders,SDC-VD0901566A,0
SDC-1450,0,,item:021081,opening_purchase_order,300000.0,8,268091_365d_strict_fia_orders,SDC-VD0949099A,0
SDC-1450,0,,item:021081,opening_purchase_order,100000.0,3,268091_365d_strict_fia_orders,SDC-VD0972460A,0
SDC-1450,0,,item:021081,opening_purchase_order,100000.0,3,268091_365d_strict_fia_orders,SDC-VD0975221A,0
M-1430,0,,item:038005,opening_purchase_order,90000.0,9,268091_365d_strict_fia_orders,SDC-VD0520132A,0
M-1810,0,run_qty_not_multiple_of_standard_order:1,item:338929,opening_purchase_order,57600.0,1,268091_365d_strict_fia_orders,SDC-VD0914360C,0
M-1810,0,,item:002612,opening_purchase_order,45000.0,2,268091_365d_strict_fia_orders,SDC-VD0910216A,0
M-1810,0,,item:426331,opening_purchase_order,19200.0,1,268091_365d_strict_fia_orders,SDC-VD0989480A,0
M-1810,0,,item:001757,opening_purchase_order,8000.0,3,268091_365d_strict_fia_orders,SDC-VD0951020A,0
M-1430,1,run_opening_purchase_empty_edge:1; run_opening_purchase_supplier_lane_absent:1; run_opening_purchase_zero_reference_lead:1,item:001848,opening_purchase_order,7000.0,1,268091_365d_strict_fia_orders,SDC-VD0951020A,1
M-1430,0,run_opening_purchase_supplier_lane_absent:1; run_qty_not_multiple_of_standard_order:1,item:734545,opening_purchase_order,6400.0,1,268091_365d_strict_fia_orders,SDC-VD0525906A,1
