active_days,avg_capacity_utilization,avg_procurement_lead_days,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
365,0.22465,27.0,1048396.6868,explicit_capacity,2,"M-1430, M-1810",0,3540.0,3,364,0.777503,0.587149,4190.7828,1.0,0.652627,1,0,0,0.0,3,3199949.8267,fiabilite locale,0.603485,0.0,,0.0,SDC-1450,Supplier of Raw Materials - D1450,0.5,1.0,"007923, 693055, 773474",25434193.4724
315,0.00443,150.5,509.203,sourcing_share,2,"M-1430, M-1810",3,360.0,2,364,0.539715,0.208669,0.0,1.0,0.519235,2,0,0,0.0,2,3162857.2779,fiabilite locale,0.59649,0.0,,0.0,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,0.494204,1.0,"038005, 049371",34073.7373
365,0.965797,70.0,36934.1851,sourcing_share,1,M-1810,0,180.0,1,364,0.572881,1.0,0.0,1.0,0.498932,3,0,0,0.0,1,2614674.0105,fiabilite locale,0.493107,0.0,,0.0,SDC-VD0901566A,Supplier of Packaging - VD0901566A,0.408549,1.0,338928,3525157.5727
365,0.444007,42.0,131669.2866,sourcing_share,1,M-1810,0,180.0,1,364,0.572002,0.572687,76840.2279,1.0,0.471241,4,0,0,0.0,1,2227738.7078,fiabilite locale,0.420134,0.0,,0.0,SDC-VD0914360C,Supplier of Packaging - VD0914360C,0.34809,1.0,338929,3367532.6602
365,0.012983,28.0,1448.3622,sourcing_share,1,M-1810,0,180.0,1,364,0.485384,0.016745,845.2425,1.0,0.418728,5,0,0,0.0,1,2158425.075,fiabilite locale,0.407062,0.0,,0.0,SDC-VD0989480A,Supplier of Packaging - VD0989480A,0.337259,1.0,426331,37042.8593
365,0.000892,35.0,267.2887,sourcing_share,1,M-1810,0,180.0,1,364,0.45293,0.00115,155.9857,1.0,0.409391,6,0,0,0.0,1,2279492.8265,fiabilite locale,0.429894,0.0,,0.0,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,0.356176,1.0,099439,6836.0913
365,0.001058,70.0,209.7786,sourcing_share,1,M-1810,0,360.0,2,364,0.452914,0.002472,124.7885,0.713704,0.408544,7,1,0,0.0,1,2267579.4446,fiabilite locale,0.427647,0.0,,0.0,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,0.354315,0.7,"001757, 001848",6830.5274
360,0.372569,21.0,3782557.3475,sourcing_share,1,M-1430,0,180.0,1,364,0.630594,0.52,1919288.2283,1.0,0.405575,8,0,0,0.0,1,835523.3723,fiabilite locale,0.157573,0.0,,0.0,SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,0.130553,1.0,042342,82057699.0739
365,0.000575,49.0,81.8142,sourcing_share,1,M-1810,0,180.0,1,364,0.425528,0.000742,55.1015,1.0,0.381189,9,0,0,0.0,1,2092745.2469,fiabilite locale,0.394675,0.0,,0.0,SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,0.326997,1.0,016332,1640.6619
358,0.372569,35.0,64222.8993,sourcing_share,1,M-1430,0,180.0,1,364,0.55075,0.52,34294.2906,1.0,0.36442,10,0,0,0.0,1,874763.1227,fiabilite locale,0.164974,0.0,,0.0,SDC-VD0993480A,Supplier of Packaging - VD0993480A,0.136684,1.0,344135,1359877.0189
358,0.256141,60.0,64222.8993,sourcing_share,1,M-1430,0,180.0,1,364,0.55075,0.3575,34294.2906,1.0,0.363245,11,0,0,0.0,1,858050.2728,fiabilite locale,0.161822,0.0,,0.0,SDC-VD0525412A,Supplier of Packaging - VD0525412A,0.134072,1.0,333362,1359877.0189
357,0.10104,56.0,13615.2547,sourcing_share,1,M-1430,0,180.0,1,364,0.52041,0.141023,7270.3896,1.0,0.34601,12,0,0,0.0,1,850262.1737,fiabilite locale,0.160353,0.0,,0.0,SDC-VD0508918A,Supplier of Packaging - VD0508918A,0.132856,1.0,730384,288293.928
355,0.003813,21.0,501.4825,sourcing_share,1,M-1430,0,180.0,1,364,0.456373,0.005322,254.4547,1.0,0.313858,13,0,0,0.0,1,893899.472,fiabilite locale,0.168582,0.0,,0.0,SDC-VD1095770A,Supplier of Packaging - VD1095770A,0.139674,1.0,734545,10879.0162
355,0.003779,28.0,509.2876,sourcing_share,1,M-1430,0,180.0,1,364,0.456204,0.005275,271.9537,1.0,0.311548,14,0,0,0.0,1,862359.4122,fiabilite locale,0.162634,0.0,,0.0,SDC-VD0520115A,Supplier of Packaging - VD0520115A,0.134746,1.0,708073,10783.8248
365,0.000504,38.5,97.0288,sourcing_share,1,M-1810,0,360.0,2,364,0.436309,0.001298,0.0,0.678732,0.242088,15,1,0,0.0,1,30126.0422,capacite fournisseur locale,0.005681,0.0,,0.0,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,0.004707,0.709677,"001848, 029313",2876.7222
365,0.000126,120.0,120261.3745,sourcing_share,1,SDC-1450,0,180.0,1,364,0.41737,0.000176,118695.6085,0.7,0.23142,16,1,0,0.0,0,26546.6411,stock fournisseur local,0.005006,0.0,,0.0,SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,0.004148,0.7,021081,82244.7234
365,3.6e-05,120.0,123760.3927,sourcing_share,1,SDC-1450,0,180.0,1,364,0.393309,5e-05,123313.031,0.2,0.217596,17,1,0,0.0,0,18147.0933,capacite fournisseur locale,0.003423,0.0,,0.0,SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,0.002836,0.2,021081,23498.4924
365,0.00288,31.5,25.7876,sourcing_share,1,M-1810,0,360.0,2,364,0.386442,0.00822,0.0,0.500845,0.214986,18,2,0,0.0,0,34747.2952,capacite fournisseur locale,0.006553,0.0,,0.0,SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,0.005429,0.7,"001893, 002612",16434.3593
365,0.00095,56.0,696.7431,sourcing_share,1,M-1810,0,180.0,1,364,0.351839,0.004906,592.7455,0.104375,0.210067,19,1,0,0.0,0,235451.8908,lead time sortant local,0.044405,0.0,,0.0,SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,0.03679,0.1,001893,2711.3774
365,0.001889,38.5,196.1515,sourcing_share,1,M-1810,0,360.0,2,364,0.378341,0.009294,0.0,0.328482,0.209575,20,2,0,0.0,0,21154.9687,lead time sortant local,0.003989,0.0,,0.0,SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,0.003306,0.16875,"001893, 002612",10778.572
365,4.8e-05,35.0,171.8179,sourcing_share,1,M-1810,0,180.0,1,364,0.37793,6.2e-05,169.5918,1.0,0.207862,21,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,,0.0,SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,0.0,1.0,039668,136.7218
365,9e-06,120.0,124810.0982,sourcing_share,1,SDC-1450,0,180.0,1,364,0.366685,1.3e-05,124698.2578,0.05,0.203544,22,1,0,0.0,0,26546.6411,stock fournisseur local,0.005006,0.0,,0.0,SDC-VD0972460A,Supplier of Raw Materials - VD0972460A,0.004148,0.05,021081,5874.6231
365,9e-06,120.0,124810.0982,sourcing_share,1,SDC-1450,0,180.0,1,364,0.366685,1.3e-05,124698.2578,0.05,0.20315,23,1,0,0.0,0,20942.5213,fiabilite locale,0.003949,0.0,,0.0,SDC-VD0975221A,Supplier of Raw Materials - VD0975221A,0.003272,0.05,021081,5874.6231
365,0.000893,35.0,26.4236,sourcing_share,1,M-1810,0,180.0,1,364,0.350639,0.002749,0.0,0.3726,0.194683,24,1,0,0.0,0,26051.194,stock fournisseur local,0.004913,0.0,,0.0,SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,0.004071,0.2,002612,2547.125
365,0.00012,28.0,159.5446,sourcing_share,1,M-1810,0,180.0,1,364,0.312112,0.000155,153.9795,0.05,0.172843,25,1,0,0.0,0,16803.367,stock fournisseur local,0.003169,0.0,,0.0,SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,0.002626,0.05,002612,341.8046
365,6.7e-05,21.0,169.064,sourcing_share,1,M-1810,0,180.0,1,364,0.301019,8.7e-05,165.9918,0.7,0.166772,26,1,0,0.0,0,17222.7497,stock fournisseur local,0.003248,0.0,,0.0,SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,0.002691,0.7,055703,191.4106
365,2.9e-05,42.0,175.0907,sourcing_share,1,M-1810,0,180.0,1,364,0.284878,3.7e-05,173.7551,0.3,0.156683,27,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,,0.0,SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,0.0,0.3,055703,82.0331
