day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
0,M-1430,item:268967,2734.66159,2734.66159,2734.66159,5200.0,81413.513963,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
0,M-1810,item:268091,3505.571651,3505.571651,3505.571651,11900.0,73372.141747,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
0,SDC-1450,item:773474,28169.929596,28169.929596,28169.929596,2000000.0,346015467.273198,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
1,M-1430,item:268967,2597.218032,2597.218032,2597.218032,5200.0,81609.811232,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
1,M-1810,item:268091,1520.0,1520.0,1520.0,11900.0,79794.428349,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
1,SDC-1450,item:773474,28108.199137,28108.199137,28108.199137,2000000.0,355431052.393314,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
2,M-1430,item:268967,2569.729321,2569.729321,2569.729321,5200.0,79012.5932,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
2,M-1810,item:268091,818.88567,818.88567,818.88567,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
2,SDC-1450,item:773474,27489.294755,27489.294755,27489.294755,2000000.0,355402944.194177,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
3,M-1430,item:268967,2564.231579,2564.231579,2564.231579,5200.0,76996.835335,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
3,M-1810,item:268091,514.88567,514.88567,514.88567,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
3,SDC-1450,item:773474,26829.657314,26829.657314,26829.657314,2000000.0,355376032.855438,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
4,M-1430,item:268967,2563.13203,2563.13203,2563.13203,5200.0,74987.032465,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
4,M-1810,item:268091,351.108536,351.108536,351.108536,11900.0,82785.11433,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
4,SDC-1450,item:773474,26283.184918,26283.184918,26283.184918,2000000.0,355349203.198124,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
5,M-1430,item:268967,2562.91212,2562.91212,2562.91212,5200.0,72423.900435,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
5,M-1810,item:268091,248.131402,248.131402,248.131402,11900.0,82948.891464,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
5,SDC-1450,item:773474,25866.516845,25866.516845,25866.516845,2000000.0,355322920.013206,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
6,M-1430,item:268967,2562.868138,2562.868138,2562.868138,5200.0,78635.049347,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
6,M-1810,item:268091,177.909695,177.909695,177.909695,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
6,SDC-1450,item:773474,25558.718618,25558.718618,25558.718618,2000000.0,355314710.059719,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
7,M-1430,item:268967,5517.945056,5517.945056,5200.0,5200.0,82128.061097,capacity,,317.945056,317.945056,none,0.0,0.0,0.0,0.0,0.0,0.0
7,M-1810,item:268091,2850.763046,2850.763046,2850.763046,11900.0,83122.090305,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
7,SDC-1450,item:773474,25334.169078,25334.169078,25334.169078,2000000.0,355323357.861446,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
8,M-1430,item:268967,6108.96044,6108.96044,5200.0,5200.0,76928.061097,capacity,,908.96044,908.96044,none,0.0,0.0,0.0,0.0,0.0,0.0
8,M-1810,item:268091,4652.324038,4652.324038,4652.324038,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
8,SDC-1450,item:773474,30263.332075,30263.332075,30263.332075,2000000.0,355298529.507797,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
9,M-1430,item:268967,6227.163517,6227.163517,5200.0,5200.0,75149.940472,capacity,,1027.163517,1027.163517,none,0.0,0.0,0.0,0.0,0.0,0.0
9,M-1810,item:268091,5012.636236,5012.636236,5012.636236,11900.0,78647.675962,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
9,SDC-1450,item:773474,35237.404979,35237.404979,35237.404979,2000000.0,369268266.175722,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
10,M-1430,item:268967,6250.804132,6250.804132,5200.0,5200.0,75111.390083,capacity,,1050.804132,1050.804132,none,0.0,0.0,0.0,0.0,0.0,0.0
10,M-1810,item:268091,5084.698676,5084.698676,5084.698676,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
10,SDC-1450,item:773474,39225.645284,39225.645284,39225.645284,2000000.0,369238790.988153,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
11,M-1430,item:268967,6255.532255,6255.532255,5200.0,5200.0,72481.119404,capacity,,1055.532255,1055.532255,none,0.0,0.0,0.0,0.0,0.0,0.0
11,M-1810,item:268091,5099.111164,5099.111164,5099.111164,11900.0,78215.301324,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
11,SDC-1450,item:773474,42219.071008,42219.071008,42219.071008,2000000.0,369202057.226848,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
12,M-1430,item:268967,6256.47788,6256.47788,5200.0,5200.0,69844.031525,capacity,,1056.47788,1056.47788,none,0.0,0.0,0.0,0.0,0.0,0.0
