day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
17,116.339418,34772.850282,2348.27981,1223.27981,7.321609,464.97532,4.770238,1191.332323,5.943,2.956674,18.54818,2.86125,1.00338,0.09681,0.057225,9.8161,0.144738,2.912,3009.482759,1734.482759,12.75431,1221.85,983393.261475
18,115.901939,34291.140282,2323.27981,1198.27981,7.281959,459.67532,4.570238,949.964373,5.943,2.956674,18.726563,2.86125,1.00338,0.09681,0.057225,9.8161,0.144738,2.912,3009.482759,1759.482759,12.75431,1221.85,983392.859175
19,115.46446,34291.140282,2298.27981,1173.27981,7.083709,454.37532,4.770238,753.596422,5.943,2.98484,18.726563,2.86125,1.00338,0.09681,0.057225,9.8161,0.146614,2.912,3009.482759,1779.482759,12.75431,1221.85,983392.456875
20,115.060001,32896.455646,2275.16681,1150.16681,6.900423,449.475364,4.585334,530.446926,5.943,2.98484,18.726563,2.86125,1.00338,0.09681,0.05824,9.8161,0.146614,2.912,3009.482759,1779.482759,13.02931,1221.85,983392.054575
21,114.699123,31652.046718,2254.54421,1129.54421,6.736886,445.103373,4.420354,331.341539,5.943,2.98484,18.726563,2.903114,1.00338,0.09681,0.05824,9.8161,0.146614,2.912,3009.482759,1802.482759,13.02931,1221.85,983391.652275
22,114.294463,33273.766933,2231.41969,1106.41969,6.950008,440.200974,4.235358,153.08082,5.943,3.04574,18.726563,2.903114,1.00338,0.09681,0.05824,9.8161,0.148644,2.912,3009.482759,1802.482759,13.28368,1221.85,983391.249975
23,113.856983,31765.216933,2206.41969,1081.41969,6.915295,434.900974,4.400338,1.69847,5.943,3.04574,18.726563,2.903114,1.00338,0.09681,0.059255,9.8161,0.148644,2.9526,3009.482759,1802.482759,13.28368,1221.85,983390.847675
24,113.772342,32981.901437,2201.582835,1101.582835,6.876939,433.875561,4.361643,0.0,5.943,3.04574,18.726563,2.903114,1.00338,0.09681,0.059255,9.8161,0.148644,2.9526,3009.482759,1802.482759,13.28368,1221.85,983390.445375
25,113.772342,35989.531805,2201.582835,1101.582835,6.876939,433.875561,4.361643,0.0,5.943,3.04574,18.726563,2.914598,1.00338,0.09681,0.059255,9.8161,0.148644,2.9526,3009.482759,1802.482759,13.28368,1221.85,983390.043075
26,113.527785,35146.231774,2187.607494,1117.467564,6.766115,436.212789,4.249841,0.0,5.9836,3.04574,18.726563,2.965348,1.014641,0.09681,0.059255,9.8161,0.152349,2.9526,3009.482759,1827.482759,13.28368,1221.85,983389.640775
27,113.36466,34583.731658,2178.285627,1108.145697,6.692192,434.236553,4.335266,0.0,5.9836,3.04574,18.919413,3.016098,1.014641,0.097744,0.059255,9.8161,0.152349,2.9526,3009.482759,1827.482759,13.28368,1221.85,983389.238475
28,113.36466,37600.831658,2178.285627,1108.145697,6.890442,434.236553,4.335266,0.0,5.9836,3.04574,18.919413,3.016098,1.014641,0.097744,0.059255,9.8161,0.152349,2.9526,3029.482759,1827.482759,13.53668,1221.85,983388.836175
29,113.283098,37546.617275,2173.624693,1103.484764,6.853481,433.248435,4.297978,0.0,5.9836,3.04574,19.112263,3.016098,1.014641,0.097744,0.059255,9.8161,0.152349,2.999519,3029.482759,1827.482759,13.598909,1221.85,983388.433875
