policy_label,method,total_kgCO2e
Baseline degradee,Classical LCA,121598.34642347808
Baseline degradee,Time-Dependent DLCA,121143.81964969615
Baseline degradee,State-Dependent Dynamic LCA,136229.55501629115
Baseline + materiaux biosources,Classical LCA,101938.95131681589
Baseline + materiaux biosources,Time-Dependent DLCA,101404.12539959699
Baseline + materiaux biosources,State-Dependent Dynamic LCA,106169.67585778257
