month_index,year,month,temp_c,humidity_pct,precip_mm,wind_ms,heat_index_c,heatwave,drought,storm_stress,climate_event,operational_feedback_event,backlog_end,capacity_utilization,grid_share,scarcity,outbound_mode,regime_environnemental,evt_canicule,evt_secheresse,evt_tempete_inondation,evt_maintenance_corrective,evt_congestion_logistique,evt_overtime_energetique,evt_capacite_appoint,evt_recalage_qualite,evt_stress_biomasse_locale,evt_stress_hydrique_matiere_locale
1,2026,1,1.0,77.0,94.65247584249853,5.152627944162883,1.0,0.0,0.0,0.0,aucun,aucun,0.0,0.48644696531338166,0.8996540615608319,0.1,truck,nominal,0,0,0,0,0,0,0,0,0,0
2,2026,2,2.7500379516391167,75.66025403784438,99.84661307031165,4.75,2.7500379516391167,0.0,0.0,0.0,aucun,aucun,0.0,0.5074659383237455,0.9607450119519856,0.10117154811715481,truck,nominal,0,0,0,0,0,0,0,0,0,0
3,2026,3,7.51673640167364,72.0,97.57927281399283,4.2,7.51673640167364,0.0,0.0,0.0,aucun,aucun,0.0,0.5236472291885897,0.9568192371755215,0.10234309623430964,truck,nominal,0,0,0,0,0,0,0,0,0,0
4,2026,4,14.02510460251046,67.0,88.45798706418924,3.6500000000000004,14.02510460251046,0.0,0.0,0.0,aucun,aucun,0.0,0.5299921909093618,0.9442193472725999,0.10351464435146444,truck,nominal,0,0,0,0,0,0,0,0,0,0
5,2026,5,20.53347280334728,62.0,74.9267969714943,3.2473720558371175,20.53347280334728,0.0,0.0,0.0,aucun,aucun,0.0,0.524809907060215,0.9308155493431952,0.10468619246861925,truck,nominal,0,0,0,0,0,0,0,0,0,0
6,2026,6,25.300171253381805,58.33974596215561,60.61137399387759,3.1,26.367350930354252,0.0,0.0,0.0,aucun,aucun,0.0,0.510785803918483,0.9218136880543524,0.10585774058577406,truck,nominal,0,0,0,0,0,0,0,0,0,0
7,2026,7,27.05020920502092,57.0,49.347524157501475,3.2473720558371175,28.01020920502092,0.0,0.0,0.0,aucun,aucun,0.0,0.4906671265230275,0.917029634049636,0.10702928870292888,truck,nominal,0,0,0,0,0,0,0,0,0,0
8,2026,8,25.316907655055445,58.33974596215561,44.15338692968835,3.6499999999999995,26.384087332027892,0.0,0.0,0.0,aucun,aucun,0.0,0.46900110608268525,0.9153535769808376,0.10820083682008369,truck,nominal,0,0,0,0,0,0,0,0,0,0
9,2026,9,20.566945606694564,61.99999999999999,46.42072718600717,4.2,20.566945606694564,0.0,0.0,0.0,aucun,aucun,0.0,0.4527415526002147,0.9205542160509278,0.1093723849372385,truck,nominal,0,0,0,0,0,0,0,0,0,0
10,2026,10,14.075313807531382,67.0,55.542012935810746,4.75,14.075313807531382,0.0,0.0,0.0,aucun,aucun,0.0,0.4475929500438923,0.9347610624211223,0.1105439330543933,truck,nominal,0,0,0,0,0,0,0,0,0,0
