policy_label,material_main,material_biosourced,material_backup,inbound_main,inbound_biosourced,inbound_backup,production_energy,outbound_transport,storage,scrap,total
Baseline degradee,70020.51478649901,0.0,32823.63618218257,2994.8886686767673,0.0,4899.288366536736,14360.786770127728,10191.157350076366,789.453782533526,5638.533656024425,141718.25956265713
Baseline + materiaux biosources,30072.325643979322,43626.11327252459,5212.489680231457,1286.6242509766637,811.7947490092307,815.6729631291512,14167.861683244633,8265.05080813116,1346.3300116299472,3699.968822867442,109304.2318857236
