policy_label,material,inbound_transport,energy,storage,outbound_transport,backlog_penalty,adaptation_capex,total
Baseline degradee,311037.66635366715,16882.81932460844,5378.361230732966,5770.637501542051,33367.939462762755,9546.2778843239,14255.999999999996,396239.70175763726
Baseline + materiaux biosources,316755.12465438654,8986.491806202888,5506.058698515795,7747.828438464265,33367.939462762755,9546.2778843239,14255.999999999996,396165.7209446562
