day,supplier_id,dst_node_id,item_id,edge_id,event_ids,stock_multiplier,capacity_multiplier,lead_time_multiplier,lead_time_extra_days,quality_delay_days,reliability_multiplier,quality_yield_multiplier,availability_multiplier,purchase_cost_multiplier,transport_cost_multiplier,external_capacity_multiplier,external_availability_multiplier,external_lead_time_multiplier,external_lead_time_extra_days,external_quality_yield_multiplier,external_cost_multiplier,stock_writeoff_fraction
0,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
3,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
4,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
5,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
7,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
8,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
9,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
10,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
11,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
12,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
13,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
14,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
15,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
16,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
17,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
18,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
19,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
20,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
21,SDC-VD1096202A,M-1810,item:039668,edge:SDC-VD1096202A_TO_M-1810_039668,campaign_stock_SDC-VD1096202A,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
