month_index,classical_weekly_total,td_total,sdd_total,classical_cumulative,td_cumulative,sdd_cumulative
1,429.7399278706804,440.2175708657408,440.2175708657408,429.7399278706804,440.2175708657408,440.2175708657408
2,447.06550262461064,461.4275870230429,461.4392265030691,876.805430495291,901.6451578887837,901.65679736881
3,457.59999460215397,471.31276152283505,471.33658502413294,1334.405425097445,1372.9579194116188,1372.993382392943
4,458.86997943455685,471.08854553553465,471.12427848276286,1793.2754045320019,1844.0464649471535,1844.117660875706
5,454.8494374636378,467.3581129595202,467.4052179720531,2248.1248419956396,2311.4045779066737,2311.522878847759
6,444.93402131396954,458.33693610422534,567.1162201075771,2693.058863309609,2769.741514010899,2878.639098955336
7,428.23167577522185,442.2213390281063,444.3018084561654,3121.290539084831,3211.9628530390055,3322.9409074115015
8,408.76656396714367,422.83086843210214,424.26715024237717,3530.0571030519745,3634.793721471108,3747.2080576538788
9,392.9956375521198,407.44460842120225,407.5258125962177,3923.052740604094,4042.23832989231,4154.7338702500965
10,388.67843515109195,404.6122647288148,404.7027552599259,4311.731175755186,4446.850594621124,4559.436625510022
11,398.2871028566077,417.15715095670424,417.26055030598764,4710.018278611794,4864.007745577828,4976.69717581601
12,415.85245101985197,437.6750682499243,437.79404397855495,5125.870729631646,5301.682813827752,5414.491219794565
13,436.1082700641292,459.7936551100968,559.4210363736167,5561.978999695775,5761.476468937849,5973.912256168182
14,454.2331096850339,478.6193374217613,478.7730133393882,6016.212109380809,6240.09580635961,6452.6852695075695
15,445.22485250887286,468.5318548217081,468.6931990944449,6461.436961889682,6708.627661181318,6921.378468602014
16,467.19079782078296,489.94461550530264,490.12589691258734,6928.6277597104645,7198.572276686621,7411.504365514602
17,462.9179784030306,485.7650971191138,595.4300252198685,7391.545738113495,7684.337373805735,8006.93439073447
18,453.00806592620785,476.7241281844338,478.4302087990063,7844.553804039702,8161.061501990169,8485.364599533477
19,435.88571275765895,459.9542087053079,462.2030307314347,8280.439516797362,8621.015710695478,8947.567630264912
20,416.78865242460427,441.29310230807187,442.8828216475523,8697.228169221966,9062.30881300355,9390.450451912464
21,401.0233999587441,426.03356375583445,426.2401603760593,9098.25156918071,9488.342376759385,9816.690612288523
22,396.70527879743315,423.19359182604944,423.4084959217225,9494.956847978143,9911.535968585435,10240.099108210245
23,406.29064964743276,435.6559946376484,435.8873965738706,9901.247497625576,10347.191963223084,10675.986504784116
24,423.84382278528756,456.06071492713113,456.31355375633007,10325.091320410864,10803.252678150215,11132.300058540446
25,444.0941238378964,478.0829044029738,577.1061388705149,10769.18544424876,11281.335582553189,11709.40619741096
26,462.22692412035605,496.84373085376143,497.14360610837014,11231.412368369116,11778.17931340695,12206.54980351933
27,449.55356561074916,483.0858310401441,483.38732435426465,11680.965933979865,12261.265144447094,12689.937127873594
28,475.228162386046,508.1783391322197,508.509295056758,12156.19409636591,12769.443483579314,13198.446422930352
29,470.9552028398635,504.03232677154506,612.9064722807897,12627.149299205774,13273.47581035086,13811.352895211141
30,461.03976368005056,494.95613850172515,496.8302107402984,13088.189062885824,13768.431948852585,14308.183105951439
31,443.9061439157584,478.22987620840496,480.65108079926324,13532.095206801581,14246.66182506099,14788.834186750702
32,424.80501011898446,459.66598766187366,461.4131325380364,13956.900216920565,14706.327812722864,15250.24731928874
33,409.0422784478745,444.52820297480207,444.8644415109958,14365.94249536844,15150.856015697665,15695.111760799735
34,404.7231317888676,441.68057102074675,442.02412982677487,14770.665627157307,15592.536586718412,16137.13589062651
35,414.28079804307765,454.0563551374377,454.4199824866816,15184.946425200384,16046.59294185585,16591.555873113193
36,431.8185504263332,474.3441854429809,474.7350765154687,15616.764975626716,16520.937127298832,17066.290949628663
37,452.0621006717431,496.26834174415444,594.7169704367369,16068.82707629846,17017.205469042987,17661.0079200654
38,470.20394174627813,514.9648619280574,515.4150432641678,16539.031018044738,17532.170330971043,18176.42296332957
39,453.6554768289535,497.3515978764812,497.7946854781742,16992.68649487369,18029.521928847524,18674.217648807742
40,483.25589772983415,526.3146360706062,526.7993306091616,17475.942392603527,18555.83656491813,19201.016979416905
41,478.9827075448927,522.202096285907,630.3206185265052,17954.92510014842,19078.038661204035,19831.33759794341
42,469.05873620015313,513.0860231846789,515.1319338228757,18423.983836348572,19591.124684388713,20346.469531766284
43,457.1401090239858,514.9687692075868,529.4448718789743,18881.123945372558,20106.0934535963,20875.91440364526
44,461.9615634406881,520.7720040341726,538.6823357150914,19343.085508813245,20626.865457630473,21414.59673936035
45,441.55831623805545,487.67100231224487,491.6417098775367,19784.643825051302,21114.536459942716,21906.238449237888
46,412.99478443593114,460.5265428757119,461.0029574286353,20197.638609487232,21575.063002818428,22367.241406666522
47,422.6949942369714,473.04683661358797,575.4156273791243,20620.333603724204,22048.109839432014,22942.657034045646
48,439.8602833809798,492.65304797276326,493.1861224893708,21060.193887105183,22540.762887404777,23435.843156535015
49,459.59205564951685,513.7179373888092,514.2880771172963,21519.7859427547,23054.480824793587,23950.13123365231
50,478.27056677207634,533.1442027177148,548.0273766900282,21998.056509526778,23587.6250275113,24498.15861034234
51,489.63192932827207,543.9322442138933,636.0649775810261,22487.68843885505,24131.557271725196,25134.223587923367
52,491.3251511384008,544.438536581691,545.0809732796222,22979.01358999345,24675.99580830689,25679.30456120299
53,486.7786406213569,539.8961865264495,540.5443316947212,23465.792230614807,25215.89199483334,26219.84889289771
54,477.1117211694025,531.1852805813257,533.406824081456,23942.90395178421,25747.077275414664,26753.255716979165
55,460.39753995173993,515.2220703925808,617.4862206111214,24403.30149173595,26262.299345807245,27370.741937590286
56,441.26867187625163,496.8406198229154,498.9144893260921,24844.570163612203,26759.139965630162,27869.65642691638
57,425.15136276152447,481.3997739333674,482.0078090905805,25269.721526373727,27240.53973956353,28351.66423600696
58,413.9473614321816,490.9480758831205,491.5874747117861,25683.66888780591,27731.48781544665,28843.251710718745
59,531.6179568310639,624.3265883747571,683.6331472565092,26215.286844636976,28355.814403821405,29526.884857975256
60,631.2237171533839,700.2487533333908,820.5323137427109,26846.51056179036,29056.063157154796,30347.417171717967
61,469.0507427682828,533.9405168601612,635.6559538442519,27315.561304558643,29590.00367401496,30983.07312556222
62,478.496924661345,543.4337277115093,665.1943115136402,27794.058229219987,30133.437401726467,31648.26743707586
63,498.19748975566137,562.722516608249,588.7786337017927,28292.255718975648,30696.159918334717,32237.046070777655
64,499.76730210335614,563.0816394235076,642.4066079654715,28792.023021079003,31259.241557758225,32879.452678743124
65,490.6742352067757,579.7328656184706,585.4166345886356,29282.697256285777,31838.974423376694,33464.86931333176
66,517.43786323948,608.776711667151,619.7382332032507,29800.135119525257,32447.751135043844,34084.60754653501
67,503.79631986308243,595.4803738896326,716.4188222976433,30303.93143938834,33043.23150893347,34801.02636883265
68,488.4525988075856,554.785968915103,620.0248301131422,30792.384038195923,33598.017477848574,35421.051198945795
69,434.38188304246245,501.6097079145513,555.1791456526685,31226.765921238384,34099.62718576313,35976.230344598465
70,429.80191918618243,498.31579844853775,612.0741129912641,31656.567840424566,34597.942984211666,36588.30445758973
71,439.50421209794445,510.64209902197103,617.3380464396548,32096.07205252251,35108.58508323364,37205.64250402938
72,456.40499663572245,529.672652802363,530.5022603774552,32552.477049158235,35638.257736036,37736.14476440684
73,477.1892725632668,552.093936889225,559.8465514867429,33029.6663217215,36190.35167292523,38295.99131589358
74,495.27974041918907,570.4878658004386,664.2118634916728,33524.94606214069,36760.83953872567,38960.20317938525
75,506.4924501489861,580.993641658953,581.9506431513735,34031.43851228968,37341.83318038462,39542.153822536624
76,487.56340894170387,560.730338184354,561.6583916169906,34519.001921231385,37902.563518568975,40103.812214153615
77,498.81331472491763,599.237603661937,605.1716340573388,35017.8152359563,38501.801122230914,40708.983848210955
78,526.588025059388,629.3561014568954,742.8975496171631,35544.403261015694,39131.15722368781,41451.88139782812
79,511.9709818764108,633.3872725710277,755.3103377172955,36056.3742428921,39764.54449625884,42207.19173554541
80,506.4967198017327,603.4827337815026,711.1689615661842,36562.870962693836,40368.02723004034,42918.360697111595
81,471.16490784171333,548.4796612849225,665.9575911382226,37034.03587053555,40916.50689132526,43584.318288249815
82,437.90154839785265,516.5623121917554,630.4364195707318,37471.9374189334,41433.069203517014,44214.754707820546
83,447.60719506165657,528.8413850563481,638.0839549811152,37919.54461399505,41961.91058857336,44852.83866280166
84,464.53195738746825,547.8346893017031,548.8184974008814,38384.07657138252,42509.74527787506,45401.65716020254
85,485.3415678940354,570.1789293807999,580.5112104620883,38869.41813927655,43079.92420725586,45982.16837066463
