month_index,year,month,climate_event,operational_feedback_event,backlog_end,capacity_utilization,grid_share,scarcity,outbound_mode,regime_environnemental,evt_canicule,evt_secheresse,evt_tempete_inondation,evt_maintenance_corrective,evt_congestion_logistique,evt_overtime_energetique,evt_capacite_appoint,evt_recalage_qualite,evt_stress_biomasse_locale,evt_stress_hydrique_matiere_locale
1,2026,1,aucun,aucun,0.0,0.4933546844652573,0.904582967585217,0.1,truck,nominal,0,0,0,0,0,0,0,0,0,0
2,2026,2,aucun,aucun,0.0,0.5143924995157804,0.9623610542416225,0.10117154811715481,truck,nominal,0,0,0,0,0,0,0,0,0,0
3,2026,3,aucun,aucun,0.0,0.5277580812956645,0.9576354451680902,0.10234309623430964,truck,nominal,0,0,0,0,0,0,0,0,0,0
4,2026,4,aucun,aucun,0.0,0.4739671368489144,0.9375776875129059,0.10351464435146444,truck,nominal,0,0,0,0,0,0,0,0,0,0
5,2026,5,aucun,aucun,0.0,0.5248732446419571,0.9309595444757296,0.10468619246861925,truck,nominal,0,0,0,0,0,0,0,0,0,0
6,2026,6,aucun,aucun,0.0,0.5117682229195888,0.9238981595250673,0.10585774058577406,truck,nominal,0,0,0,0,0,0,0,0,0,0
7,2026,7,aucun,aucun,0.0,0.49171223281942544,0.9192795836019358,0.10702928870292888,truck,nominal,0,0,0,0,0,0,0,0,0,0
8,2026,8,aucun,aucun,0.0,0.47000653158706374,0.9175123444024927,0.10820083682008369,truck,nominal,0,0,0,0,0,0,0,0,0,0
9,2026,9,aucun,aucun,0.0,0.45286806227740195,0.9206331204940271,0.1093723849372385,truck,nominal,0,0,0,0,0,0,0,0,0,0
10,2026,10,aucun,aucun,0.0,0.4477352269636859,0.9344445217084217,0.1105439330543933,truck,nominal,0,0,0,0,0,0,0,0,0,0
11,2026,11,aucun,aucun,0.0,0.45817478388067584,0.95117934588407,0.11171548117154813,truck,nominal,0,0,0,0,0,0,0,0,0,0
12,2026,12,aucun,aucun,0.0,0.4774742312705495,0.963590869510974,0.11288702928870294,truck,nominal,0,0,0,0,0,0,0,0,0,0
13,2027,1,aucun,aucun,0.0,0.44642618385881155,0.9651244302445978,0.11405857740585774,truck,nominal,0,0,0,0,0,0,0,0,0,0
14,2027,2,aucun,aucun,0.0,0.5215737616633069,0.9668191244596693,0.11523012552301257,truck,nominal,0,0,0,0,0,0,0,0,0,0
15,2027,3,aucun,aucun,0.0,0.5348847233935169,0.9582385436722015,0.11640167364016737,truck,nominal,0,0,0,0,0,0,0,0,0,0
16,2027,4,aucun,aucun,0.0,0.5371551078650412,0.9454824518657358,0.11757322175732218,truck,nominal,0,0,0,0,0,0,0,0,0,0
17,2027,5,aucun,aucun,0.0,0.5320065204507958,0.9323070666344017,0.11874476987447699,truck,nominal,0,0,0,0,0,0,0,0,0,0
18,2027,6,aucun,aucun,0.0,0.5189503858716266,0.9252691458040745,0.11991631799163181,truck,nominal,0,0,0,0,0,0,0,0,0,0
19,2027,7,aucun,aucun,0.0,0.49897040428827316,0.9201993927030937,0.12108786610878662,truck,nominal,0,0,0,0,0,0,0,0,0,0
20,2027,8,aucun,aucun,0.0,0.47734710442233746,0.9186530366835086,0.12225941422594143,truck,nominal,0,0,0,0,0,0,0,0,0,0
21,2027,9,aucun,aucun,0.0,0.46027315307869515,0.9219612871025046,0.12343096234309624,truck,nominal,0,0,0,0,0,0,0,0,0,0
22,2027,10,aucun,aucun,0.0,0.4551579408189889,0.9359284350541045,0.12460251046025106,truck,nominal,0,0,0,0,0,0,0,0,0,0
23,2027,11,aucun,aucun,0.0,0.4655543565817784,0.952209378517936,0.12577405857740587,truck,nominal,0,0,0,0,0,0,0,0,0,0
24,2027,12,aucun,aucun,0.0,0.48477613690273624,0.9643046769480894,0.12694560669456068,truck,nominal,0,0,0,0,0,0,0,0,0,0
25,2028,1,aucun,aucun,0.0,0.44764621368266605,0.9653664104372881,0.12811715481171548,truck,nominal,0,0,0,0,0,0,0,0,0,0
26,2028,2,aucun,aucun,0.0,0.5286990457298569,0.9674208431176369,0.1292887029288703,truck,nominal,0,0,0,0,0,0,0,0,0,0
27,2028,3,aucun,aucun,0.0,0.5419558312118808,0.9590147856073442,0.1304602510460251,truck,nominal,0,0,0,0,0,0,0,0,0,0
28,2028,4,aucun,aucun,0.0,0.5442150774298964,0.9465523365241604,0.13163179916317994,truck,nominal,0,0,0,0,0,0,0,0,0,0
29,2028,5,aucun,aucun,0.0,0.5390842463596917,0.9336374768247084,0.13280334728033474,truck,nominal,0,0,0,0,0,0,0,0,0,0
30,2028,6,aucun,aucun,0.0,0.5260766363606914,0.926694932096598,0.13397489539748955,truck,nominal,0,0,0,0,0,0,0,0,0,0
31,2028,7,aucun,aucun,0.0,0.5061720898973742,0.9217455279162482,0.13514644351464436,truck,nominal,0,0,0,0,0,0,0,0,0,0
32,2028,8,aucun,aucun,0.0,0.4846305686373684,0.9203065743817698,0.13631799163179917,truck,nominal,0,0,0,0,0,0,0,0,0,0
33,2028,9,aucun,aucun,0.0,0.467620651988112,0.9236667002560922,0.13748953974895398,truck,nominal,0,0,0,0,0,0,0,0,0,0
34,2028,10,aucun,aucun,0.0,0.4625229444233111,0.9373397156070908,0.1386610878661088,truck,nominal,0,0,0,0,0,0,0,0,0,0
35,2028,11,aucun,aucun,0.0,0.47287657302713487,0.9531808876403455,0.13983263598326362,truck,nominal,0,0,0,0,0,0,0,0,0,0
36,2028,12,aucun,aucun,0.0,0.4920213083041118,0.9649762745577072,0.14100418410041843,truck,nominal,0,0,0,0,0,0,0,0,0,0
37,2029,1,aucun,aucun,0.0,0.4486434086153688,0.9655673734444172,0.14217573221757324,truck,nominal,0,0,0,0,0,0,0,0,0,0
38,2029,2,aucun,aucun,0.0,0.5357690036996933,0.9679884474010123,0.14334728033472804,truck,nominal,0,0,0,0,0,0,0,0,0,0
39,2029,3,aucun,aucun,0.0,0.5489720513568066,0.9597502657220316,0.14451882845188285,truck,nominal,0,0,0,0,0,0,0,0,0,0
40,2029,4,aucun,aucun,0.0,0.5512202634976255,0.9475705952563189,0.14569037656903766,truck,nominal,0,0,0,0,0,0,0,0,0,0
41,2029,5,aucun,aucun,0.0,0.5461070687384629,0.9349029565950174,0.14686192468619247,truck,nominal,0,0,0,0,0,0,0,0,0,0
42,2029,6,aucun,aucun,0.0,0.5331476247651137,0.9280471068322232,0.14803347280334728,truck,nominal,0,0,0,0,0,0,0,0,0,0
43,2029,7,canicule,site en surchauffe,1.1757085188284542,0.6493935943652607,0.9415497196687466,0.14920502092050208,truck,tendu,1,0,0,0,0,0,0,0,0,0
44,2029,8,canicule,site en surchauffe + capacite d'appoint,1.1981676421960756,0.7483482651334131,0.9441329519246167,0.15037656903765692,truck,tendu,1,0,0,0,0,0,1,0,0,0
45,2029,9,aucun,capacite d'appoint,0.0,0.5735162546077734,0.9294514116241579,0.15154811715481173,truck,nominal,0,0,0,0,0,0,1,0,0,0
46,2029,10,aucun,aucun,0.0,0.4698309082005079,0.9386630738414478,0.15271966527196654,truck,nominal,0,0,0,0,0,0,0,0,0,0
47,2029,11,aucun,aucun,0.0,0.48014209931326696,0.9541339434989003,0.15389121338912135,truck,nominal,0,0,0,0,0,0,0,0,0,0
48,2029,12,aucun,aucun,0.0,0.49289333035938016,0.9652205476380263,0.15506276150627618,truck,nominal,0,0,0,0,0,0,0,0,0,0
49,2030,1,aucun,aucun,0.0,0.45566495799277024,0.9662455298758846,0.156234309623431,truck,nominal,0,0,0,0,0,0,0,0,0,0
50,2030,2,aucun,aucun,0.0,0.5427842774712381,0.9685631877541541,0.1574058577405858,truck,nominal,0,0,0,0,0,0,0,0,0,0
51,2030,3,aucun,aucun,0.0,0.5559340204349237,0.9604864356350982,0.1585774058577406,truck,nominal,0,0,0,0,0,0,0,0,0,0
52,2030,4,aucun,aucun,0.0,0.5581713012619394,0.9485692833366776,0.1597489539748954,truck,nominal,0,0,0,0,0,0,0,0,0,0
53,2030,5,aucun,aucun,0.0,0.5530756239675968,0.9361500191501884,0.16092050209205022,truck,nominal,0,0,0,0,0,0,0,0,0,0
54,2030,6,aucun,aucun,0.0,0.5401639914151782,0.9293911533759527,0.16209205020920503,truck,nominal,0,0,0,0,0,0,0,0,0,0
55,2030,7,aucun,aucun,0.0,0.5204086207353719,0.9246702489418624,0.16326359832635984,truck,nominal,0,0,0,0,0,0,0,0,0,0
56,2030,8,aucun,aucun,0.0,0.49902881640941243,0.9234259219577429,0.16443514644351465,truck,nominal,0,0,0,0,0,0,0,0,0,0
