month_index,surimpact_matiere,surimpact_inbound,surimpact_transport_aval,surimpact_rebut,surimpact_total,surimpact_cumule
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,64.70728695535144,32.94189154090617,0.0,1.0136640682249047,98.6628425644825,98.6628425644825
7,0.0,0.0,0.0,1.3380107273270778,1.3380107273270778,100.00085329180958
8,0.0,0.0,0.0,0.7582481222215104,0.7582481222215104,100.7591014140311
9,0.0,0.0,0.0,0.0,0.0,100.7591014140311
10,0.0,0.0,0.0,0.0,0.0,100.7591014140311
11,0.0,0.0,0.0,0.0,0.0,100.7591014140311
12,0.0,0.0,0.0,0.0,0.0,100.7591014140311
13,0.0,0.0,0.0,0.0,0.0,100.7591014140311
14,9.070475812929658,4.617696777491476,0.0,0.0,13.688172590421134,114.44727400445223
15,56.09110721088251,28.555472761903822,0.0,0.0,84.64657997278633,199.09385397723855
16,0.0,0.0,0.0,0.0,0.0,199.09385397723855
17,0.0,0.0,0.0,0.0,0.0,199.09385397723855
18,0.0,0.0,0.0,0.8678385825030038,0.8678385825030038,199.96169255974155
19,0.0,0.0,0.0,1.3922300819766078,1.3922300819766078,201.35392264171816
20,0.0,0.0,0.0,0.8028615070384759,0.8028615070384759,202.15678414875663
21,0.0,0.0,0.0,0.0,0.0,202.15678414875663
22,0.0,0.0,0.0,0.0,0.0,202.15678414875663
23,0.0,0.0,0.0,0.0,0.0,202.15678414875663
24,0.0,0.0,0.0,0.0,0.0,202.15678414875663
25,0.0,0.0,0.0,0.0,0.0,202.15678414875663
26,9.12480975937575,4.645357695682188,0.0,0.0,13.770167455057939,215.92695160381456
27,55.56518605446752,28.28773108227436,0.0,0.0,83.85291713674188,299.7798687405564
28,0.0,0.0,0.0,0.0,0.0,299.7798687405564
29,0.0,0.0,0.0,0.0,0.0,299.7798687405564
30,0.0,0.0,0.0,0.9159364783325517,0.9159364783325517,300.69580521888895
31,0.0,0.0,0.0,1.4473802664419801,1.4473802664419801,302.14318548533095
32,0.0,0.0,0.0,0.8484348337355312,0.8484348337355312,302.9916203190665
33,0.0,0.0,0.0,0.0,0.0,302.9916203190665
34,0.0,0.0,0.0,0.0,0.0,302.9916203190665
35,0.0,0.0,0.0,0.0,0.0,302.9916203190665
36,0.0,0.0,0.0,0.0,0.0,302.9916203190665
37,0.0,0.0,0.0,0.0,0.0,302.9916203190665
38,9.18650016834647,4.676763722067289,0.0,0.0,13.863263890413759,316.85488420948025
39,55.04956160353561,28.025231361799953,0.0,0.0,83.07479296533556,399.9296771748158
