day,node_id,item_id,shipped_to_node_qty,uom
0,M-1430,item:038005,62.253319,KG
0,M-1430,item:042342,180.0,UN
0,M-1430,item:333362,180.0,UN
0,M-1430,item:344135,180.0,UN
0,M-1430,item:708073,5.412225,KG
0,M-1430,item:730384,180.0,M
0,M-1430,item:734545,4.16,UN
0,M-1430,item:773474,180.0,G
0,M-1810,item:001757,3.172484,KG
0,M-1810,item:001848,1.602888,KG
0,M-1810,item:001893,10.151624,KG
0,M-1810,item:002612,1.681855,KG
0,M-1810,item:007923,51.968,G
0,M-1810,item:016332,0.561985,KG
0,M-1810,item:029313,0.05343,KG
0,M-1810,item:039668,0.033637,KG
0,M-1810,item:049371,5.09396,KG
0,M-1810,item:055703,0.080469,KG
0,M-1810,item:099439,1.681855,KG
0,M-1810,item:338928,180.0,UN
0,M-1810,item:338929,180.0,UN
0,M-1810,item:426331,7.4635,UN
0,M-1810,item:693055,180.0,G
0,SDC-1450,item:021081,720.0,KG
1,M-1430,item:038005,0.402481,KG
1,M-1430,item:042342,0.0,UN
1,M-1430,item:333362,0.0,UN
1,M-1430,item:344135,0.0,UN
1,M-1430,item:708073,0.18239,KG
1,M-1430,item:730384,0.0,M
1,M-1430,item:734545,0.184,UN
1,M-1430,item:773474,36.0,G
1,M-1810,item:001757,0.029882,KG
1,M-1810,item:001848,0.022411,KG
1,M-1810,item:001893,0.141938,KG
1,M-1810,item:002612,0.037352,KG
1,M-1810,item:007923,59.7632,G
1,M-1810,item:016332,0.008964,KG
1,M-1810,item:029313,0.000747,KG
1,M-1810,item:039668,0.000747,KG
1,M-1810,item:049371,0.02764,KG
1,M-1810,item:055703,0.001494,KG
1,M-1810,item:099439,0.037352,KG
1,M-1810,item:338928,0.0,UN
1,M-1810,item:338929,0.0,UN
1,M-1810,item:426331,0.2024,UN
1,M-1810,item:693055,0.0,G
1,SDC-1450,item:021081,0.0,KG
2,M-1430,item:038005,0.437479,KG
2,M-1430,item:042342,0.0,UN
2,M-1430,item:333362,0.0,UN
2,M-1430,item:344135,0.0,UN
2,M-1430,item:708073,0.19825,KG
2,M-1430,item:730384,0.0,M
2,M-1430,item:734545,0.2,UN
2,M-1430,item:773474,43.2,G
2,M-1810,item:001757,0.03326,KG
2,M-1810,item:001848,0.024945,KG
2,M-1810,item:001893,0.157983,KG
2,M-1810,item:002612,0.041574,KG
2,M-1810,item:007923,66.51904,G
2,M-1810,item:016332,0.009978,KG
2,M-1810,item:029313,0.000831,KG
2,M-1810,item:039668,0.000831,KG
2,M-1810,item:049371,0.030765,KG
2,M-1810,item:055703,0.001663,KG
2,M-1810,item:099439,0.041574,KG
2,M-1810,item:338928,0.0,UN
2,M-1810,item:338929,0.0,UN
2,M-1810,item:426331,0.22528,UN
2,M-1810,item:693055,0.0,G
2,SDC-1450,item:021081,0.0,KG
3,M-1430,item:038005,0.437479,KG
3,M-1430,item:042342,0.0,UN
3,M-1430,item:333362,0.0,UN
3,M-1430,item:344135,0.0,UN
3,M-1430,item:708073,0.19825,KG
3,M-1430,item:730384,0.0,M
